entry,yield
3,827
10,877.3
7,977.1
5,944.8
8,877.5
4,841.0
6,1236.5
1,912.9
9,1140.5
11,860.0
2,986.4
12,841.9
4,751.4
3,797.9
9,857.5
1,863.8
12,1041.9
2,840.5
10,1211.2
5,967.6
8,1092.9
7,1000.6
6,823.4
11,763.2
7,904.4
1,949.5
12,993.5
11,1050.8
6,966.8
9,837.3
2,1111.1
8,884.8
4,968.3
3,966.8
10,824.1
5,846.1
5,852.5
12,795.2
2,974.6
8,945.1
9,1257.4
1,892.8
7,1196.6
4,1122.5
3,975.0
6,958.6
11,794.3
10,995.5
2,1002.4
11,891.3
6,1005.7
10,1005.3
5,1151.4
3,1014.4
4,1205.0
12,1076.2
1,824.3
9,1034.6
8,990.9
7,942.1
8,1048.6
2,971.6
10,1010.8
9,1278
3,1101.8
7,829.9
1,1216.4
11,993.3
5,716.6
12,1092.5
4,1040.6
6,1215.7
6,960.6
9,1003.8
8,972.8
3,1240.7
7,1021.2
11,1064.7
5,1361.9
10,1115.5
12,840.4
2,1211.5
1,943.9
4,1169.2
1,868
6,759.3
3,880.6
12,1147.7
10,952.2
8,1095.5
9,1371.4
7,981.1
11,883.5
4,1133.4
5,738.9
2,747.1
10,686
4,887.7
5,722.4
6,1056
11,827.7
12,1165.6
8,1428.3
2,953.5
7,968.5
1,712.4
3,716.9
9,681.7
12,805.8
5,916.8
11,722.1
2,1262.3
4,813
10,1227.9
3,1428.2
9,926.8
6,692.5
8,603.9
7,993.3
1,964.8
11,889.2
7,739.6
1,778.6
4,1363.2
2,900.1
6,1504.6
12,916.4
3,740.6
10,861.5
5,676.9
9,1163.1
8,1093.9
9,811
8,760.8
4,962.2
7,1109.3
1,1022.8
5,926.1
11,703.4
6,1038
2,962.7
10,1029
12,953.4
3,1457.4
