1932,1933,1934,1935,1936,site,gen
26.9,27.1,12.7,51.9,22.7,StPaul,Manchuria
26.8,38.2,15,57,17,StPaul,Velvet
38,38.8,5.5,63.3,18.3,StPaul,WisNo38
29.1,45.9,14.6,62.1,25.3,StPaul,Trebi
25.8,40.4,16.3,62.1,30.9,StPaul,Minsturdi
28.1,31,5.4,51.9,11,StPaul,Peatland
27.4,36.2,2.9,56.7,,StPaul,Svansota
25.9,43.3,9.3,64.4,,StPaul,Spartan
25.6,34.8,12,49.4,,StPaul,SAxMan
26.4,40.8,19.6,60,,StPaul,ManxSA
30.9,30.9,6.6,58.9,,StPaul,No474
,34.4,13.6,46,24,StPaul,Glabron
,26,6.1,43.3,10.3,StPaul,Oderbrucker
,32.9,13.8,53.6,21.7,StPaul,Odessa
,41.1,10.1,61.1,31.8,StPaul,SD1340
33.5,44.8,18.9,53.5,38,Waseca,Manchuria
37.4,53.5,18.5,56.5,39.4,Waseca,Velvet
37.7,59.6,22.6,59,42.8,Waseca,Glabron
58.2,65.9,22.1,72.3,45,Waseca,WisNo38
49.2,62.1,25.3,66.9,55.9,Waseca,Trebi
41,54.7,19.9,61.3,46.6,Waseca,Minsturdi
36,59.1,11.3,47.8,38.5,Waseca,Peatland
36.7,46.9,27.7,63.7,,Waseca,No474
33.2,56.8,8.8,61.3,,Waseca,Spartan
44.7,58.4,23,57.8,,Waseca,SAxMan
42.2,57.8,26.8,51.1,,Waseca,ManxSA
38.5,,,,,Waseca,Svansota
,46.4,13.8,40.4,36.5,Waseca,Oderbrucker
,62,17.4,61.2,39.3,Waseca,Odessa
,58,13.3,54.5,48,Waseca,SD1340
,,15.8,40.7,,Waseca,Manchuria
34.4,,,34.2,23.3,Morris,Manchuria
38.8,,,36.7,21.1,Morris,Velvet
35.1,,,33.8,23.8,Morris,Glabron
47.2,,,55.2,20.1,Morris,WisNo38
46.6,,,43.8,26.1,Morris,Trebi
43.2,,,49.1,18.1,Morris,Peatland
47,,,34,,Morris,SAxMan
43.5,,,31.5,,Morris,ManxSA
43.8,,,48.9,,Morris,No474
,,,34.3,19,Morris,Oderbrucker
,,,41.9,25.7,Morris,Odessa
,,,35.1,20.1,Morris,SD1340
33,26.2,49.4,40,8.2,Crookston,Manchuria
32.1,35.6,47.2,40.6,12.6,Crookston,Velvet
26.2,28.4,52.1,32.9,11.5,Crookston,Glabron
35.9,44.5,51.4,45.2,8.8,Crookston,WisNo38
41.8,22.8,65.1,56.5,23.1,Crookston,Trebi
25.2,35.3,44.7,52,6.7,Crookston,Peatland
30.5,31.3,60.5,37.3,,Crookston,SAxMan
34.3,27.6,57.6,43,,Crookston,ManxSA
32,36.1,51.5,40.6,,Crookston,No474
20.6,,,,,Crookston,Svansota
,34.7,48.2,32.5,4.1,Crookston,Oderbrucker
,33.3,59.3,44,17.2,Crookston,Odessa
,8.8,56.8,42,13.9,Crookston,SD1340
22.1,10.1,29.3,28.6,18,GrandRapids,Manchuria
32.2,8,40.4,26,7.7,GrandRapids,Velvet
14.4,14.2,37.3,21.4,12.8,GrandRapids,Glabron
20.7,10.6,43.3,25.1,9,GrandRapids,WisNo38
20.7,15.5,42.6,33.5,19,GrandRapids,Trebi
26.8,14.4,43.2,35.6,16.5,GrandRapids,Peatland
19.9,10.9,39.5,31.5,,GrandRapids,SAxMan
19.5,12.7,35.5,29.7,,GrandRapids,ManxSA
18.6,9.8,44.5,24.5,,GrandRapids,No474
16.6,,,,,GrandRapids,Svansota
,10.1,26.7,23.8,13,GrandRapids,Oderbrucker
,14,42.5,28,14.4,GrandRapids,Odessa
,,31.8,25.9,15,GrandRapids,SD1340
22.6,38.4,55.7,24.6,12,Duluth,Manchuria
22.5,30.4,51.8,27.5,8.9,Duluth,Velvet
25.9,36.3,50.3,21.4,12.9,Duluth,Glabron
29.3,60.1,73.4,40.5,10.3,Duluth,WisNo38
30.6,35.8,75.5,30.5,21.2,Duluth,Trebi
31.4,41.7,50.7,33,17.5,Duluth,Peatland
22.2,33.5,54.7,23,,Duluth,Svansota
22.5,34.7,64,17.9,,Duluth,SAxMan
22.7,21.6,58,24.5,,Duluth,ManxSA
,32.9,38.8,19.2,9.2,Duluth,Oderbrucker
,44.1,54.5,33,17.4,Duluth,Odessa
,,51.2,27,14.2,Duluth,SD1340
,34.1,48.4,24.5,,Duluth,No474
