env,rep,gen,yield
1,1,1,139.82
1,1,2,182.52
1,1,3,171.71
1,1,4,200.49
1,1,5,157.23
1,1,6,177.22
1,1,7,55.36
1,1,8,89.54
1,1,9,296.50
1,1,10,312.21
1,1,11,189.00
1,1,12,191.90
1,1,13,76.46
1,1,14,111.02
1,1,15,22.30
1,1,16,208.14
1,1,17,19.81
1,1,18,208.63
1,2,1,141.26
1,2,2,182.52
1,2,3,160.97
1,2,4,164.43
1,2,5,157.23
1,2,6,209.38
1,2,7,36.59
1,2,8,186.04
1,2,9,117.47
1,2,10,261.03
1,2,11,177.81
1,2,12,136.19
1,2,13,102.65
1,2,14,113.56
1,2,15,34.50
1,2,16,171.96
1,2,17,19.81
1,2,18,174.48
1,3,1,126.72
1,3,2,182.52
1,3,3,138.15
1,3,4,143.66
1,3,5,157.23
1,3,6,97.89
1,3,7,17.81
1,3,8,105.88
1,3,9,190.61
1,3,10,286.62
1,3,11,178.94
1,3,12,158.15
1,3,13,109.12
1,3,14,100.63
1,3,15,22.30
1,3,16,187.13
1,3,17,19.81
1,3,18,192.81
1,4,1,114.52
1,4,2,182.52
1,4,3,166.40
1,4,4,233.68
1,4,5,157.23
1,4,6,173.92
1,4,7,36.59
1,4,8,109.22
1,4,9,337.58
1,4,10,286.62
1,4,11,162.52
1,4,12,143.02
1,4,13,97.21
1,4,14,77.32
1,4,15,10.17
1,4,16,185.20
1,4,17,19.81
1,4,18,122.02
2,1,1,401.71
2,1,2,296.22
2,1,3,180.31
2,1,4,102.44
2,1,5,174.77
2,1,6,101.79
2,1,7,342.70
2,1,8,635.42
2,1,9,601.30
2,1,10,268.96
2,1,11,181.88
2,1,12,333.85
2,1,13,473.24
2,1,14,423.43
2,1,15,227.89
2,1,16,399.58
2,1,17,312.58
2,1,18,300.55
2,2,1,210.38
2,2,2,375.53
2,2,3,51.14
2,2,4,87.83
2,2,5,38.22
2,2,6,59.34
2,2,7,60.21
2,2,8,470.73
2,2,9,490.42
2,2,10,169.50
2,2,11,367.92
2,2,12,405.51
2,2,13,591.95
2,2,14,226.56
2,2,15,555.83
2,2,16,267.66
2,2,17,293.45
2,2,18,249.79
2,3,1,166.95
2,3,2,337.11
2,3,3,385.30
2,3,4,148.35
2,3,5,104.99
2,3,6,104.79
2,3,7,84.98
2,3,8,238.12
2,3,9,375.67
2,3,10,243.75
2,3,11,607.38
2,3,12,530.08
2,3,13,490.56
2,3,14,345.96
2,3,15,365.30
2,3,16,182.14
2,3,17,35.40
2,3,18,266.65
2,4,1,192.17
2,4,2,314.83
2,4,3,231.17
2,4,4,176.17
2,4,5,102.79
2,4,6,404.35
2,4,7,266.55
2,4,8,585.90
2,4,9,291.40
2,4,10,103.68
2,4,11,257.85
2,4,12,754.33
2,4,13,1018.29
2,4,14,299.71
2,4,15,614.77
2,4,16,225.18
2,4,17,532.77
2,4,18,223.92
3,1,1,449.40
3,1,2,457.84
3,1,3,545.45
3,1,4,546.92
3,1,5,784.27
3,1,6,501.10
3,1,7,1098.97
3,1,8,882.42
3,1,9,820.68
3,1,10,918.20
3,1,11,997.25
3,1,12,595.64
3,1,13,1187.42
3,1,14,804.97
3,1,15,727.23
3,1,16,459.65
3,1,17,599.00
3,1,18,1327.45
3,2,1,440.62
3,2,2,515.34
3,2,3,962.56
