rows,rowwidth,length,year,loc,yearloc,rep,hyb,brand,plot,daystoflower,pltht,earht,pop,numplants,lodged,erect,plotweight,mst,tstwt,yield
2,36,25,2000,BA,2000BA,1,9211,Fielder'sChoice,128,78,92,33,23232,80,0,100,28.61,11.2,63.25,9.791344564
2,36,25,2000,BA,2000BA,2,9211,Fielder'sChoice,212,77,93,30,24974,86,0,100,27.55,10.7,63.26,9.481664576
2,36,25,2000,BA,2000BA,3,9211,Fielder'sChoice,311,77,90,31,23232,80,0,100,25.25,10.7,62.46,8.690091928
2,36,25,2000,BA,2000BA,4,9211,Fielder'sChoice,421,78,95,35,24394,84,0,100,27.05,11.3,64.57,9.2470331
2,36,25,2000,BA,2000BA,1,9114,Fielder'sChoice,119,77,96,35,24103,83,0,100,23,10.1,14.54,7.968912428
2,36,25,2000,BA,2000BA,2,9114,Fielder'sChoice,224,78,93,31,23522,81,0,100,27.08,10.3,61.39,9.361655032
2,36,25,2000,BA,2000BA,3,9114,Fielder'sChoice,326,77,94,37,24394,84,0,100,26.02,10.1,61.93,9.015265304
2,36,25,2000,BA,2000BA,4,9114,Fielder'sChoice,401,78,91,36,24394,84,0,100,25.41,10.8,60.86,8.735364448
2,36,25,2000,BA,2000BA,1,8216,Fielder'sChoice,105,80,97,35,24974,86,0,100,25.85,11,59.81,8.866701228
2,36,25,2000,BA,2000BA,2,8216,Fielder'sChoice,213,81,93,35,25846,89,0,100,29.08,10.6,.,10.01943982
2,36,25,2000,BA,2000BA,3,8216,Fielder'sChoice,333,79,97,35,26136,90,0,100,27.92,11.8,60.57,9.49064058
2,36,25,2000,BA,2000BA,4,8216,Fielder'sChoice,407,80,95,32,25555,88,0,100,25.99,10.9,.,8.924738476
2,36,25,2000,BA,2000BA,1,8417,Fielder'sChoice,101,79,99,35,24684,85,0,100,25.57,11.1,60.57,8.760804728
2,36,25,2000,BA,2000BA,2,8417,Fielder'sChoice,232,79,.,31,22651,78,0,100,25.25,12.5,58.75,8.514927656
2,36,25,2000,BA,2000BA,3,8417,Fielder'sChoice,301,79,98,39,24103,83,0,100,26.69,11,60.05,9.154826372
2,36,25,2000,BA,2000BA,4,8417,Fielder'sChoice,403,80,103,40,23522,81,0,100,26.51,12.1,59.03,8.980698928
2,36,25,2000,BA,2000BA,1,F3175,FrontierHybrids,116,77,97,41,22070,76,0,100,29.18,10.8,63.24,10.03140259
2,36,25,2000,BA,2000BA,2,F3175,FrontierHybrids,201,79,93,34,24394,84,1,98.8,27.02,11.6,61.63,9.205536744
2,36,25,2000,BA,2000BA,3,F3175,FrontierHybrids,306,78,96,40,19457,67,2,97.6,31.32,11,63.25,10.74294292
2,36,25,2000,BA,2000BA,4,F3175,FrontierHybrids,428,77,95,34,23522,81,0,100,30.06,12,62.45,10.1949049
2,36,25,2000,BA,2000BA,1,F3190,FrontierHybrids,124,80,95,34,24394,84,0,100,28.51,10.5,62.2,9.834035376
2,36,25,2000,BA,2000BA,2,F3190,FrontierHybrids,205,80,91,33,19166,66,0,100,.,10.5,58.23,.
2,36,25,2000,BA,2000BA,3,F3190,FrontierHybrids,303,79,95,36,25265,87,0,100,31.51,10.9,61.68,10.82025851
2,36,25,2000,BA,2000BA,4,F3190,FrontierHybrids,436,79,96,37,26136,90,0,100,27.38,10.9,60.59,9.402052388
2,36,25,2000,BA,2000BA,1,8251IT,GarstSeed,117,80,99,38,23522,81,0,100,26.4,10.5,61.39,9.106227336
2,36,25,2000,BA,2000BA,2,8251IT,GarstSeed,228,80,98,37,24394,84,0,100,24.65,10.8,60.6,8.474094468
2,36,25,2000,BA,2000BA,3,8251IT,GarstSeed,305,80,96,36,25846,89,0,100,31.37,11,62.72,10.7600936
2,36,25,2000,BA,2000BA,4,8251IT,GarstSeed,427,79,97,39,23232,80,0,100,26.29,10.7,24.9,9.048020528
2,36,25,2000,BA,2000BA,1,8273IT,GarstSeed,118,77,90,36,24974,86,0,100,27.3,10.3,62.7,9.4377096
2,36,25,2000,BA,2000BA,2,8273IT,GarstSeed,234,78,87,28,27878,96,0,100,28.42,10.8,60.89,9.770132608
2,36,25,2000,BA,2000BA,3,8273IT,GarstSeed,304,78,90,33,25555,88,0,100,26.58,10.9,61.63,9.12733944
2,36,25,2000,BA,2000BA,4,8273IT,GarstSeed,431,78,89,29,22651,78,0,100,26.75,10.8,61.64,9.196025056
2,36,25,2000,BA,2000BA,1,8349RR,GarstSeed,102,78,83,30,20328,70,0,100,25.11,12.11,61.94,8.505458044
2,36,25,2000,BA,2000BA,2,8349RR,GarstSeed,203,77,85,28,23813,82,0,100,26.12,10.4,58.77,9.0197128
2,36,25,2000,BA,2000BA,3,8349RR,GarstSeed,308,78,86,34,23813,82,0,100,21.69,10.2,61.9,7.506671144
2,36,25,2000,BA,2000BA,4,8349RR,GarstSeed,423,77,87,35,21780,75,0,100,25.8,10.1,63.26,8.939040548
2,36,25,2000,BA,2000BA,1,HY9646,GarstSeed,107,79,103,38,23813,82,0,100,25.63,10.7,59.54,8.820873556
2,36,25,2000,BA,2000BA,2,HY9646,GarstSeed,217,81,98,38,22942,79,0,100,23.74,10.7,63,8.170406856
2,36,25,2000,BA,2000BA,3,HY9646,GarstSeed,328,79,98,38,24684,85,0,100,28.45,10.8,61.66,9.780445624
2,36,25,2000,BA,2000BA,4,HY9646,GarstSeed,416,79,102,39,23813,82,0,100,28.86,10.5,63.76,9.954762096
2,36,25,2000,BA,2000BA,1,2888IMI,GoldenAcresGenetics,111,77,96,36,21780,75,0,100,28.01,11.1,59.55,9.596798956
2,36,25,2000,BA,2000BA,2,2888IMI,GoldenAcresGenetics,231,78,93,34,18586,64,.,.,21.23,11.4,61.13,7.249285972
2,36,25,2000,BA,2000BA,3,2888IMI,GoldenAcresGenetics,323,79,97,37,25265,87,0,100,31.73,11.9,65.37,10.7735171
2,36,25,2000,BA,2000BA,4,2888IMI,GoldenAcresGenetics,429,77,93,40,24684,85,0,100,28.77,10.9,64.28,9.8793663
2,36,25,2000,BA,2000BA,1,TR1106,CroplanGenetics,103,78,95,35,24684,85,0,100,26.92,10.8,59.83,9.254467364
