amb,rep,gen,prod
1,1,1,7.9107
1,1,2,6.4057
1,1,3,5.8616
1,1,4,7.7662
1,1,5,3.9583
1,1,6,7.7024
1,1,7,6.6607
1,1,8,5.6999
1,1,9,6.2612
1,1,10,6.3078
1,1,11,8.5357
1,1,12,5.6362
1,1,13,4.9474
1,1,14,5.0112
1,1,15,6.7012
1,1,16,5.6828
1,1,17,6.7245
1,1,18,5.5553
1,1,19,5.0749
1,1,20,6.8862
1,1,21,8.0553
1,1,22,4.1778
1,1,23,7.8641
1,1,24,7.847
1,1,25,6.1166
1,1,26,5.4916
1,1,27,7.1753
1,1,28,5.3937
1,1,29,4.5774
1,1,30,6.1507
1,1,31,6.597
1,1,32,6.0528
1,1,33,7.0137
1,1,34,6.1803
1,1,35,6.8862
1,1,36,6.3542
1,1,37,6.4524
1,1,38,5.347
1,1,39,7.3666
1,1,40,4.9878
1,1,41,5.4916
1,1,42,6.4524
1,1,43,4.4328
1,1,44,4.5137
1,1,45,5.3641
1,1,46,7.0774
1,1,47,5.5895
1,1,48,5.3003
1,1,49,6.8053
1,1,50,5.0112
1,1,51,6.597
1,1,52,7.3666
1,1,53,5.4916
1,1,54,7.847
1,1,55,6.2441
1,2,1,9.0332
1,2,2,6.597
1,2,3,6.2612
1,2,4,8.6166
1,2,5,5.625
1,2,6,6.3078
1,2,7,5.717
1,2,8,4.3053
1,2,9,6.3249
1,2,10,5.3641
1,2,11,9.9303
1,2,12,6.9499
1,2,13,5.5553
1,2,14,7.4474
1,2,15,6.4057
1,2,16,6.1166
1,2,17,5.6828
1,2,18,6.3249
1,2,19,6.2782
1,2,20,5.8912
1,2,21,8.8249
1,2,22,4.7857
1,2,23,5.9424
1,2,24,8.3912
1,2,25,5.3874
1,2,26,6.1974
1,2,27,7.8003
1,2,28,6.5162
1,2,29,4.6987
1,2,30,6.4524
1,2,31,7.0137
1,2,32,6.5332
1,2,33,4.1778
1,2,34,5.9253
1,2,35,5.8616
1,2,36,8.5417
