env,year,loc,block,plot,ent,gen,yield,testwt
ame1997,1997,Ame,1,1,1,Belle,151.1,32
ame1997,1997,Ame,1,2,2,Brawn,171.9,33.3
ame1997,1997,Ame,1,3,3,Burton,158.9,33.7
ame1997,1997,Ame,1,4,4,Chairman,151.7,32.7
ame1997,1997,Ame,1,5,5,Chaps,155.6,34.4
ame1997,1997,Ame,1,7,7,Classic,153.8,34.6
ame1997,1997,Ame,1,8,8,Dane,145.9,33.9
ame1997,1997,Ame,1,9,9,Don,150.8,36.9
ame1997,1997,Ame,1,10,10,Gem,146.2,33.1
ame1997,1997,Ame,1,11,11,Hazel,140.2,34.3
ame1997,1997,Ame,1,12,12,IN09201,154.6,30.8
ame1997,1997,Ame,1,13,13,Jerry,151.4,36.3
ame1997,1997,Ame,1,14,14,Jim,142.9,35.3
ame1997,1997,Ame,1,15,15,Milton,154.6,32.8
ame1997,1997,Ame,1,17,17,Newdak,160.2,31.5
ame1997,1997,Ame,1,18,18,Ogle,173.8,33
ame1997,1997,Ame,1,19,19,Pal,152.4,31.2
ame1997,1997,Ame,1,21,21,Prairie,147.8,32.4
ame1997,1997,Ame,1,22,22,Premier,156.9,36.6
ame1997,1997,Ame,1,24,24,Rodeo,175.1,33.4
ame1997,1997,Ame,1,25,25,Sheldon,163.9,36.2
ame1997,1997,Ame,1,26,26,Starter,131.5,35.5
ame1997,1997,Ame,1,27,27,Troy,148.5,30
ame1997,1997,Ame,1,28,28,Valley,156.8,34.5
ame1997,1997,Ame,1,29,29,Webster,150.8,32.3
ame1997,1997,Ame,1,30,30,IAN979-5-1-22,162.9,31.8
ame1997,1997,Ame,1,31,31,Blaze,180.9,33.8
ame1997,1997,Ame,1,32,32,MN 93272,140.6,33.3
ame1997,1997,Ame,1,33,33,Jud,155.5,33.7
ame1997,1997,Ame,1,34,34,OH1149,166.5,35.7
ame1997,1997,Ame,1,35,35,OH1087,154.9,32.8
ame1997,1997,Ame,1,36,36,Jay,153.6,35.9
ame1997,1997,Ame,1,37,37,Riser,144,37.8
ame1997,1997,Ame,1,39,39,Vista,173.8,52.7
ame1997,1997,Ame,1,40,40,WIX6356-1,150.1,35.9
ame1997,1997,Ame,2,1,19,Pal,130,32.2
ame1997,1997,Ame,2,2,10,Gem,155.9,33.8
ame1997,1997,Ame,2,4,32,MN 93272,129.1,32.7
ame1997,1997,Ame,2,5,17,Newdak,159.6,32.4
ame1997,1997,Ame,2,6,3,Burton,165.1,35.2
ame1997,1997,Ame,2,7,27,Troy,158.2,32.5
ame1997,1997,Ame,2,8,33,Jud,165.5,35.6
ame1997,1997,Ame,2,9,39,Vista,169.1,34.1
ame1997,1997,Ame,2,10,28,Valley,161.9,35.9
ame1997,1997,Ame,2,12,5,Chaps,175,34.9
ame1997,1997,Ame,2,14,24,Rodeo,185,34.7
ame1997,1997,Ame,2,15,35,OH1087,169.6,32.7
ame1997,1997,Ame,2,16,34,OH1149,164.3,36.3
ame1997,1997,Ame,2,17,31,Blaze,182.2,35.3
ame1997,1997,Ame,2,18,21,Prairie,177.9,31.7
ame1997,1997,Ame,2,19,40,WIX6356-1,145.8,34.7
ame1997,1997,Ame,2,20,12,IN09201,159,35.9
ame1997,1997,Ame,2,21,4,Chairman,149.6,33.5
ame1997,1997,Ame,2,22,18,Ogle,158.1,32.9
ame1997,1997,Ame,2,23,1,Belle,154,36.2
ame1997,1997,Ame,2,24,11,HyproBlend,137.5,34
ame1997,1997,Ame,2,25,30,IAN979-5-1-22,154,32.5
ame1997,1997,Ame,2,26,25,Sheldon,162.5,35.3
ame1997,1997,Ame,2,27,22,Premier,139.1,36.6
ame1997,1997,Ame,2,29,9,Don,145.2,35
ame1997,1997,Ame,2,30,14,Jim,166.9,35.8
ame1997,1997,Ame,2,31,8,Dane,149.2,31.6
ame1997,1997,Ame,2,32,15,Milton,173.9,34.2
ame1997,1997,Ame,2,33,7,Classic,182.2,34.8
ame1997,1997,Ame,2,34,36,Jay,175.6,34.7
ame1997,1997,Ame,2,36,29,ACStewart,167.5,33.4
ame1997,1997,Ame,2,37,13,Jerry,163.2,36.8
ame1997,1997,Ame,2,38,37,Riser,144.5,35.1
ame1997,1997,Ame,2,39,2,Brawn,167.1,34.3
ame1997,1997,Ame,2,40,26,Starter,133.1,35.2
ame1997,1997,Ame,3,2,9,Don,157.8,35.4
ame1997,1997,Ame,3,3,30,IAN979-5-1-22,162.9,32.9
ame1997,1997,Ame,3,4,28,Valley,191.7,36.3
ame1997,1997,Ame,3,5,31,Blaze,215.1,35
ame1997,1997,Ame,3,6,10,Gem,167.2,33.4
ame1997,1997,Ame,3,7,27,Troy,157.7,32.9
ame1997,1997,Ame,3,8,18,Ogle,192.2,33.5
ame1997,1997,Ame,3,10,17,Newdak,169.7,29.7
ame1997,1997,Ame,3,11,36,Jay,168.7,34.9
ame1997,1997,Ame,3,12,35,OH1087,173,33.2
ame1997,1997,Ame,3,13,37,Riser,150.7,35.4
ame1997,1997,Ame,3,14,3,Burton,175.1,35.1
ame1997,1997,Ame,3,16,11,HyproBlend,153.2,34.2
ame1997,1997,Ame,3,17,15,Milton,169,34.5
ame1997,1997,Ame,3,18,25,Sheldon,169.8,35.8
ame1997,1997,Ame,3,19,7,Classic,166.3,33.9
ame1997,1997,Ame,3,20,22,Premier,151.3,37.7
