B1,B2,B3,B4,row,col
97,119,139,200,1,1
103,183,49,72,2,1
49,152,84,48,3,1
45,89,113,152,4,1
189,24,67,156,5,1
89,101,4,78,6,1
96,20,199,141,7,1
30,125,68,13,8,1
111,31,83,128,9,1
107,164,138,145,10,1
25,95,21,167,1,2
100,43,90,130,2,2
38,29,19,130,3,2
15,24,28,18,4,2
64,127,91,16,5,2
32,79,68,56,6,2
103,130,14,23,7,2
93,23,9,21,8,2
93,102,189,106,9,2
29,50,47,122,10,2
86,40,81,12,1,3
88,121,154,5,2,3
52,19,45,12,3,3
21,32,114,31,4,3
32,25,13,21,5,3
19,22,49,60,6,3
29,31,10,39,7,3
116,38,15,79,8,3
33,32,21,49,9,3
36,83,101,73,10,3
45,136,124,55,1,4
28,97,110,105,2,4
106,56,161,74,3,4
62,23,8,32,4,4
42,29,9,102,5,4
19,83,22,14,6,4
50,22,56,53,7,4
11,105,23,67,8,4
78,89,41,115,9,4
52,115,98,69,10,4
24,60,22,8,1,5
12,34,19,62,2,5
106,42,55,80,3,5
64,17,84,70,4,5
136,83,101,4,5,5
30,23,54,12,6,5
67,31,25,47,7,5
32,25,,18,8,5
42,47,74,37,9,5
112,143,180,123,10,5
146,60,57,81,1,6
100,41,72,113,2,6
28,12,5,92,3,6
36,29,94,184,4,6
9,44,46,122,5,6
25,96,23,35,6,6
62,55,31,40,7,6
68,86,27,41,8,6
61,107,20,90,9,6
107,3,144,105,10,6
64,65,4,84,1,7
98,104,80,7,2,7
34,93,117,117,3,7
111,1,65,19,4,7
29,40,29,20,5,7
12,79,51,14,6,7
33,24,124,110,7,7
8,14,50,20,8,7
27,132,47,41,9,7
120,106,97,65,10,7
114,67,156,94,1,8
17,5,71,22,2,8
95,45,5,29,3,8
141,18,0,78,4,8
23,128,34,28,5,8
48,69,14,23,6,8
73,15,91,30,7,8
124,119,1,37,8,8
162,62,51,57,9,8
174,75,81,80,10,8
67,124,39,54,1,9
32,52,60,167,2,9
71,50,88,148,3,9
39,83,75,48,4,9
94,71,110,103,5,9
92,32,53,7,6,9
52,105,111,46,7,9
114,132,23,103,8,9
66,74,32,140,9,9
22,57,136,74,10,9
159,56,115,150,1,10
186,231,19,133,2,10
77,153,139,87,3,10
27,85,140,113,4,10
77,103,103,127,5,10
16,114,39,149,6,10
21,129,15,131,7,10
39,195,114,96,8,10
121,136,29,159,9,10
156,93,223,63,10,10
