row, col, yield
 1, 1, 63.9763
 1, 2, 65.0606
 1, 3, 64.2625
 1, 4, 64.1643
 1, 5, 59.2649
 1, 6, 65.6256
 1, 7, 69.6882
 1, 8, 71.8985
 1, 9, 64.0815
 1, 10, 60.6220
 1, 11, 65.3896
 1, 12, 65.7347
 1, 13, 56.0599
 1, 14, 64.6581
 1, 15, 58.1990
 1, 16, 61.5706
 1, 17, 65.5498
 1, 18, 59.3703
 1, 19, 63.2321
 1, 20, 61.1784
 1, 21, 60.0467
 1, 22, 56.9781
 1, 23, 44.2875
 1, 24, 55.8723
 1, 25, 50.4608
 1, 26, 58.5964
 1, 27, 56.3554
 1, 28, 59.7002
 1, 29, 56.1299
 1, 30, 55.9813
 2, 30, 55.2747
 2, 29, 51.3257
 2, 28, 51.5484
 2, 27, 55.6089
 2, 26, 54.2316
 2, 25, 53.4184
 2, 24, 53.5129
 2, 23, 58.3002
 2, 22, 54.7601
 2, 21, 53.1954
 2, 20, 57.8960
 2, 19, 62.5493
 2, 18, 57.8629
 2, 17, 56.8655
 2, 16, 60.4362
 2, 15, 56.9033
 2, 14, 56.4887
 2, 13, 60.9820
 2, 12, 61.5948
 2, 11, 62.5467
 2, 10, 61.0015
 2, 9, 56.1778
 2, 8, 58.0676
 2, 7, 51.3060
 2, 6, 63.9392
 2, 5, 63.5957
 2, 4, 46.8344
 2, 3, 64.3970
 2, 2, 65.6750
 2, 1, 56.4751
 3, 1,
 3, 2,
 3, 3, 62.0113
 3, 4, 48.0533
 3, 5, 61.1997
 3, 6, 58.9385
 3, 7, 61.6900
 3, 8, 61.4942
 3, 9, 55.5223
 3, 10, 52.5208
 3, 11, 58.0321
 3, 12, 58.2453
 3, 13, 54.7671
 3, 14, 53.7820
 3, 15, 49.6015
 3, 16, 52.1434
 3, 17, 51.7424
 3, 18, 55.0522
 3, 19, 55.8959
 3, 20, 50.4269
 3, 21, 49.3248
 3, 22, 52.8769
 3, 23, 48.9343
 3, 24, 54.8856
 3, 25, 46.0586
 3, 26, 52.3261
 3, 27, 50.9386
 3, 28, 50.8509
 3, 29, 52.3089
 3, 30, 50.8333
 4, 30, 50.8044
 4, 29, 52.2283
 4, 28, 54.1456
 4, 27, 55.1531
 4, 26, 55.9742
 4, 25, 53.8670
 4, 24, 51.0574
 4, 23, 53.2713
 4, 22, 52.4768
 4, 21, 54.8671
 4, 20, 52.1796
 4, 19, 56.8204
 4, 18, 60.5276
 4, 17, 53.1039
 4, 16, 55.8538
 4, 15, 57.7704
 4, 14, 56.8467
 4, 13, 59.8266
 4, 12, 56.9942
 4, 11, 56.2043
 4, 10, 57.0172
 4, 9, 50.4507
 4, 8, 55.7646
 4, 7, 61.2113
 4, 6, 60.3246
 4, 5, 59.1006
 4, 4, 60.2825
 4, 3, 55.3560
 4, 2, 58.5081
 4, 1, 55.1047
 5, 1, 61.3985
 5, 2, 58.6269
 5, 3, 58.7162
 5, 4, 57.3666
 5, 5, 58.8144
 5, 6, 50.3418
 5, 7, 65.7540
 5, 8, 64.5850
 5, 9, 58.4592
 5, 10, 61.6331
 5, 11, 50.5238
 5, 12, 52.3046
 5, 13, 51.1127
 5, 14, 32.8114
 5, 15, 44.3201
 5, 16, 47.9993
 5, 17, 48.4465
 5, 18, 46.1868
 5, 19, 48.9358
 5, 20, 47.4039
 5, 21, 44.4423
 5, 22, 46.5649
 5, 23, 44.2810
 5, 24, 45.3304
 5, 25, 29.1055
 5, 26, 43.0607
 5, 27, 43.8828
 5, 28, 46.3102
 5, 29, 45.5814
 5, 30, 43.4911
 6, 30, 43.7236
 6, 29, 43.3600
 6, 28, 56.0696
 6, 27, 55.6276
 6, 26, 51.7968
 6, 25, 51.6013
 6, 24, 54.2254
 6, 23, 55.5779
 6, 22, 54.8915
 6, 21, 58.1668
 6, 20, 55.4764
 6, 19, 56.7367
 6, 18, 55.3578
 6, 17, 50.0486
 6, 16, 55.7140
 6, 15, 52.9123
 6, 14, 56.3285
 6, 13, 56.4693
 6, 12, 59.5637
 6, 11, 61.0169
 6, 10, 58.1138
 6, 9, 56.4366
 6, 8, 60.6504
 6, 7, 55.0589
 6, 6, 57.0375
 6, 5, 57.2205
 6, 4, 56.4740
 6, 3, 53.7441
 6, 2, 62.5055
 6, 1, 54.6549
 7, 1, 61.3001
 7, 2, 59.8764
 7, 3, 61.6623
 7, 4, 53.7127
 7, 5, 61.9868
 7, 6, 61.8195
 7, 7, 58.8992
 7, 8, 57.9511
 7, 9, 55.6151
 7, 10, 56.2837
 7, 11, 59.3513
 7, 12, 64.7741
 7, 13, 45.0734
 7, 14, 55.5712
 7, 15, 56.7310
 7, 16, 58.7773
 7, 17, 52.5663
 7, 18, 54.4355
 7, 19, 37.7021
 7, 20, 55.6469
 7, 21, 57.3470
 7, 22, 51.3622
 7, 23, 49.4096
 7, 24, 52.5368
 7, 25, 48.2005
 7, 26, 50.5347
 7, 27, 53.0263
 7, 28, 54.5544
 7, 29, 50.2076
 7, 30, 50.1565
 8, 30, 49.2480
 8, 29, 48.0879
 8, 28, 52.5129
 8, 27, 55.8075
 8, 26, 52.0449
 8, 25, 50.9706
 8, 24, 56.5915
 8, 23, 51.9266
 8, 22, 56.3952
 8, 21, 53.5651
 8, 20, 54.8639
 8, 19, 57.1305
 8, 18, 53.1169
 8, 17, 54.9666
 8, 16, 55.4615
 8, 15, 60.6805
 8, 14, 57.6669
 8, 13, 57.3102
 8, 12, 59.5009
 8, 11, 57.2208
 8, 10, 60.7311
 8, 9, 53.5588
 8, 8, 41.6353
 8, 7, 56.9201
 8, 6, 58.3788
 8, 5, 59.7003
 8, 4, 59.9838
 8, 3, 59.8020
 8, 2, 60.7244
 8, 1, 62.1830
 9, 1, 64.6586
 9, 2, 61.4775
 9, 3, 61.6356
 9, 4, 61.8325
 9, 5, 58.5130
 9, 6, 60.5810
 9, 7, 61.8663
 9, 8, 61.2208
 9, 9, 51.9876
 9, 10, 48.6204
 9, 11, 55.3356
 9, 12, 58.3154
 9, 13, 59.0231
 9, 14, 57.2292
 9, 15, 57.8524
 9, 16, 53.6054
 9, 17, 48.7917
 9, 18, 54.2868
 9, 19, 37.8545
 9, 20, 51.0450
 9, 21, 52.2397
 9, 22, 51.5976
 9, 23, 54.5818
 9, 24, 53.0281
 9, 25, 44.6583
 9, 26, 50.4980
 9, 27, 52.4354
 9, 28, 35.3663
 9, 29, 51.6554
 9, 30, 51.9470
 10, 30, 47.7061
 10, 29, 36.4930
 10, 28, 51.8199
 10, 27, 55.9776
 10, 26, 51.8000
 10, 25, 44.7998
 10, 24, 52.7576
 10, 23, 53.3678
 10, 22, 56.9894
 10, 21, 59.5370
 10, 20, 53.7591
 10, 19, 59.6786
 10, 18, 57.2358
 10, 17, 55.2259
 10, 16, 60.3733
 10, 15, 60.4062
 10, 14, 60.8843
 10, 13, 58.3150
 10, 12, 62.8946
 10, 11, 57.2419
 10, 10, 60.1775
 10, 9, 56.5388
 10, 8, 56.7173
 10, 7, 64.4289
 10, 6, 57.1339
 10, 5, 56.4330
 10, 4, 59.5735
 10, 3, 60.6691
 10, 2, 60.9089
 10, 1, 62.3308
 11, 1, 62.5234
 11, 2, 58.1895
 11, 3, 61.2446
 11, 4, 60.2033
 11, 5, 60.6392
 11, 6, 60.7354
 11, 7, 62.8211
 11, 8, 49.2904
 11, 9, 46.8775
 11, 10, 46.6847
 11, 11, 49.2391
 11, 12, 53.4539
 11, 13, 55.0771
 11, 14, 50.5766
 11, 15, 55.4664
 11, 16, 51.0354
 11, 17, 48.8128
 11, 18, 47.5285
 11, 19, 53.4201
 11, 20, 52.9841
 11, 21, 53.3591
 11, 22, 54.1275
 11, 23, 57.0038
 11, 24, 55.6933
 11, 25, 49.9221
 11, 26, 52.2448
 11, 27, 52.5370
 11, 28, 38.0451
 11, 29, 48.9268
 11, 30, 51.8920
 12, 30, 48.0012
 12, 29, 50.7368
