Year,January,February,March,April,May,June,July,August,September,October,November,December
1853,,,42.8,62.7,34.6,77.9,21.7,66.2,42.8,77.7,41.9,4.7
1854,41.8,16.7,9,8.8,95.6,14.2,105.4,65.2,12.8,47.3,29.6,34.1
1855,8.1,17.1,43.6,5.8,47.1,34.1,167.2,57.1,32.9,115.9,48.6,33.6
1856,56,25,20.3,55.3,107.5,43.1,30.6,59.2,45.4,61.6,27.4,44
1857,77.9,9.1,28.4,44.8,22.9,50.7,36.4,77.8,97.8,137.1,49.9,8.8
1858,19.2,16.4,15.2,60,63.5,20.6,75.8,40.6,31.9,34.4,16.5,40.8
1859,24,44.2,31.3,62.2,49.2,81.7,72.1,66.3,80.6,65.5,51.6,58.6
1860,78.5,25.6,39.8,33.5,103.3,152.8,43,89,60.1,34.4,51.2,31.8
1861,14.7,50.5,42.7,25,23,69.6,73.5,17.5,37.5,28.6,87.1,36.4
1862,38.8,12.1,63.7,63.6,66.2,76.7,41.4,55,50.9,95.2,29.4,37.5
1863,92.1,15.2,18.3,19.5,20.4,100.9,16.1,63.9,64.3,56.4,50.6,33.9
1864,29,16.3,53.5,26.5,41.7,40,19.9,14.7,72.5,28.8,62.69,11.4
1865,72.9,39.9,27.5,9.3,71.5,15.2,66.2,122.5,0.9,166.1,59.9,31.9
1866,92.1,73.9,34.5,44.2,27,106.5,71.8,75.9,96.4,39.3,49.4,61.8
1867,56.5,44.4,37.2,68.6,79.4,19.4,95,48.6,48.7,39.9,4,46.6
1868,92.8,34.1,47.2,50.7,18.9,7.5,6.7,91,63.1,46.4,8.1,109.2
1869,81.8,57.5,34.3,49.4,78.3,25.7,22.9,28.1,64.5,48.2,53.4,72.3
1870,38.6,48.4,40.4,8.6,30.2,21.9,24.8,40.3,53.8,98.4,31.6,64.3
1871,35.5,41.4,35.1,71.7,23.9,101.8,98.2,17.3,119.3,21.1,17.2,30.6
1872,114.5,34.8,47.9,38.6,73.2,82.7,69.7,60.1,30.6,119.7,96.1,101
1873,89.7,28.8,48.1,13.7,44.1,42.31,59.18,62.03,57.01,67.28,47.82,16.25
1874,45.97,41.63,13.18,51.27,29.22,38.95,71.55,42.28,88.67,77.94,54.15,43.31
1875,76.79,20.35,20.64,35.15,64.86,80.1,128.54,25.66,62.78,131.7,100.59,22.79
1876,40.41,70.87,61.55,82.54,19.35,34.09,36.46,71.85,116.73,34.91,101.75,147.29
1877,122.55,50.73,64.14,68.29,71,35.25,82.14,65.35,47.92,48.17,130.92,57.91
1878,43.92,45.03,22.26,101.91,124.15,62.62,16.31,123.62,36.49,75.93,120.1,41.84
1879,71.56,94.9,27.67,66.25,88,139.37,106,164.48,78.52,19.67,18.1,20.84
1880,14.03,73.02,27.83,54.26,18.04,49.36,132.69,26.51,144.48,149.25,72.83,87.62
1881,28.53,84.57,53.48,24.69,35.21,41.16,44.01,144.78,53.45,74.4,87.51,109.88
1882,39.34,50.46,37.61,97.1,51.49,99.25,52.19,52.45,56.6,164.19,83.64,77.06
1883,83.3,108.75,19.44,36.27,46.65,55.23,114.7,20.06,100,62.94,88,27.09
1884,64.68,35.18,41.85,44.23,15.61,62.7,61.03,39.65,54.06,41.59,47.55,77.82
1885,74.66,72.14,30.19,71.38,71.72,68.98,8.96,39.59,109.51,119.95,94.68,30.73
1886,71.09,14.02,37.46,47.81,105.73,29.26,60.45,29.39,36.61,99.26,68.74,106.03
1887,55.96,22.94,41.4,28.45,57.15,17.2,17.52,23.97,76.72,39.85,84.71,38.95
1888,20.66,22.47,75.75,51.17,31.31,120.65,95.19,81.98,22.2,24.76,110.98,40.95
1889,30.15,45.77,45.72,60.72,124.33,30.76,141.93,52.93,59.87,90.7,29.03,35.41
1890,74.6,19.1,69.9,30.9,34.0,60.0,114.0,61.5,28.3,37.6,67.2,10.7
1891,53.9,0.9,42.9,36.6,84.9,45.7,57.9,100.0,33.1,169.1,55.1,103.0
1892,21.6,33.1,26.7,18.5,33.5,63.2,73.7,92.1,60.2,98.3,50.7,40.5
1893,48.6,73.2,8.9,5.5,30.4,24.1,74.1,57.9,27.6,110.4,65.6,63.8
1894,57.4,48.0,53.7,42.4,50.4,49.7,59.7,88.8,53.4,84.6,122.4,52.8
1895,53.7,4.5,46.4,36.6,16.6,10.8,125.9,97.8,24.7,63.9,119.2,54.5
1896,27.0,14.4,92.0,22.3,11.5,53.1,30.7,70.6,194.5,98.2,32.9,102.8
1897,46.8,69.6,100.1,45.1,41.4,65.9,11.2,78.2,58.1,21.9,24.6,82.7
1898,19.3,25.7,25.2,34.5,69.2,38.7,35.1,27.4,13.2,70.0,59.0,71.5
