env,gen,score
2012-1,CB27/556-001-F8,6
2012-1,CB27/556-002-F8,6
2012-1,CB27/556-003-F8,1
2012-1,CB27/556-004-F8,8
2012-1,CB27/556-005-F8,7
2012-1,CB27/556-006-F8,7
2012-1,CB27/556-007-F8,1
2012-1,CB27/556-008-F8,1
2012-1,CB27/556-009-F8,5
2012-1,CB27/556-010-F8,4
2012-1,CB27/556-011-F8,8
2012-1,CB27/556-012-F8,1
2012-1,CB27/556-013-F8,6
2012-1,CB27/556-014-F8,8
2012-1,CB27/556-015-F8,7
2012-1,CB27/556-016-F8,3
2012-1,CB27/556-017-F8,8
2012-1,CB27/556-018-F8,*
2012-1,CB27/556-019-F8,8
2012-1,CB27/556-020-F8,6
2012-1,CB27/556-021-F8,*
2012-1,CB27/556-022-F8,*
2012-1,CB27/556-023-F8,*
2012-1,CB27/556-025-F8,0
2012-1,CB27/556-026-F8,0
2012-1,CB27/556-027-F8,*
2012-1,CB27/556-028-F8,0
2012-1,CB27/556-029-F8,7
2012-1,CB27/556-031-F8,7
2012-1,CB27/556-032-F8,*
2012-1,CB27/556-033-F8,7
2012-1,CB27/556-034-F8,1
2012-1,CB27/556-036-F8,*
2012-1,CB27/556-037-F8,*
2012-1,CB27/556-038-F8,*
2012-1,CB27/556-039-F8,1
2012-1,CB27/556-040-F8,2
2012-1,CB27/556-041-F8,0
2012-1,CB27/556-042-F8,1
2012-1,CB27/556-043-F8,0
2012-1,CB27/556-044-F8,7
2012-1,CB27/556-045-F8,0
2012-1,CB27/556-046-F8,1
2012-1,CB27/556-047-F8,7
2012-1,CB27/556-048-F8,1
2012-1,CB27/556-049-F8,1
2012-1,CB27/556-050-F8,*
2012-1,CB27/556-051-F8,0
2012-1,CB27/556-052-F8,0
2012-1,CB27/556-053-F8,7
2012-1,CB27/556-054-F8,1
2012-1,CB27/556-055-F8,0
2012-1,CB27/556-056-F8,8
2012-1,CB27/556-057-F8,1
2012-1,CB27/556-058-F8,*
2012-1,CB27/556-059-F8,*
2012-1,CB27/556-064-F8,8
2012-1,CB27/556-065-F8,*
2012-1,CB27/556-066-F8,0
2012-1,CB27/556-067-F8,0
2012-1,CB27/556-069-F8,*
2012-1,CB27/556-070-F8,*
2012-1,CB27/556-071-F8,7
2012-1,CB27/556-073-F8,1
2012-1,CB27/556-074-F8,1
2012-1,CB27/556-076-F8,6
2012-1,CB27/556-078-F8,*
2012-1,CB27/556-079-F8,7
2012-1,CB27/556-081-F8,4
2012-1,CB27/556-082-F8,7
2012-1,CB27/556-083-F8,*
2012-1,CB27/556-085-F8,2
2012-1,CB27/556-086-F8,4
2012-1,CB27/556-087-F8,*
2012-1,CB27/556-088-F8,8
2012-1,CB27/556-089-F8,*
2012-1,CB27/556-090-F8,8
2012-1,CB27/556-091-F8,2
2012-1,CB27/556-092-F8,5
2012-1,CB27/556-093-F8,0
2012-1,CB27/556-094-F8,*
2012-1,CB27/556-095-F8,4
2012-1,CB27/556-096-F8,*
2012-1,CB27/556-098-F8,*
2012-1,CB27/556-099-F8,0
2012-1,CB27/556-101-F8,4
2012-1,CB27/556-103-F8,4
2012-1,CB27/556-105 F8,7
2012-1,CB27/556-106-F8,2
2012-1,CB27/556-107 F8,8
2012-1,CB27/556-108 F8,*
2012-1,CB27/556-109-F8,7
