year,crop,range,plot,yield,raw,factor,,
1922,fodder,2,1,641.2585815,29087,0.022046226,,
1922,fodder,2,2,648.7542984,29427,0.022046226,,
1922,fodder,2,3,635.9233947,28845,0.022046226,,
1922,fodder,2,4,641.5672286,29101,0.022046226,,
1922,fodder,2,5,596.8795281,27074,0.022046226,,
1922,fodder,2,6,604.3091064,27411,0.022046226,,
1922,fodder,2,7,648.7322522,29426,0.022046226,,
1922,fodder,2,8,659.7553653,29926,0.022046226,,
1922,fodder,2,9,690.0027876,31298,0.022046226,,
1922,fodder,2,10,685.3069414,31085,0.022046226,,
1922,fodder,2,11,695.8229913,31562,0.022046226,,
1922,fodder,2,12,681.6913603,30921,0.022046226,,
1922,fodder,2,13,690.9507753,31341,0.022046226,,
1922,fodder,2,14,692.4058263,31407,0.022046226,,
1922,fodder,2,15,686.3872065,31134,0.022046226,,
1922,fodder,2,16,692.2735489,31401,0.022046226,,
1922,fodder,2,17,672.1453444,30488,0.022046226,,
1922,fodder,2,18,661.6072483,30010,0.022046226,,
1922,fodder,2,19,687.6658876,31192,0.022046226,,
1922,fodder,2,20,666.1708171,30217,0.022046226,,
1922,fodder,2,21,680.3244943,30859,0.022046226,,
1922,fodder,2,22,695.5584366,31550,0.022046226,,
1922,fodder,2,23,657.5507426,29826,0.022046226,,
1922,fodder,2,24,642.9120484,29162,0.022046226,,
1922,fodder,2,25,663.0622992,30076,0.022046226,,
1922,fodder,2,26,653.8910691,29660,0.022046226,,
1922,fodder,2,27,649.0849918,29442,0.022046226,,
1922,fodder,2,28,665.8180775,30201,0.022046226,,
1922,fodder,2,29,648.1370041,29399,0.022046226,,
1922,fodder,2,30,648.1149578,29398,0.022046226,,
1922,fodder,2,31,666.8762963,30249,0.022046226,,
1922,fodder,2,32,669.9407218,30388,0.022046226,,
1922,fodder,2,33,654.464271,29686,0.022046226,,
1922,fodder,2,34,678.0096406,30754,0.022046226,,
1922,fodder,2,35,632.4841835,28689,0.022046226,,
1923,fodder,2,1,404.8789442,18365,0.022046226,,
1923,fodder,2,2,389.3143085,17659,0.022046226,,
1923,fodder,2,3,406.7528734,18450,0.022046226,,
1923,fodder,2,4,391.3646075,17752,0.022046226,,
1923,fodder,2,5,389.6450019,17674,0.022046226,,
1923,fodder,2,6,374.7637992,16999,0.022046226,,
1923,fodder,2,7,405.1434989,18377,0.022046226,,
1923,fodder,2,8,434.6633958,19716,0.022046226,,
1923,fodder,2,9,482.1068745,21868,0.022046226,,
1923,fodder,2,10,495.8857659,22493,0.022046226,,
1923,fodder,2,11,510.8331073,23171,0.022046226,,
1923,fodder,2,12,469.2759709,21286,0.022046226,,
1923,fodder,2,13,422.405694,19160,0.022046226,,
1923,fodder,2,14,443.4818862,20116,0.022046226,,
1923,fodder,2,15,452.520839,20526,0.022046226,,
1923,fodder,2,16,451.9035446,20498,0.022046226,,
1923,fodder,2,17,472.4726737,21431,0.022046226,,
1923,fodder,2,18,447.3179296,20290,0.022046226,,
1923,fodder,2,19,466.7186087,21170,0.022046226,,
1923,fodder,2,20,475.3827756,21563,0.022046226,,
1923,fodder,2,21,458.759921,20809,0.022046226,,
1923,fodder,2,22,454.7916003,20629,0.022046226,,
1923,fodder,2,23,412.5289847,18712,0.022046226,,
1923,fodder,2,24,434.1122401,19691,0.022046226,,
1923,fodder,2,25,468.7248152,21261,0.022046226,,
1923,fodder,2,26,481.1588868,21825,0.022046226,,
1923,fodder,2,27,482.9887236,21908,0.022046226,,
1923,fodder,2,28,482.0627821,21866,0.022046226,,
1923,fodder,2,29,502.52168,22794,0.022046226,,
1923,fodder,2,30,489.4041754,22199,0.022046226,,
