gen EA HN ID NN OA RN WE WK
"2510" 5.7 4.7 4.9 6.0 4.8 5.8 4.8 4.9
"2526" 6.3 6.1 5.4 6.5 5.1 6.6 5.3 6.0
"2533" 6.6 6.3 4.7 6.5 5.4 5.9 4.5 4.8 
"2540" 7.1 6.5 5.6 7.0 6.0 6.2 5.0 5.6
"2557" 7.6 6.1 5.5 6.5 5.1 6.5 4.6 6.2
"2560" 7.6 6.1 5.6 6.9 5.4 7.1 5.0 6.4
"2737" 6.7 5.9 5.2 6.4 5.1 6.1 5.2 5.9
"Ari" 6.3 5.7 4.4 6.2 5.8 5.0 4.2 5.8
"Ash" 5.9 5.3 4.8 6.4 4.6 5.9 4.4 5.8
"Car" 5.7 5.5 4.5 5.6 5.8 4.8 4.1 5.9
"Dex" 7.0 5.8 4.8 6.5 5.8 5.6 4.3 6.1
"Dlt" 5.5 4.5 4.3 4.5 4.7 3.1 2.6 4.1
"Ess" 7.0 5.8 5.3 6.3 6.1 5.8 4.7 6.1
"Fre" 6.8 5.6 4.9 6.2 4.7 5.6 4.2 6.1
"Fun" 6.5 5.1 4.4 5.8 4.6 5.5 4.4 5.5
"Han" 5.9 5.3 4.4 5.7 4.8 5.2 4.1 5.0
"Har" 7.0 5.8 4.6 6.2 4.9 5.2 4.6 5.7
"Hur" 6.6 6.0 4.9 6.3 5.4 5.1 4.5 6.2
"Kar" 7.0 5.7 4.8 6.5 5.5 5.3 4.2 6.4
"Ljh95" 5.6 5.0 4.8 5.8 4.2 5.7 4.8 5.7
"Mac" 6.6 6.8 5.2 6.6 6.0 5.4 4.6 6.8
"Mar" 6.6 5.4 4.5 6.2 5.3 5.0 3.8 5.6
"Men" 7.6 6.1 5.1 6.8 5.8 5.6 4.8 6.2
"Mon" 6.1 4.7 4.1 5.5 4.0 4.8 4.2 5.0
"Mor" 7.1 5.9 4.4 6.0 5.2 4.7 3.9 5.6
"Mou" 7.4 6.1 5.3 6.7 6.0 6.0 5.2 6.7
"Mwh" 5.8 5.5 4.8 5.8 4.3 5.8 3.7 5.8
"Pat" 6.7 5.8 4.9 6.2 5.0 5.7 4.5 5.8
"Ron" 6.6 5.9 4.5 6.3 5.7 5.4 4.1 6.4
"S93" 5.2 4.6 3.7 4.7 5.2 3.8 2.6 4.6
"Sup" 7.1 6.1 4.6 6.7 5.7 4.9 4.1 6.3
