year	gen	height
1974	G01	81
1975	G01	67.3
1976	G01	71.5
1977	G01	64.3
1978	G01	55.8
1979	G01	84.9
1980	G01	86.2
1981	G01	88
1982	G01	72
1974	G02	72.3
1975	G02	60.3
1976	G02	60.8
1977	G02	55.3
1978	G02	48.8
1979	G02	78.1
1980	G02	80.4
1981	G02	85.3
1982	G02	69.8
1974	G03	79.3
1975	G03	67.8
1976	G03	64.8
1977	G03	57.5
1978	G03	46.8
1979	G03	80.2
1980	G03	81.8
1981	G03	87.8
1982	G03	71.8
1974	G04	88.5
1975	G04	70.8
1976	G04	76.3
1977	G04	69.5
1978	G04	64
1979	G04	90.8
1980	G04	97.3
1981	G04	97.8
1982	G04	86
1974	G05	78.5
1975	G05	67.5
1976	G05	72.5
1977	G05	61
1978	G05	50.3
1979	G05	78.7
1980	G05	82.7
1981	G05	87.3
1982	G05	66
1974	G06	89.3
1975	G06	74.5
1976	G06	80.5
1977	G06	67.8
1978	G06	60.8
1979	G06	86.3
1980	G06	90.2
1981	G06	100
1982	G06	81.3
1974	G07	94.3
1975	G07	73
1976	G07	80.3
1977	G07	68.5
1978	G07	63.8
1979	G07	96
1980	G07	100.7
1981	G07	106.5
1982	G07	85.3
1974	G08	88.8
1975	G08	63.8
1976	G08	66.8
1977	G08	78.5
1978	G08	70.3
1979	G08	86.1
1980	G08	104.3
1981	G08	102
1982	G08	82.5
1974	G09	91.3
1975	G09	67
1976	G09	73.8
1977	G09	75.8
1978	G09	71.5
1979	G09	90.5
1980	G09	100.6
1981	G09	102.8
1982	G09	86.3
1974	G10	91.8
1975	G10	65.5
1976	G10	77
1977	G10	80
1978	G10	73.5
1979	G10	88
1980	G10	104.7
1981	G10	102
1982	G10	87.3
1974	G11	86
1975	G11	69.8
1976	G11	73.8
1977	G11	77.3
1978	G11	75.5
1979	G11	88.8
1980	G11	106.4
1981	G11	103.8
1982	G11	86.8
1974	G12	91
1975	G12	71.8
1976	G12	81
1977	G12	65.5
1978	G12	54.5
1979	G12	87.9
1980	G12	84.8
1981	G12	91.8
1982	G12	77.8
1974	G13	75.5
1975	G13	56.5
1976	G13	67
1977	G13	64.3
1978	G13	58.8
1979	G13	86.7
1980	G13	85.2
1981	G13	91.8
1982	G13	76
1974	G14	96.8
1975	G14	81.5
1976	G14	86.3
1977	G14	73.3
1978	G14	59.3
1979	G14	97
1980	G14	96.1
1981	G14	95.8
1982	G14	90.3
1974	G15	97
1975	G15	83.3
1976	G15	86.8
1977	G15	72
1978	G15	49.3
1979	G15	91.3
1980	G15	94.6
1981	G15	95.5
1982	G15	80.8
