gen	trial	env	yield	year	loc
G16	T2	E01	590	2001	Mieso
G17	T2	E01	554	2001	Mieso
G18	T2	E01	586	2001	Mieso
G19	T2	E01	738	2001	Mieso
G20	T2	E01	489	2001	Mieso
G21	T2	E01	684	2001	Mieso
G22	T2	E01	555	2001	Mieso
G23	T2	E01	1025	2001	Mieso
G24	T2	E01	493	2001	Mieso
G25	T2	E01	691	2001	Mieso
G26	T2	E01	776	2001	Mieso
G27	T2	E01	526	2001	Mieso
G28	T2	E01	706	2001	Mieso
G16	T2	E02	3012	2001	Melkassa
G17	T2	E02	3283	2001	Melkassa
G18	T2	E02	3237	2001	Melkassa
G19	T2	E02	3844	2001	Melkassa
G20	T2	E02	4080	2001	Melkassa
G21	T2	E02	3096	2001	Melkassa
G22	T2	E02	4159	2001	Melkassa
G23	T2	E02	4252	2001	Melkassa
G24	T2	E02	3432	2001	Melkassa
G25	T2	E02	3453	2001	Melkassa
G26	T2	E02	3247	2001	Melkassa
G27	T2	E02	3103	2001	Melkassa
G28	T2	E02	3203	2001	Melkassa
G16	T2	E03	3621	2001	Kobo
G17	T2	E03	4482	2001	Kobo
G18	T2	E03	4162	2001	Kobo
G19	T2	E03	4515	2001	Kobo
G20	T2	E03	4742	2001	Kobo
G21	T2	E03	4690	2001	Kobo
G22	T2	E03	4615	2001	Kobo
G23	T2	E03	5112	2001	Kobo
G24	T2	E03	4542	2001	Kobo
G25	T2	E03	4591	2001	Kobo
G26	T2	E03	4823	2001	Kobo
G27	T2	E03	3804	2001	Kobo
G28	T2	E03	4463	2001	Kobo
G16	T2	E04	1226	2002	Melkassa
G17	T2	E04	1484	2002	Melkassa
G18	T2	E04	1100	2002	Melkassa
G19	T2	E04	640	2002	Melkassa
G20	T2	E04	760	2002	Melkassa
G21	T2	E04	2246	2002	Melkassa
G22	T2	E04	1544	2002	Melkassa
G23	T2	E04	2524	2002	Melkassa
G24	T2	E04	439	2002	Melkassa
G25	T2	E04	1280	2002	Melkassa
G26	T2	E04	1691	2002	Melkassa
G27	T2	E04	1339	2002	Melkassa
G28	T2	E04	570	2002	Melkassa
G16	T2	E05	6431	2002	Kobo
G17	T2	E05	5094	2002	Kobo
G18	T2	E05	3461	2002	Kobo
G19	T2	E05	8042	2002	Kobo
G20	T2	E05	4932	2002	Kobo
G21	T2	E05	6096	2002	Kobo
G22	T2	E05	5624	2002	Kobo
G23	T2	E05	4620	2002	Kobo
G24	T2	E05	5992	2002	Kobo
G25	T2	E05	4715	2002	Kobo
G26	T2	E05	5496	2002	Kobo
G27	T2	E05	3876	2002	Kobo
G28	T2	E05	4389	2002	Kobo
G01	T1	E06	4800	2003	Mieso
G02	T1	E06	4375	2003	Mieso
G03	T1	E06	4700	2003	Mieso
G04	T1	E06	4650	2003	Mieso
G05	T1	E06	4750	2003	Mieso
G06	T1	E06	4275	2003	Mieso
G07	T1	E06	4100	2003	Mieso
G08	T1	E06	4100	2003	Mieso
G09	T1	E06	4700	2003	Mieso
G10	T1	E06	4375	2003	Mieso
G11	T1	E06	4575	2003	Mieso
G12	T1	E06	4525	2003	Mieso
G13	T1	E06	4000	2003	Mieso
G14	T1	E06	3900	2003	Mieso
G15	T1	E06	3675	2003	Mieso
G16	T2	E06	4525	2003	Mieso
G17	T2	E06	3850	2003	Mieso
G18	T2	E06	4800	2003	Mieso
G19	T2	E06	5625	2003	Mieso
