"row"	"col"	"yield"
1	1	261
2	1	309
3	1	291
4	1	329
5	1	333
6	1	306
7	1	352
8	1	298
9	1	327
10	1	251
11	1	278
12	1	307
13	1	270
14	1	270
15	1	308
16	1	285
1	2	318
2	2	365
3	2	382
4	2	355
5	2	415
6	2	381
7	2	362
8	2	369
9	2	364
10	2	339
11	2	318
12	2	299
13	2	265
14	2	276
15	2	302
16	2	235
1	3	299
2	3	372
3	3	356
4	3	320
5	3	315
6	3	285
7	3	320
8	3	355
9	3	295
10	3	336
11	3	317
12	3	356
13	3	361
14	3	254
15	3	257
16	3	276
1	4	299
2	4	342
3	4	248
4	4	277
5	4	258
6	4	333
7	4	353
8	4	342
9	4	281
10	4	309
11	4	277
12	4	289
13	4	337
14	4	289
15	4	271
16	4	235
1	5	325
2	5	369
3	5	349
4	5	307
5	5	343
6	5	346
7	5	310
8	5	380
9	5	330
10	5	270
11	5	281
12	5	320
13	5	328
14	5	284
15	5	291
16	5	269
1	6	332
2	6	309
3	6	289
4	6	272
5	6	299
6	6	340
7	6	364
8	6	300
9	6	346
10	6	348
11	6	289
12	6	310
13	6	301
14	6	246
15	6	307
16	6	308
1	7	352
2	7	343
3	7	331
4	7	336
5	7	423
6	7	317
7	7	377
8	7	371
9	7	341
10	7	288
11	7	249
12	7	345
13	7	269
14	7	249
15	7	268
16	7	282
1	8	333
2	8	393
3	8	363
4	8	343
5	8	335
6	8	290
7	8	388
8	8	402
9	8	283
10	8	323
11	8	329
12	8	320
13	8	265
14	8	299
15	8	330
16	8	264
1	9	307
2	9	424
3	9	386
4	9	323
5	9	397
6	9	328
7	9	409
8	9	353
9	9	370
10	9	366
11	9	281
12	9	304
13	9	289
14	9	283
15	9	310
16	9	222
1	10	327
2	10	427
3	10	424
4	10	356
5	10	402
6	10	342
7	10	454
8	10	97
9	10	311
10	10	339
11	10	292
12	10	235
13	10	243
14	10	239
15	10	290
16	10	216
1	11	309
2	11	463
3	11	453
4	11	431
5	11	355
6	11	371
7	11	393
8	11	340
9	11	388
10	11	402
11	11	373
12	11	332
13	11	284
14	11	305
15	11	236
16	11	207
1	12	317
2	12	476
3	12	425
4	12	423
5	12	357
6	12	343
7	12	455
8	12	419
9	12	360
10	12	378
11	12	343
12	12	337
13	12	298
14	12	290
15	12	230
16	12	208
1	13	418
2	13	402
3	13	398
4	13	363
5	13	379
6	13	362
7	13	398
8	13	390
9	13	359
10	13	409
11	13	390
12	13	224
13	13	303
14	13	291
15	13	248
16	13	181
1	14	406
2	14	416
3	14	316
4	14	377
5	14	331
6	14	333
7	14	409
8	14	347
9	14	360
10	14	384
11	14	358
12	14	309
13	14	270
14	14	261
15	14	276
16	14	294
1	15	355
2	15	378
3	15	374
4	15	293
5	15	354
6	15	349
7	15	384
8	15	381
9	15	350
10	15	370
11	15	362
12	15	313
13	15	291
14	15	295
15	15	248
16	15	213
1	16	274
2	16	396
3	16	327
4	16	345
5	16	353
6	16	354
7	16	357
8	16	356
9	16	393
10	16	352
11	16	348
12	16	348
13	16	276
14	16	310
15	16	282
16	16	211
