env	gen	y
E1	G01	0
E1	G02	0
E1	G03	66.7
E1	G04	0
E1	G05	0
E1	G06	0
E1	G07	0
E1	G08	3.3
E1	G09	0
E1	G10	0
E1	G11	0
E1	G12	0
E1	G13	0
E1	G14	0
E1	G15	13.3
E1	G16	10
E1	G17	3.3
E1	G18	0
E1	G19	26.7
E1	G20	0
E1	G21	0
E1	G22	0
E1	G23	26.7
E1	G24	0
E1	G25	0
E1	G26	0
E1	G27	0
E1	G28	0
E1	G29	0
E1	G30	3.3
E1	G31	0
E1	G32	30
E2	G01	0
E2	G02	0
E2	G03	1.3
E2	G04	0
E2	G05	0
E2	G06	0
E2	G07	0
E2	G08	0
E2	G09	0
E2	G10	0
E2	G11	0
E2	G12	0
E2	G13	0
E2	G14	0
E2	G15	0
E2	G16	0
E2	G17	0
E2	G18	0
E2	G19	0
E2	G20	0
E2	G21	0
E2	G22	0
E2	G23	0
E2	G24	0
E2	G25	0
E2	G26	0
E2	G27	0
E2	G28	0
E2	G29	0
E2	G30	3
E2	G31	0.3
E2	G32	1.3
E3	G01	0
E3	G02	0
E3	G03	0.7
E3	G04	0
E3	G05	0
E3	G06	0.7
E3	G07	0
E3	G08	0
E3	G09	0
E3	G10	0
E3	G11	0
E3	G12	0
E3	G13	0
E3	G14	0
E3	G15	0
E3	G16	0
E3	G17	0
E3	G18	0
E3	G19	0
E3	G20	0
E3	G21	0
E3	G22	0
E3	G23	0.3
E3	G24	0
E3	G25	0
E3	G26	0
E3	G27	0
E3	G28	0.3
E3	G29	0
E3	G30	0
E3	G31	0.3
E3	G32	0
E4	G01	0.3
E4	G02	0
E4	G03	1
E4	G04	0
E4	G05	0
E4	G06	0.3
E4	G07	0
E4	G08	1.7
E4	G09	0
E4	G10	0
E4	G11	0
E4	G12	0
E4	G13	0.3
E4	G14	1.3
E4	G15	2.7
E4	G16	0
E4	G17	0
E4	G18	0.7
E4	G19	0.7
E4	G20	0
E4	G21	0
E4	G22	0.3
E4	G23	0
E4	G24	2
E4	G25	1
E4	G26	0
E4	G27	0
E4	G28	0
E4	G29	1
E4	G30	2
E4	G31	0
E4	G32	0.3
E5	G01	7.7
E5	G02	1.7
E5	G03	6.7
E5	G04	0
E5	G05	2.7
E5	G06	10
E5	G07	5
E5	G08	28.3
E5	G09	37.7
E5	G10	1
E5	G11	4.3
E5	G12	1
E5	G13	30
E5	G14	1.7
E5	G15	13.3
E5	G16	8.3
E5	G17	4.3
E5	G18	0
E5	G19	2.3
E5	G20	2
E5	G21	2.7
E5	G22	3.3
E5	G23	16.7
E5	G24	15
E5	G25	11.7
E5	G26	0
E5	G27	13.3
E5	G28	5
E5	G29	11
E5	G30	11
E5	G31	9.3
E5	G32	8.3
E6	G01	0
E6	G02	0
E6	G03	0
E6	G04	0
E6	G05	0
E6	G06	0
E6	G07	0
E6	G08	0.3
E6	G09	0
E6	G10	0
E6	G11	0
E6	G12	0
E6	G13	0
E6	G14	0
E6	G15	0.3
E6	G16	0.3
E6	G17	0
E6	G18	0
E6	G19	0
E6	G20	0
E6	G21	0.3
E6	G22	0
E6	G23	0.3
E6	G24	0
E6	G25	0.3
E6	G26	0
E6	G27	0
E6	G28	4
E6	G29	0
E6	G30	0
E6	G31	0.3
E6	G32	0
E7	G01	0.4
E7	G02	0
E7	G03	0
E7	G04	0
E7	G05	0
E7	G06	0
E7	G07	0
E7	G08	0.3
E7	G09	0
E7	G10	0
E7	G11	0
E7	G12	0
E7	G13	0
E7	G14	0
E7	G15	0
E7	G16	0.2
E7	G17	0.2
E7	G18	0
E7	G19	0
E7	G20	0
E7	G21	0
E7	G22	0
E7	G23	0.2
E7	G24	0
E7	G25	0
E7	G26	0.2
E7	G27	0
E7	G28	0.2
E7	G29	0
E7	G30	0.2
E7	G31	0
E7	G32	0
