"row"	"col"	"yield"
1	1	609.5
2	1	549
3	1	607.5
4	1	628.5
5	1	647.5
6	1	592.5
7	1	766
8	1	680
9	1	645
10	1	655.5
11	1	923
12	1	667
13	1	593.5
14	1	581
15	1	738
16	1	722.5
17	1	650
18	1	680
19	1	644.5
20	1	677
21	1	749.5
22	1	622.5
23	1	666
24	1	583
25	1	571
26	1	574.5
27	1	433
28	1	405.5
29	1	619.5
30	1	629
1	2	549
2	2	496
3	2	568
4	2	494.5
5	2	557.5
6	2	669
7	2	652
8	2	651.5
9	2	670
10	2	649.5
11	2	692
12	2	688.5
13	2	592
14	2	765.5
15	2	633
16	2	645
17	2	664.5
18	2	684.5
19	2	571.5
20	2	603
21	2	695
22	2	662
23	2	670
24	2	666.5
25	2	604.5
26	2	622.5
27	2	568
28	2	576
29	2	500.5
30	2	538.5
1	3	525
2	3	546
3	3	559.5
4	3	491.5
5	3	509.5
6	3	508
7	3	633.5
8	3	780.5
9	3	523.5
10	3	500.5
11	3	628.5
12	3	581.5
13	3	667.5
14	3	749
15	3	682.5
16	3	651
17	3	665
18	3	606.5
19	3	454.5
20	3	615
21	3	620
22	3	541
23	3	651.5
24	3	538.5
25	3	625.5
26	3	564
27	3	575
28	3	630
29	3	562.5
30	3	460.5
1	4	612.5
2	4	437.5
3	4	587.5
4	4	589
5	4	563
6	4	521.5
7	4	770.5
8	4	492
9	4	704
10	4	565
11	4	611
12	4	631.5
13	4	644.5
14	4	654.5
15	4	620
16	4	597
17	4	669.5
18	4	643
19	4	613.5
20	4	628
21	4	648.5
22	4	635
23	4	550.5
24	4	593.5
25	4	611
26	4	704
27	4	799
28	4	531.5
29	4	642.5
30	4	538.5
1	5	710.5
2	5	619.5
3	5	632
4	5	595
5	5	574
6	5	716.5
7	5	687
8	5	584.5
9	5	657.5
10	5	646.5
11	5	671
12	5	681.5
13	5	565.5
14	5	553
15	5	623.5
16	5	664.5
17	5	672.5
18	5	464
19	5	629.5
20	5	529.5
21	5	611.5
22	5	641
23	5	611
24	5	685.5
25	5	515.5
26	5	540
27	5	745
28	5	673.5
29	5	597
30	5	574.5
1	6	584.5
2	6	662
3	6	582
4	6	597.5
5	6	532.5
6	6	545.5
7	6	496
8	6	558.5
9	6	660.5
10	6	696.5
11	6	567.5
12	6	628
13	6	547
14	6	631.5
15	6	658.5
16	6	622
17	6	603
18	6	635.5
19	6	686.5
20	6	611.5
21	6	634
22	6	629.5
23	6	603.5
24	6	632
25	6	542
26	6	526
27	6	550
28	6	514
29	6	652
30	6	456.5
1	7	665.5
2	7	611
3	7	553.5
4	7	576.5
5	7	524
6	7	636
7	7	583
8	7	527
9	7	699.5
10	7	647.5
11	7	747
12	7	665.5
13	7	632.5
14	7	625.5
15	7	543
16	7	644.5
17	7	564
18	7	550
19	7	587
20	7	636.5
21	7	578.5
22	7	521.5
23	7	400.5
24	7	504.5
25	7	486.5
26	7	574.5
27	7	619.5
28	7	460.5
29	7	515.5
30	7	590.5
1	8	608.5
2	8	550.5
3	8	616
4	8	637
5	8	653.5
6	8	575.5
7	8	543.5
8	8	569.5
9	8	596.5
10	8	648
11	8	520
12	8	581.5
13	8	589.5
14	8	616
15	8	594
16	8	616.5
17	8	671.5
18	8	653.5
19	8	632.5
20	8	583
21	8	554
22	8	610
23	8	540
24	8	543.5
25	8	570
26	8	669.5
27	8	749
28	8	574
29	8	518
30	8	584.5
1	9	640
2	9	645
3	9	636.5
4	9	734.5
5	9	557
6	9	631
7	9	550
8	9	569.5
9	9	515.5
10	9	521
11	9	536
12	9	596
13	9	501.5
14	9	540
15	9	551.5
16	9	544
17	9	530.5
18	9	516
19	9	571.5
20	9	674
21	9	544.5
22	9	502.5
23	9	477.5
24	9	539
25	9	574
26	9	676.5
27	9	516.5
28	9	731.5
29	9	550
30	9	527.5
1	10	555.5
2	10	654.5
3	10	412.5
4	10	525
5	10	559
6	10	567.5
7	10	577.5
8	10	649
9	10	531
10	10	566.5
11	10	652.5
12	10	587
13	10	547.5
14	10	640.5
15	10	632
16	10	594.5
17	10	608
18	10	573
19	10	561.5
20	10	633
21	10	579.5
22	10	582.5
23	10	617.5
24	10	618
25	10	701.5
26	10	557.5
27	10	626
28	10	516.5
29	10	546.5
30	10	500.5
1	11	419
2	11	493.5
3	11	526
4	11	524
5	11	469
6	11	426.5
7	11	482.5
8	11	601.5
9	11	595
10	11	506
11	11	485.5
12	11	558
13	11	571
14	11	610
15	11	585.5
16	11	515.5
17	11	535.5
18	11	539.5
19	11	641
20	11	723.5
21	11	591.5
22	11	574
23	11	633.5
24	11	649
25	11	674
26	11	593
27	11	565
28	11	762
29	11	637
30	11	666
1	12	462
2	12	421
3	12	515.5
4	12	498
5	12	522.5
6	12	476.5
7	12	453.5
8	12	521
9	12	586.5
10	12	581.5
11	12	542.5
12	12	650
13	12	632.5
14	12	627
15	12	591.5
16	12	655
17	12	648.5
18	12	701.5
19	12	677
20	12	588
21	12	629.5
22	12	692
23	12	642.5
24	12	551
25	12	518
