"row"	"col"	"yield"
1	1	60
2	1	78
3	1	94
4	1	77
5	1	55
6	1	46
7	1	68
8	1	37
1	2	60
2	2	68
3	2	54
4	2	55
5	2	33
6	2	33
7	2	38
8	2	18
1	3	58
2	3	48
3	3	37
4	3	43
5	3	34
6	3	49
7	3	51
8	3	41
1	4	39
2	4	40
3	4	48
4	4	40
5	4	43
6	4	45
7	4	43
8	4	31
1	5	37
2	5	31
3	5	40
4	5	41
5	5	35
6	5	46
7	5	37
8	5	31
1	6	45
2	6	46
3	6	48
4	6	49
5	6	35
6	6	34
7	6	41
8	6	53
1	7	27
2	7	27
3	7	26
4	7	33
5	7	26
6	7	27
7	7	25
8	7	41
1	8	34
2	8	26
3	8	28
4	8	30
5	8	24
6	8	33
7	8	26
8	8	39
1	9	25
2	9	29
3	9	33
4	9	36
5	9	35
6	9	30
7	9	36
8	9	43
1	10	41
2	10	32
3	10	28
4	10	27
5	10	45
6	10	46
7	10	40
8	10	44
1	11	47
2	11	37
3	11	53
4	11	40
5	11	30
6	11	28
7	11	32
8	11	33
1	12	28
2	12	28
3	12	32
4	12	33
5	12	38
6	12	36
7	12	41
8	12	30
1	13	40
2	13	33
3	13	34
4	13	34
5	13	34
6	13	26
7	13	29
8	13	34
1	14	30
2	14	30
3	14	24
4	14	34
5	14	31
6	14	34
7	14	33
8	14	39
1	15	57
2	15	52
3	15	58
4	15	60
5	15	41
6	15	46
7	15	48
8	15	32
1	16	49
2	16	43
3	16	50
4	16	49
5	16	37
6	16	32
7	16	38
8	16	25
1	17	39
2	17	40
3	17	38
4	17	41
5	17	43
6	17	34
7	17	35
8	17	23
1	18	30
2	18	32
3	18	35
4	18	37
5	18	31
6	18	30
7	18	38
8	18	13
1	19	29
2	19	32
3	19	34
4	19	33
5	19	70
6	19	88
7	19	82
8	19	82
1	20	70
2	20	72
3	20	78
4	20	82
5	20	84
6	20	101
7	20	86
8	20	70
1	21	52
2	21	70
3	21	76
4	21	73
5	21	82
6	21	78
7	21	69
8	21	72
1	22	68
2	22	48
3	22	70
4	22	66
5	22	84
6	22	69
7	22	64
8	22	44
1	23	61
2	23	66
3	23	79
4	23	78
5	23	94
6	23	81
7	23	78
8	23	73
1	24	38
2	24	39
3	24	44
4	24	40
5	24	34
6	24	40
7	24	38
8	24	25
1	25	33
2	25	40
3	25	41
4	25	43
5	25	38
6	25	60
7	25	36
8	25	32
1	26	48
2	26	42
3	26	46
4	26	54
5	26	51
6	26	66
7	26	46
8	26	44
1	27	52
2	27	48
3	27	35
4	27	60
5	27	67
6	27	64
7	27	59
8	27	52
1	28	48
2	28	67
3	28	45
4	28	52
5	28	29
6	28	40
7	28	39
8	28	42
1	29	48
2	29	46
3	29	43
4	29	45
5	29	52
6	29	52
7	29	44
8	29	57
1	30	37
2	30	32
3	30	29
4	30	30
5	30	20
6	30	29
7	30	39
8	30	40
1	31	36
2	31	43
3	31	30
4	31	31
5	31	40
6	31	36
7	31	28
8	31	38
1	32	30
2	32	26
3	32	23
4	32	24
5	32	25
6	32	28
7	32	28
8	32	42
1	33	31
2	33	30
3	33	24
4	33	31
5	33	23
6	33	21
7	33	32
8	33	26
1	34	20
2	34	20
3	34	24
4	34	29
5	34	40
6	34	32
7	34	36
8	34	49
1	35	32
2	35	26
3	35	28
4	35	38
5	35	32
6	35	31
7	35	40
8	35	32
1	36	35
2	36	34
3	36	28
4	36	32
5	36	38
6	36	31
7	36	35
8	36	37
1	37	40
2	37	34
3	37	33
4	37	46
5	37	33
6	37	31
7	37	30
8	37	21
1	38	34
2	38	35
3	38	36
4	38	35
5	38	22
6	38	35
7	38	28
8	38	25
1	39	43
2	39	36
3	39	43
4	39	34
5	39	37
6	39	40
7	39	25
8	39	32
1	40	45
2	40	38
3	40	26
4	40	28
5	40	23
6	40	33
7	40	26
8	40	25
1	41	33
2	41	16
3	41	16
4	41	19
5	41	17
6	41	23
7	41	21
8	41	12
1	42	50
2	42	64
3	42	90
4	42	84
5	42	90
6	42	77
7	42	80
8	42	76
1	43	64
2	43	50
3	43	75
4	43	63
5	43	89
6	43	87
7	43	66
8	43	86
1	44	42
2	44	40
3	44	64
4	44	73
5	44	64
6	44	76
7	44	77
8	44	72
1	45	50
2	45	41
3	45	70
4	45	57
5	45	67
6	45	60
7	45	70
8	45	60
1	46	67
2	46	50
3	46	61
4	46	72
5	46	71
6	46	73
7	46	61
8	46	59
1	47	72
2	47	76
3	47	50
4	47	51
5	47	68
6	47	54
7	47	52
8	47	52
1	48	38
2	48	40
3	48	48
4	48	66
5	48	47
6	48	72
7	48	58
8	48	40
1	49	68
2	49	80
3	49	54
4	49	67
5	49	52
6	49	66
7	49	58
8	49	59
1	50	72
2	50	58
3	50	44
4	50	67
5	50	62
6	50	47
7	50	52
8	50	46
1	51	40
2	51	32
3	51	21
4	51	35
5	51	42
6	51	26
7	51	28
8	51	29
1	52	39
2	52	30
3	52	32
4	52	39
5	52	28
6	52	35
7	52	33
8	52	28
1	53	38
2	53	40
3	53	39
4	53	51
5	53	41
6	53	33
7	53	44
8	53	30
1	54	44
2	54	34
3	54	28
4	54	33
5	54	38
6	54	38
7	54	29
8	54	39
1	55	24
2	55	30
3	55	23
4	55	24
5	55	37
6	55	29
7	55	25
8	55	26
1	56	28
2	56	25
3	56	40
4	56	40
5	56	32
6	56	31
7	56	29
8	56	25
1	57	40
2	57	27
3	57	32
4	57	29
5	57	40
6	57	40
7	57	32
8	57	30
1	58	33
2	58	35
3	58	33
4	58	24
5	58	34
6	58	37
7	58	25
8	58	29
1	59	32
2	59	35
3	59	48
4	59	40
5	59	32
6	59	37
7	59	29
8	59	29
1	60	28
2	60	23
3	60	20
4	60	23
5	60	18
6	60	20
7	60	26
8	60	12
1	61	30
2	61	28
3	61	25
4	61	31
5	61	41
6	61	40
7	61	46
8	61	26
1	62	41
2	62	36
3	62	43
4	62	43
5	62	35
6	62	43
7	62	76
8	62	44
1	63	34
2	63	38
3	63	36
4	63	43
5	63	46
6	63	42
7	63	58
8	63	37
1	64	39
2	64	38
3	64	35
4	64	38
5	64	78
6	64	76
7	64	76
8	64	81
1	65	53
2	65	44
3	65	61
4	65	62
5	65	75
6	65	60
7	65	54
8	65	74
1	66	49
2	66	36
3	66	43
4	66	72
5	66	66
6	66	61
7	66	54
8	66	75
1	67	45
2	67	42
3	67	46
4	67	59
5	67	55
6	67	53
7	67	60
8	67	87
1	68	43
2	68	48
3	68	50
4	68	65
5	68	56
6	68	65
7	68	74
8	68	90
1	69	76
2	69	73
3	69	57
4	69	78
5	69	63
