"row"	"col"	"yield"
1	1	0.7
2	1	0.9
3	1	0.85
4	1	0.75
5	1	0.62
6	1	0.67
7	1	0.67
8	1	0.88
9	1	0.57
10	1	0.93
11	1	1.03
12	1	0.62
1	2	0.61
2	2	0.72
3	2	0.62
4	2	0.63
5	2	0.72
6	2	0.69
7	2	0.71
8	2	0.76
9	2	0.68
10	2	0.75
11	2	0.7
12	2	0.78
1	3	0.71
2	3	0.71
3	3	0.65
4	3	0.72
5	3	0.64
6	3	0.73
7	3	0.76
8	3	0.71
9	3	0.6
10	3	0.78
11	3	0.84
12	3	0.71
1	4	0.57
2	4	0.56
3	4	0.66
4	4	0.75
5	4	0.73
6	4	0.74
7	4	0.75
8	4	0.76
9	4	0.75
10	4	0.85
11	4	0.8
12	4	0.72
1	5	0.71
2	5	0.72
3	5	0.66
4	5	0.67
5	5	0.71
6	5	0.62
7	5	0.53
8	5	0.86
9	5	0.49
10	5	0.87
11	5	0.94
12	5	0.76
1	6	0.71
2	6	0.75
3	6	0.63
4	6	0.65
5	6	0.85
6	6	0.59
7	6	0.67
8	6	0.8
9	6	0.88
10	6	0.97
11	6	0.79
12	6	0.89
1	7	0.63
2	7	0.68
3	7	0.68
4	7	0.52
5	7	0.7
6	7	0.78
7	7	0.59
8	7	0.67
9	7	0.67
10	7	0.79
11	7	0.76
12	7	0.74
1	8	0.62
2	8	0.67
3	8	0.73
4	8	0.46
5	8	0.66
6	8	0.78
7	8	0.57
8	8	0.67
9	8	0.77
10	8	0.67
11	8	0.78
12	8	0.73
