rep	row	pos	spacing	stock	gen	yield	trt
R1	2	1	6	Seedling	Redspur	70.9	601
R1	2	2	6	Seedling	Golden	130.9	602
R1	2	8	6	MM111	Redspur	114.5	611
R1	2	7	6	MM111	Golden	90.5	612
R1	2	3	6	M0007	Redspur	151.8	671
R1	2	4	6	M0007	Golden	125	672
R1	2	5	6	MM106	Redspur	NA	661
R1	2	6	6	MM106	Golden	NA	662
R1	2	16	10	MM111	Redspur	121.4	1011
R1	2	12	10	M0007	Redspur	64.1	1071
R1	2	14	10	M0007	Golden	100.5	1072
R1	3	6	10	Seedling	Redspur	136.4	1001
R1	3	4	10	Seedling	Golden	155	1002
R1	3	2	10	MM111	Golden	NA	1012
R1	3	10	10	MM106	Redspur	189.1	1061
R1	3	8	10	MM106	Golden	102.3	1062
R1	3	14	14	MM106	Redspur	244.5	1461
R1	3	17	14	MM106	Golden	NA	1462
R1	4	8	14	Seedling	Redspur	NA	1401
R1	4	11	14	Seedling	Golden	NA	1402
R1	4	14	14	MM111	Redspur	86.4	1411
R1	4	17	14	MM111	Golden	149.1	1412
R1	4	2	14	M0007	Redspur	96.8	1471
R1	4	5	14	M0007	Golden	120.9	1472
R2	5	5	14	MM111	Redspur	148.6	1411
R2	5	2	14	MM111	Golden	126.4	1412
R2	5	8	14	MM106	Redspur	175.5	1461
R2	5	11	14	MM106	Golden	176.4	1462
R2	5	14	14	M0007	Redspur	NA	1471
R2	5	17	14	M0007	Golden	NA	1472
R2	6	9	6	Seedling	Redspur	73.2	601
R2	6	10	6	Seedling	Golden	90.9	602
R2	6	13	6	MM111	Redspur	NA	611
R2	6	14	6	MM111	Golden	90.9	612
R2	6	12	6	MM106	Redspur	98.2	661
R2	6	11	6	MM106	Golden	98.2	662
R2	6	16	6	M0007	Redspur	111.8	671
R2	6	15	6	M0007	Golden	132.7	672
R2	6	5	14	Seedling	Golden	NA	1402
R2	6	2	14	Seedling	Redspur	82.7	1401
R2	7	6	10	Seedling	Redspur	NA	1001
R2	7	8	10	Seedling	Golden	241.4	1002
R2	7	10	10	MM111	Redspur	175.9	1011
R2	7	12	10	MM111	Golden	NA	1012
R2	7	4	10	MM106	Redspur	148.2	1061
R2	7	2	10	MM106	Golden	170	1062
R2	7	14	10	M0007	Redspur	NA	1071
R2	7	16	10	M0007	Golden	193.6	1072
R3	8	11	14	MM111	Redspur	146.8	1411
R3	8	8	14	MM111	Golden	72.3	1412
R3	8	17	14	MM106	Golden	NA	1462
R3	8	14	14	MM106	Redspur	156.8	1461
R3	8	2	14	M0007	Redspur	215	1471
R3	8	5	14	M0007	Golden	230.5	1472
R3	9	11	6	Seedling	Redspur	88.6	601
R3	9	12	6	Seedling	Golden	NA	602
R3	9	15	6	MM111	Redspur	116.4	611
R3	9	16	6	MM111	Golden	77.7	612
R3	9	10	6	MM106	Redspur	155.5	661
R3	9	9	6	MM106	Golden	185.5	662
R3	9	13	6	M0007	Redspur	100.9	671
R3	9	14	6	M0007	Golden	147.3	672
R3	9	5	14	Seedling	Redspur	111.8	1401
R3	9	2	14	Seedling	Golden	149.5	1402
R3	10	14	10	MM111	Redspur	105.5	1011
R3	10	8	10	Seedling	Redspur	NA	1001
R3	10	6	10	Seedling	Golden	NA	1002
R3	10	16	10	MM111	Golden	177.3	1012
R3	10	2	10	MM106	Redspur	167.3	1061
R3	10	4	10	MM106	Golden	NA	1062
R3	10	10	10	M0007	Redspur	97.7	1071
R3	10	12	10	M0007	Golden	125.9	1072
