"loc"	"gen"	"yield"	"stand"	"rootlodge"	"stalklodge"	"earht"	"flower"	"moisture"
"Knoxville,TN"	"AgriGold A6680W"	138.2	91.1	0	0	47.3	67.3	21.7
"Knoxville,TN"	"AgriGold XA4323W"	151	86.1	0	0.6	45	67.7	21.5
"Knoxville,TN"	"Asgrow XP7555W"	139.6	94.4	0	0.6	46.3	67	19.8
"Knoxville,TN"	"Beck Ex2251"	190.1	90	0	0	57	67.3	19.4
"Knoxville,TN"	"Crow's W54"	140.7	88.9	0	0.6	47	68.7	21.1
"Knoxville,TN"	"Crow's W55"	139.3	88.9	0	1.2	52	66.7	20
"Knoxville,TN"	"Crow's EX551"	178.9	88.9	0	0.7	47	67.3	20.2
"Knoxville,TN"	"Crow's EX552"	180	94.4	0	1.8	49	67.7	19.9
"Knoxville,TN"	"DEKALB Genetics DK703W"	166.3	98.9	0	0.6	47	67	21.3
"Knoxville,TN"	"DEKALB Genetics DK631W"	169.1	99.4	0	1.1	37	65.3	19.1
"Knoxville,TN"	"DEKALB Genetics EXP564W"	178.4	93.9	0	0.6	49	68	18.8
"Knoxville,TN"	"Golden Harvest EX-106W"	194.2	98.3	0	0.6	53.3	66.7	19.1
"Knoxville,TN"	"Hoegemeyer 1125W"	147.7	97.2	0	0	48	67.7	21.6
"Knoxville,TN"	"Hoegemeyer 1131W"	152.3	91.7	0	0.6	51.7	70	20.9
"Knoxville,TN"	"Hoegemeyer 1142W"	146.4	95	0	0.6	46	69.3	23.3
"Knoxville,TN"	"ICI Seeds 8320W"	147	95	0	0.6	46	67.3	20.8
"Knoxville,TN"	"ICI Seeds N3527W"	151.5	92.2	0	1.2	40.7	63	17.6
"Knoxville,TN"	"IFSI 90-1"	172.9	87.2	0	0.6	51	67	21.1
"Knoxville,TN"	"IFSI 93-4"	192.5	92.8	0	1.3	48.7	67.3	21.6
"Knoxville,TN"	"IFSI 95-2"	189.2	94.4	0	0.6	57	66	19.5
"Knoxville,TN"	"LG Seeds NB571W"	160.7	92.8	0	4.3	40	65.7	16.6
"Knoxville,TN"	"LG Seeds NB710W"	168.9	94.4	0	0	49	65.7	19.8
"Knoxville,TN"	"LG Seeds NB739W"	175	99.4	0	1.1	40.3	66.7	20.7
"Knoxville,TN"	"LG Seeds NB742W"	156	91.1	0	1.3	34.3	65.3	20.3
"Knoxville,TN"	"LG Seeds NB749W"	146.5	97.8	0.6	0	48	68	21.3
"Knoxville,TN"	"Mycogen 7860W"	145.6	87.8	0	0	47.3	66.7	20.9
"Knoxville,TN"	"Mycogen X6688W"	189.6	92.8	0	1.2	57.7	66.7	19.3
"Knoxville,TN"	"NC+ 5633W"	166.9	92.8	0	0	51	67.3	19.9
"Knoxville,TN"	"NC+ 6555W"	135.8	99.4	0	0	47	68	20.7
"Knoxville,TN"	"Northrup King X6545W"	180.6	91.1	0	1.3	52	66.7	20.3
"Knoxville,TN"	"Northrup King X6955W"	173.1	92.2	0	1.8	52	67.3	20.8
"Knoxville,TN"	"Pioneer 3287W"	151.3	97.2	0	0	45.7	64.3	20.2
"Knoxville,TN"	"Pioneer 3392W"	179.9	95.6	0	1.2	50	66	18.6
"Knoxville,TN"	"Pioneer 3443W"	171.4	98.9	0	0	51	64	19.6
"Knoxville,TN"	"Pioneer 3463W"	173.9	96.7	0	1.2	45.7	63.3	18.8
"Knoxville,TN"	"Pioneer X1155FW"	184.2	98.9	0	0	46	65.7	19.9
"Knoxville,TN"	"SeedTec ST-7545W"	200.6	95.6	0	1.2	51	68.7	19.4
"Knoxville,TN"	"Sturdy Grow SG730W"	172.7	95	0	0	53	67	20
"Knoxville,TN"	"Sturdy Grow SG765W"	187.8	95	0	1.1	50	67.3	20
"Knoxville,TN"	"Sturdy Grow SG777W"	151.8	83.9	0	0	51.7	67.3	21
"Knoxville,TN"	"Sturdy Grow SG781W"	147.9	91.1	0	0	47	68	21.3
"Knoxville,TN"	"Sturdy Grow SG797W"	131.3	94.4	0	0.6	48.7	70.7	21.6
"Knoxville,TN"	"Trisler T4113W"	189.1	91.7	0	1.8	48	66.7	20.2
"Knoxville,TN"	"Trisler T4211W"	183.6	96.1	0	2.9	57	66.3	19.5
"Knoxville,TN"	"Vineyard V413W"	145.5	90.6	0	0	51.7	67.7	18.5
"Knoxville,TN"	"Vineyard V414W"	152.1	91.7	0	0.7	46	66.3	18.8
"Knoxville,TN"	"Vineyard V424W"	168.1	98.9	0	0.6	48.7	66.7	20
"Knoxville,TN"	"Vineyard V438W"	149.9	92.8	0	0.6	46	65.7	19.8
"Knoxville,TN"	"Vineyard V448W"	182.8	95.6	0	0.6	48	66	19.8
"Knoxville,TN"	"Vineyard V449W"	166.4	97.2	0	0	44	66.7	20.7
"Knoxville,TN"	"Whisnand 50W"	186.4	95.6	0	1.1	51	67.7	20.1
"Knoxville,TN"	"Whisnand 51AW"	175.3	93.3	0.6	0	48.7	67.7	21
"Knoxville,TN"	"Whisnand 52AW"	181.3	96.1	0	1.1	47	67.3	20.9
"Knoxville,TN"	"Wilson 1780W"	179.2	92.2	0	0	45	65.7	20
"Knoxville,TN"	"Wilson 1790W"	157.3	88.9	0	0	46.3	67	19.7
"Knoxville,TN"	"Wilson E1732"	177	96.1	0	0	52	69.3	19.3
"Knoxville,TN"	"Wilson E1789"	173.3	97.2	0	1.3	53	68.7	20.8
"Knoxville,TN"	"Zimmerman Z73W"	160.8	97.8	0	0	47.3	71.7	19.4
"Knoxville,TN"	"Yellow check B73xMo17"	158.7	97.8	0	4.6	49.7	65	17.5
"Knoxville,TN"	"Yellow check Pioneer 3394"	186.9	94.4	0	0	48	64.3	17.6
"Galesburg,IL"	"AgriGold A6680W"	110.3	100	NA	NA	41	NA	23.5
"Galesburg,IL"	"AgriGold XA4323W"	89.9	46.7	NA	NA	39	NA	21.5
"Galesburg,IL"	"Asgrow XP7555W"	116.6	100	NA	NA	40	NA	19.6
"Galesburg,IL"	"Beck Ex2251"	116	94.4	NA	NA	48.3	NA	21.3
"Galesburg,IL"	"Crow's W54"	113.8	70.6	NA	NA	44.7	NA	22.4
"Galesburg,IL"	"Crow's W55"	107	96.7	NA	NA	43.3	NA	22.4
"Galesburg,IL"	"Crow's EX551"	116.9	93.9	NA	NA	39	NA	21.3
"Galesburg,IL"	"Crow's EX552"	106	88.9	NA	NA	48.3	NA	21.2
"Galesburg,IL"	"DEKALB Genetics DK703W"	94	96.1	NA	NA	37.3	NA	22.9
"Galesburg,IL"	"DEKALB Genetics DK631W"	120.6	97.8	NA	NA	27.7	NA	19.5
"Galesburg,IL"	"DEKALB Genetics EXP564W"	114.9	73.9	NA	NA	40	NA	20.6
"Galesburg,IL"	"Golden Harvest EX-106W"	115.1	100	NA	NA	46.3	NA	21.9
"Galesburg,IL"	"Hoegemeyer 1125W"	118	99.4	NA	NA	42	NA	22.5
"Galesburg,IL"	"Hoegemeyer 1131W"	113.5	91.1	NA	NA	36	NA	22.5
"Galesburg,IL"	"Hoegemeyer 1142W"	122.6	86.7	NA	NA	43	NA	25.5
"Galesburg,IL"	"ICI Seeds 8320W"	112	93.3	NA	NA	45	NA	21.8
