env	loc	year	gen	yield	height	lodging	size	protein	oil
L70	Lawes	1970	G01	2.387	1.445	4.25	8.45	36.7	20.895
L70	Lawes	1970	G02	2.282	1.45	4.25	9.95	37.55	20.74
L70	Lawes	1970	G03	2.567	1.46	3.75	10.85	37.8	21.295
L70	Lawes	1970	G04	2.877	1.26	3.5	10.05	38.45	21.99
L70	Lawes	1970	G05	2.392	1.335	3.5	11	37.5	22.13
L70	Lawes	1970	G06	2.408	1.36	4	11.75	38.25	21.16
L70	Lawes	1970	G07	2.699	1.3	3	11.75	37.35	21.7
L70	Lawes	1970	G08	2.457	0.955	3.25	10	35.2	21.145
L70	Lawes	1970	G09	2.567	1.03	3	11.25	35.9	21.495
L70	Lawes	1970	G10	2.984	1.155	3.75	10.85	39.7	20.43
L70	Lawes	1970	G11	1.663	1.42	4.5	6.95	40.25	19.09
L70	Lawes	1970	G12	1.964	1.435	4.25	8.35	40.3	18.745
L70	Lawes	1970	G13	1.472	1.585	4.5	9.3	41.15	19.18
L70	Lawes	1970	G14	2.72	1.33	4	8.25	37.4	20.76
L70	Lawes	1970	G15	2.22	1.37	4.25	9.3	36.65	20.685
L70	Lawes	1970	G16	1.655	1.7	4.75	9.15	39.65	20.435
L70	Lawes	1970	G17	1.722	1.28	4.25	8.4	43.7	17.455
L70	Lawes	1970	G18	1.432	1.495	4.5	7.8	42.4	17.4
L70	Lawes	1970	G19	1.434	1.37	4.25	8.5	41.05	19.395
L70	Lawes	1970	G20	0.998	1.32	4.5	8.95	41.1	18.215
L70	Lawes	1970	G21	1.373	1.575	4.25	8.95	37.8	18.645
L70	Lawes	1970	G22	2.185	1.345	4.25	8.65	40.35	18.95
L70	Lawes	1970	G23	2.405	1.485	4.25	8.6	41.55	18.675
L70	Lawes	1970	G24	2.643	1.46	3.75	10.85	40.7	21.2
L70	Lawes	1970	G25	2.315	1.46	3.5	10.05	37.45	22.055
L70	Lawes	1970	G26	3.211	1.18	4	9.55	39.75	20.07
L70	Lawes	1970	G27	2.239	1.18	3.5	9.6	39	20.71
L70	Lawes	1970	G28	2.775	1.625	4.25	8.55	38.4	21.03
L70	Lawes	1970	G29	1.848	1.13	4	9.65	39.35	19.935
L70	Lawes	1970	G30	1.402	1.435	4.25	9.75	41.6	18.91
L70	Lawes	1970	G31	2.562	1.22	3.75	8.55	39.35	20.165
L70	Lawes	1970	G32	3.003	1.73	3.5	9.65	42.15	18.695
L70	Lawes	1970	G33	2.395	1.41	4	10.7	38.3	20.825
L70	Lawes	1970	G34	2.4	1.475	4	8	38.35	20.135
L70	Lawes	1970	G35	2.341	1.105	3.5	9.1	40.6	19.635
L70	Lawes	1970	G36	1.98	0.915	3.5	7.95	44	17.91
L70	Lawes	1970	G37	2.166	1.7	4.25	8.65	42.8	19.155
L70	Lawes	1970	G38	2.341	1.17	4.5	9.9	39.25	20.74
L70	Lawes	1970	G39	2.435	1.61	4.5	9.7	40.55	19.93
L70	Lawes	1970	G40	1.556	1.205	4	9.25	41.2	19.625
L70	Lawes	1970	G41	1.967	1.385	4.5	11.3	39.9	20.97
L70	Lawes	1970	G42	2.241	1.36	3.75	14	41.4	21.37
L70	Lawes	1970	G43	1.369	1.105	3.75	7.2	42.2	17.995
L70	Lawes	1970	G44	1.456	0.875	2	16.9	40.4	20.94
L70	Lawes	1970	G45	3.259	0.785	2.75	23.25	37	23.735
L70	Lawes	1970	G46	1.44	0.81	1.75	16.5	39.6	22.03
L70	Lawes	1970	G47	2.298	0.85	2	21	36.8	23.83
L70	Lawes	1970	G48	4.381	0.76	3.75	18.85	38.15	24.43
L70	Lawes	1970	G49	2.761	1.08	3	19.7	35.5	21.825
L70	Lawes	1970	G50	3.375	0.835	2.75	17.9	39.9	24.565
L70	Lawes	1970	G51	0.586	0.79	2.75	15.95	41.65	19.66
L70	Lawes	1970	G52	0.775	0.66	2	15.3	41	20.21
L70	Lawes	1970	G53	2.748	0.94	3.25	22	37.65	24.4
L70	Lawes	1970	G54	2.734	0.71	1	21.5	40.2	22.905
L70	Lawes	1970	G55	2.306	0.86	2	20.15	40.8	22.315
L70	Lawes	1970	G56	3.17	0.74	2	19.4	39.8	22.585
L70	Lawes	1970	G57	3.119	0.8	2.25	19.8	40.6	23.18
L70	Lawes	1970	G58	1.227	0.81	3.5	16.1	40.9	20.78
B70	Brookstead	1970	G01	1.253	1.015	3.25	8.85	39.5	18.85
B70	Brookstead	1970	G02	1.167	1.13	2.75	8.9	38.6	19.835
B70	Brookstead	1970	G03	0.468	1.155	2.25	10.8	37.8	20.355
B70	Brookstead	1970	G04	1.445	1.235	1.5	10.6	38.7	20.385
B70	Brookstead	1970	G05	1.338	1.12	2	11.95	37.8	20.78
B70	Brookstead	1970	G06	0.913	1.105	2.25	11	37.4	19.92
B70	Brookstead	1970	G07	1.239	1.13	2	10.25	37.85	20.29
B70	Brookstead	1970	G08	0.385	1.12	2.25	6.15	38.5	17.88
B70	Brookstead	1970	G09	1.108	1.04	1.75	8.3	37.9	20.05
B70	Brookstead	1970	G10	1.796	1.045	2	11.85	38.35	19.745
B70	Brookstead	1970	G11	1.023	1.015	3.25	6.85	41.15	17.915
B70	Brookstead	1970	G12	0.793	1.095	3	5.4	43.6	16.785
B70	Brookstead	1970	G13	0.577	1.255	3	6.7	41.75	17.15
B70	Brookstead	1970	G14	1.348	1.045	2.75	8.15	38.3	18.835
B70	Brookstead	1970	G15	1.645	1.025	2.75	7.8	39.25	19.115
B70	Brookstead	1970	G16	0.859	0.54	3	9.15	40.6	19.07
B70	Brookstead	1970	G17	1.209	1.09	3	6.9	44.6	16.22
B70	Brookstead	1970	G18	1.164	1.04	3	5.9	44.6	15.655
B70	Brookstead	1970	G19	0.595	1.205	2.75	6.65	43	17.4
B70	Brookstead	1970	G20	1.387	1.115	3	7.7	45	17.315
