"row"	"col"	"yield"
1	1	203
2	1	205
3	1	164
4	1	127
5	1	187
6	1	193
7	1	95
8	1	270
9	1	153
10	1	215
11	1	218
12	1	205
13	1	138
14	1	170
15	1	127
16	1	160
17	1	134
18	1	183
19	1	174
20	1	182
21	1	174
22	1	154
23	1	205
24	1	118
25	1	156
26	1	169
27	1	163
28	1	214
29	1	151
30	1	196
31	1	144
32	1	108
33	1	83
34	1	175
35	1	114
36	1	168
1	2	251
2	2	212
3	2	111
4	2	174
5	2	173
6	2	132
7	2	242
8	2	169
9	2	170
10	2	223
11	2	184
12	2	146
13	2	90
14	2	133
15	2	172
16	2	179
17	2	194
18	2	204
19	2	199
20	2	181
21	2	160
22	2	186
23	2	130
24	2	201
25	2	242
26	2	134
27	2	190
28	2	162
29	2	194
30	2	191
31	2	199
32	2	144
33	2	226
34	2	197
35	2	207
36	2	184
1	3	268
2	3	222
3	3	219
4	3	224
5	3	231
6	3	232
7	3	161
8	3	170
9	3	193
10	3	169
11	3	185
12	3	217
13	3	174
14	3	216
15	3	188
16	3	164
17	3	160
18	3	171
19	3	155
20	3	185
21	3	130
22	3	198
23	3	148
24	3	206
25	3	155
26	3	129
27	3	188
28	3	161
29	3	225
30	3	200
31	3	260
32	3	191
33	3	156
34	3	123
35	3	193
36	3	209
1	4	164
2	4	146
3	4	172
4	4	220
5	4	208
6	4	259
7	4	133
8	4	215
9	4	215
10	4	271
11	4	158
12	4	199
13	4	199
14	4	150
15	4	202
16	4	216
17	4	113
18	4	162
19	4	256
20	4	226
21	4	204
22	4	251
23	4	182
24	4	234
25	4	217
26	4	258
27	4	208
28	4	163
29	4	243
30	4	163
31	4	190
32	4	250
33	4	187
34	4	247
35	4	190
36	4	190
1	5	186
2	5	206
3	5	236
4	5	170
5	5	211
6	5	232
7	5	179
8	5	214
9	5	162
10	5	177
11	5	133
12	5	300
13	5	194
14	5	190
15	5	147
16	5	279
17	5	213
18	5	177
19	5	234
20	5	211
21	5	230
22	5	204
23	5	170
24	5	123
25	5	160
26	5	156
27	5	195
28	5	174
29	5	211
30	5	232
31	5	148
32	5	215
33	5	217
34	5	175
35	5	137
36	5	174
1	6	182
2	6	226
3	6	185
4	6	201
5	6	184
6	6	257
7	6	214
8	6	221
9	6	235
10	6	201
11	6	137
12	6	166
13	6	181
14	6	146
15	6	105
16	6	211
17	6	235
18	6	189
19	6	199
20	6	251
21	6	187
22	6	138
23	6	199
24	6	139
25	6	171
26	6	134
27	6	182
28	6	201
29	6	147
30	6	156
31	6	148
32	6	114
33	6	186
34	6	140
35	6	186
36	6	139
1	7	191
2	7	261
3	7	234
4	7	240
5	7	135
6	7	192
7	7	218
8	7	213
9	7	220
10	7	227
11	7	318
12	7	132
13	7	175
14	7	197
15	7	215
16	7	198
17	7	184
18	7	227
19	7	257
20	7	167
21	7	266
22	7	244
23	7	200
24	7	221
25	7	123
26	7	184
27	7	194
28	7	227
29	7	224
30	7	182
31	7	186
32	7	196
33	7	224
34	7	200
35	7	162
36	7	222
1	8	188
2	8	181
3	8	166
4	8	236
5	8	134
6	8	200
7	8	206
8	8	195
9	8	132
10	8	173
11	8	188
12	8	180
13	8	132
14	8	176
15	8	177
16	8	204
17	8	215
18	8	138
19	8	186
20	8	208
21	8	204
22	8	189
23	8	204
24	8	184
25	8	167
26	8	193
27	8	197
28	8	153
29	8	200
30	8	197
31	8	175
32	8	197
33	8	221
34	8	195
35	8	165
36	8	213
1	9	185
2	9	206
3	9	185
4	9	225
5	9	166
6	9	196
7	9	158
8	9	197
9	9	195
10	9	281
11	9	163
12	9	252
13	9	121
14	9	151
15	9	204
16	9	222
17	9	260
18	9	192
19	9	173
20	9	132
21	9	156
22	9	241
23	9	221
24	9	237
25	9	118
26	9	135
27	9	219
28	9	262
29	9	208
30	9	165
31	9	111
32	9	199
33	9	228
34	9	221
35	9	226
36	9	152
1	10	137
2	10	186
3	10	163
4	10	131
5	10	211
6	10	133
7	10	255
8	10	182
9	10	234
10	10	181
11	10	193
12	10	202
13	10	115
14	10	126
15	10	166
16	10	200
17	10	195
18	10	84
19	10	258
20	10	230
21	10	178
22	10	205
23	10	162
24	10	159
25	10	209
26	10	238
27	10	184
28	10	185
29	10	179
30	10	100
31	10	135
32	10	251
33	10	146
34	10	253
35	10	206
36	10	212
1	11	182
2	11	182
3	11	163
4	11	125
5	11	269
6	11	227
7	11	186
8	11	191
9	11	170
10	11	172
11	11	198
12	11	182
13	11	144
14	11	209
15	11	177
16	11	207
17	11	262
18	11	186
19	11	194
20	11	209
21	11	165
22	11	148
23	11	190
24	11	185
25	11	270
26	11	151
27	11	198
28	11	192
29	11	259
30	11	245
31	11	142
32	11	147
33	11	238
34	11	202
35	11	178
36	11	230
1	12	166
2	12	122
3	12	147
4	12	107
5	12	102
6	12	183
7	12	147
8	12	160
9	12	229
10	12	198
11	12	207
12	12	200
13	12	235
14	12	168
15	12	233
16	12	145
17	12	279
18	12	170
19	12	159
20	12	153
21	12	155
22	12	156
23	12	178
24	12	205
25	12	276
26	12	205
27	12	173
28	12	259
29	12	212
30	12	178
31	12	117
32	12	199
33	12	230
34	12	221
35	12	186
36	12	175
1	13	127
2	13	197
3	13	194
4	13	179
5	13	135
6	13	141
7	13	171
8	13	147
9	13	156
10	13	119
11	13	159
12	13	254
13	13	197
14	13	189
15	13	218
16	13	198
17	13	208
18	13	131
19	13	113
20	13	148
21	13	186
22	13	121
23	13	198
24	13	188
25	13	271
26	13	234
27	13	191
28	13	245
29	13	214
30	13	163
31	13	223
32	13	211
33	13	187
34	13	187
35	13	196
36	13	188
1	14	195
2	14	170
3	14	177
4	14	140
5	14	149
6	14	200
7	14	228
8	14	159
9	14	201
10	14	168
11	14	213
12	14	254
13	14	196
14	14	202
15	14	104
16	14	176
17	14	177
18	14	220
19	14	230
20	14	148
21	14	160
22	14	240
23	14	221
24	14	178
25	14	247
26	14	169
27	14	138
28	14	232
29	14	248
30	14	137
31	14	201
32	14	218
33	14	188
34	14	207
35	14	215
36	14	259
1	15	188
2	15	157
3	15	163
4	15	145
5	15	232
6	15	203
7	15	239
8	15	156
9	15	199
10	15	187
11	15	265
12	15	164
13	15	140
14	15	157
15	15	154
16	15	180
17	15	127
18	15	129
19	15	133
20	15	173
21	15	155
22	15	157
23	15	155
24	15	162
25	15	245
26	15	169
27	15	150
28	15	194
29	15	173
30	15	159
31	15	195
32	15	139
33	15	128
34	15	128
35	15	177
36	15	166
1	16	211
2	16	154
3	16	157
4	16	129
5	16	189
6	16	194
7	16	189
8	16	246
9	16	173
10	16	214
11	16	179
12	16	265
13	16	162
14	16	172
15	16	125
16	16	177
17	16	159
18	16	121
19	16	139
20	16	122
