"row"	"col"	"yield"	"year"	"loc"
1	1	44.5	"1921"	"Sakha"
2	1	41.31	"1921"	"Sakha"
3	1	41.99	"1921"	"Sakha"
4	1	39.56	"1921"	"Sakha"
5	1	40.81	"1921"	"Sakha"
6	1	37.06	"1921"	"Sakha"
7	1	35.31	"1921"	"Sakha"
8	1	43.37	"1921"	"Sakha"
9	1	37.43	"1921"	"Sakha"
10	1	39.81	"1921"	"Sakha"
11	1	37.25	"1921"	"Sakha"
12	1	43.56	"1921"	"Sakha"
13	1	41.43	"1921"	"Sakha"
14	1	39.8	"1921"	"Sakha"
15	1	41.44	"1921"	"Sakha"
16	1	37.12	"1921"	"Sakha"
17	1	41.31	"1921"	"Sakha"
18	1	39.81	"1921"	"Sakha"
19	1	48.31	"1921"	"Sakha"
20	1	47.43	"1921"	"Sakha"
1	2	45.56	"1921"	"Sakha"
2	2	41.74	"1921"	"Sakha"
3	2	36.62	"1921"	"Sakha"
4	2	39.81	"1921"	"Sakha"
5	2	46.8	"1921"	"Sakha"
6	2	38.13	"1921"	"Sakha"
7	2	36.81	"1921"	"Sakha"
8	2	43.93	"1921"	"Sakha"
9	2	42.74	"1921"	"Sakha"
10	2	39.55	"1921"	"Sakha"
11	2	38.43	"1921"	"Sakha"
12	2	45.49	"1921"	"Sakha"
13	2	38.87	"1921"	"Sakha"
14	2	41.62	"1921"	"Sakha"
15	2	42	"1921"	"Sakha"
16	2	38	"1921"	"Sakha"
17	2	42.81	"1921"	"Sakha"
18	2	49.81	"1921"	"Sakha"
19	2	45.37	"1921"	"Sakha"
20	2	50.3	"1921"	"Sakha"
1	3	48.68	"1921"	"Sakha"
2	3	45.55	"1921"	"Sakha"
3	3	41.5	"1921"	"Sakha"
4	3	40.55	"1921"	"Sakha"
5	3	46.12	"1921"	"Sakha"
6	3	41.19	"1921"	"Sakha"
7	3	48.87	"1921"	"Sakha"
8	3	44.75	"1921"	"Sakha"
9	3	44.12	"1921"	"Sakha"
10	3	41.86	"1921"	"Sakha"
11	3	42.37	"1921"	"Sakha"
12	3	51.49	"1921"	"Sakha"
13	3	43.38	"1921"	"Sakha"
14	3	46.69	"1921"	"Sakha"
15	3	47.56	"1921"	"Sakha"
16	3	45.88	"1921"	"Sakha"
17	3	46.19	"1921"	"Sakha"
18	3	49.69	"1921"	"Sakha"
19	3	49.31	"1921"	"Sakha"
20	3	45.24	"1921"	"Sakha"
1	4	51.37	"1921"	"Sakha"
2	4	47.68	"1921"	"Sakha"
3	4	43.31	"1921"	"Sakha"
4	4	41.55	"1921"	"Sakha"
5	4	41.56	"1921"	"Sakha"
6	4	48.37	"1921"	"Sakha"
7	4	48.57	"1921"	"Sakha"
8	4	46.57	"1921"	"Sakha"
9	4	42.74	"1921"	"Sakha"
10	4	49.93	"1921"	"Sakha"
11	4	43.56	"1921"	"Sakha"
12	4	48.75	"1921"	"Sakha"
13	4	49.24	"1921"	"Sakha"
14	4	52.24	"1921"	"Sakha"
15	4	50.24	"1921"	"Sakha"
16	4	49.62	"1921"	"Sakha"
17	4	50.24	"1921"	"Sakha"
18	4	52.19	"1921"	"Sakha"
19	4	51.74	"1921"	"Sakha"
20	4	46.94	"1921"	"Sakha"
1	5	48.87	"1921"	"Sakha"
2	5	48.37	"1921"	"Sakha"
3	5	43.68	"1921"	"Sakha"
4	5	47.56	"1921"	"Sakha"
5	5	45.99	"1921"	"Sakha"
6	5	56.75	"1921"	"Sakha"
7	5	48.31	"1921"	"Sakha"
8	5	43.93	"1921"	"Sakha"
9	5	48.37	"1921"	"Sakha"
10	5	46.94	"1921"	"Sakha"
11	5	42.62	"1921"	"Sakha"
12	5	44.87	"1921"	"Sakha"
13	5	49.75	"1921"	"Sakha"
14	5	51.12	"1921"	"Sakha"
15	5	53.99	"1921"	"Sakha"
16	5	55.25	"1921"	"Sakha"
17	5	49.37	"1921"	"Sakha"
18	5	47.69	"1921"	"Sakha"
19	5	46.18	"1921"	"Sakha"
20	5	47.43	"1921"	"Sakha"
1	6	49.93	"1921"	"Sakha"
2	6	54.37	"1921"	"Sakha"
3	6	45.93	"1921"	"Sakha"
4	6	49.69	"1921"	"Sakha"
5	6	48.93	"1921"	"Sakha"
6	6	52.69	"1921"	"Sakha"
7	6	47.56	"1921"	"Sakha"
8	6	46.55	"1921"	"Sakha"
9	6	50.37	"1921"	"Sakha"
10	6	44.75	"1921"	"Sakha"
11	6	49.94	"1921"	"Sakha"
12	6	51.74	"1921"	"Sakha"
13	6	47.93	"1921"	"Sakha"
14	6	50.31	"1921"	"Sakha"
15	6	49.43	"1921"	"Sakha"
16	6	49.56	"1921"	"Sakha"
17	6	54.56	"1921"	"Sakha"
18	6	55.18	"1921"	"Sakha"
19	6	48.68	"1921"	"Sakha"
20	6	48.74	"1921"	"Sakha"
1	7	47.18	"1921"	"Sakha"
2	7	54.24	"1921"	"Sakha"
3	7	47.06	"1921"	"Sakha"
4	7	47.93	"1921"	"Sakha"
5	7	50.37	"1921"	"Sakha"
6	7	55.18	"1921"	"Sakha"
7	7	51.68	"1921"	"Sakha"
8	7	57.74	"1921"	"Sakha"
9	7	51.25	"1921"	"Sakha"
10	7	49.55	"1921"	"Sakha"
11	7	49.05	"1921"	"Sakha"
12	7	42.87	"1921"	"Sakha"
13	7	45.99	"1921"	"Sakha"
14	7	46.37	"1921"	"Sakha"
15	7	43.37	"1921"	"Sakha"
16	7	47.25	"1921"	"Sakha"
17	7	49.68	"1921"	"Sakha"
18	7	52.3	"1921"	"Sakha"
19	7	45.87	"1921"	"Sakha"
20	7	46.13	"1921"	"Sakha"
1	8	46	"1921"	"Sakha"
2	8	47.88	"1921"	"Sakha"
3	8	45.31	"1921"	"Sakha"
4	8	45.13	"1921"	"Sakha"
5	8	49.24	"1921"	"Sakha"
6	8	55.12	"1921"	"Sakha"
7	8	50.18	"1921"	"Sakha"
8	8	54.93	"1921"	"Sakha"
9	8	41.68	"1921"	"Sakha"
10	8	40.12	"1921"	"Sakha"
11	8	41.06	"1921"	"Sakha"
12	8	35.87	"1921"	"Sakha"
13	8	36.81	"1921"	"Sakha"
14	8	39.05	"1921"	"Sakha"
15	8	40.68	"1921"	"Sakha"
16	8	42.99	"1921"	"Sakha"
17	8	43.93	"1921"	"Sakha"
18	8	46.87	"1921"	"Sakha"
19	8	39.31	"1921"	"Sakha"
20	8	45.93	"1921"	"Sakha"
1	1	31.84	"1921"	"Gemmeiza"
