"row"	"col"	"yield"
1	1	1.71
2	1	1.532
3	1	1.585
4	1	1.871
5	1	1.265
6	1	1.354
7	1	2.12
8	1	1.621
9	1	1.764
10	1	1.318
11	1	1.835
12	1	1.425
13	1	1.211
14	1	1.585
15	1	2.191
16	1	1.835
17	1	1.389
18	1	1.496
19	1	1.389
20	1	0.926
21	1	1.803
22	1	1.196
23	1	2.263
24	1	1.362
25	1	1.472
1	2	0.855
2	2	1.194
3	2	1.425
4	2	0.819
5	2	1.871
6	2	1.959
7	2	1.888
8	2	1.728
9	2	1.781
10	2	1.532
11	2	2.031
12	2	1.336
13	2	0.802
14	2	1.746
15	2	1.942
16	2	1.959
17	2	1.692
18	2	1.603
19	2	1.336
20	2	1.692
21	2	1.069
22	2	1.585
23	2	1.55
24	2	2.583
25	2	1.8
1	3	0.766
2	3	1.745
3	3	1.888
4	3	1.247
5	3	2.013
6	3	2.263
7	3	1.764
8	3	1.871
9	3	1.764
10	3	1.336
11	3	1.906
12	3	1.033
13	3	1.924
14	3	1.229
15	3	1.942
16	3	2.458
17	3	1.995
18	3	1.603
19	3	1.033
20	3	1.692
21	3	1.461
22	3	2.977
23	3	1.621
24	3	1.745
25	3	1.781
1	4	1.27
2	4	1.996
3	4	1.833
4	4	1.27
5	4	2.286
6	4	1.851
7	4	1.833
8	4	1.343
9	4	1.833
10	4	0.943
11	4	1.797
12	4	0.798
13	4	1.978
14	4	1.742
15	4	1.524
16	4	1.96
17	4	1.27
18	4	1.633
19	4	0.889
20	4	2.16
21	4	1.615
22	4	2.141
23	4	2.341
24	4	0.817
25	4	1.815
1	5	1.18
2	5	1.27
3	5	1.524
4	5	1.669
5	5	1.488
6	5	1.27
7	5	2.032
8	5	1.724
9	5	1.415
10	5	1.615
11	5	1.56
12	5	1.252
13	5	1.597
14	5	1.56
15	5	2.141
16	5	1.452
17	5	1.96
18	5	1.234
19	5	1.379
20	5	1.524
21	5	1.706
22	5	1.742
23	5	1.815
24	5	1.778
25	5	2.559
1	6	0.962
2	6	1.361
3	6	1.651
4	6	0.98
5	6	1.415
6	6	1.524
7	6	2.032
8	6	2.105
9	6	1.851
10	6	0.926
11	6	1.778
12	6	1.034
13	6	1.524
14	6	1.343
15	6	1.597
16	6	1.415
17	6	1.815
18	6	1.905
19	6	1.216
20	6	1.543
21	6	0.817
22	6	1.379
23	6	1.579
24	6	1.18
25	6	1.942
1	7	0.817
2	7	1.452
3	7	1.198
4	7	1.669
5	7	0.708
6	7	1.833
7	7	1.923
8	7	1.706
9	7	1.706
10	7	1.923
11	7	0.871
12	7	1.851
13	7	0.762
14	7	1.706
15	7	1.288
16	7	2.268
17	7	1.506
18	7	1.198
19	7	0.454
20	7	1.052
21	7	1.252
22	7	0.472
23	7	1.942
24	7	1.942
25	7	1.597
1	8	1.325
2	8	0.472
3	8	1.615
4	8	1.615
5	8	1.034
6	8	1.27
7	8	1.797
8	8	1.869
9	8	1.397
10	8	2.051
11	8	1.016
12	8	0.744
13	8	1.107
14	8	1.706
15	8	1.597
16	8	0.962
17	8	0.526
18	8	1.434
19	8	0.599
20	8	1.379
21	8	1.379
22	8	1.306
23	8	1.615
24	8	1.198
25	8	2.069
1	9	1.016
2	9	0.907
3	9	1.161
4	9	1.161
5	9	1.052
6	9	2.177
7	9	1.452
8	9	1.96
9	9	1.397
10	9	1.706
11	9	1.198
12	9	0.817
13	9	1.851
14	9	1.778
15	9	1.434
16	9	1.198
17	9	1.27
18	9	0.98
19	9	0.889
20	9	1.198
21	9	1.098
22	9	1.543
23	9	2.25
24	9	1.633
25	9	1.651
1	10	1.434
2	10	0.508
3	10	2.105
4	10	1.288
5	10	1.089
6	10	1.27
7	10	1.379
8	10	1.034
9	10	1.615
10	10	1.071
11	10	0.998
12	10	1.161
13	10	1.742
14	10	2.117
15	10	1.343
16	10	1.524
17	10	1.198
18	10	1.016
19	10	1.198
20	10	1.306
21	10	1.288
22	10	1.505
23	10	1.325
24	10	2.232
25	10	1.107
1	11	0.853
2	11	2.341
3	11	1.234
4	11	0.762
5	11	1.071
6	11	0.998
7	11	1.543
8	11	2.232
9	11	1.125
10	11	1.524
11	11	1.234
12	11	1.306
13	11	1.361
14	11	1.071
15	11	1.452
16	11	1.688
17	11	1.923
18	11	1.161
19	11	0.654
20	11	0.98
21	11	1.089
22	11	1.819
23	11	1.96
24	11	1.96
25	11	2.087
1	12	1.573
2	12	1.773
3	12	1.138
4	12	1.639
5	12	1.623
6	12	1.238
7	12	2.25
8	12	1.434
9	12	1.56
10	12	1.27
11	12	1.161
12	12	0.762
13	12	0.526
14	12	1.724
15	12	1.815
16	12	1.76
17	12	1.887
18	12	1.815
19	12	1.597
20	12	1.125
21	12	1.887
22	12	2.323
23	12	2.323
24	12	1.978
25	12	1.343
1	13	1.255
2	13	1.522
3	13	1.138
4	13	2.493
5	13	1.472
6	13	1.338
7	13	1.435
8	13	1.385
9	13	1.452
10	13	2.244
11	13	0.858
12	13	1.138
13	13	1.106
14	13	1.6
15	13	1.881
16	13	1.683
17	13	1.122
18	13	1.616
19	13	0.511
20	13	1.633
21	13	1.765
22	13	1.881
23	13	2.607
24	13	2.408
25	13	1.551
1	14	1.305
2	14	1.104
3	14	1.606
4	14	1.539
5	14	1.573
6	14	1.355
7	14	1.847
8	14	1.452
9	14	1.551
10	14	1.715
11	14	1.748
12	14	0.462
13	14	1.106
14	14	1.584
15	14	1.847
16	14	1.782
17	14	2.276
18	14	1.616
19	14	1.089
20	14	1.188
21	14	1.683
22	14	1.501
23	14	1.584
24	14	1.6
25	14	1.419
1	15	0.519
2	15	0.887
3	15	1.238
4	15	0.954
5	15	1.104
6	15	0.954
7	15	1.93
8	15	1.402
9	15	1.93
10	15	1.65
11	15	1.27
12	15	0.875
13	15	1.683
14	15	1.914
15	15	1.616
16	15	1.633
17	15	2.013
18	15	1.171
19	15	0.99
20	15	2.078
21	15	0.66
22	15	0.561
23	15	1.072
24	15	1.353
25	15	2.062
1	16	1.255
2	16	1.054
3	16	1.171
4	16	1.138
5	16	1.037
6	16	0.887
7	16	1.204
8	16	1.589
9	16	1.188
10	16	1.493
11	16	0.636
12	16	1.104
13	16	0.528
14	16	1.914
15	16	1.699
16	16	1.337
17	16	1.93
18	16	1.6
19	16	1.385
20	16	1.286
21	16	1.534
22	16	1.584
23	16	1.847
24	16	1.385
25	16	1.93
1	17	1.422
2	17	1.204
3	17	1.338
4	17	1.138
5	17	1.171
6	17	1.472
7	17	1.222
8	17	1.255
9	17	1.222
10	17	1.088
11	17	1.439
12	17	0.742
13	17	0.726
14	17	1.748
15	17	0.594
16	17	2.343
17	17	2.128
18	17	1.369
19	17	1.402
20	17	1.616
21	17	1.237
22	17	1.748
23	17	2.112
24	17	1.847
25	17	1.501
1	18	1.204
2	18	1.773
3	18	1.154
4	18	1.472
5	18	0.903
6	18	1.505
7	18	1.288
8	18	1.639
9	18	1.556
10	18	1.338
11	18	1.683
12	18	0.561
13	18	1.6
14	18	1.551
15	18	1.254
16	18	1.078
17	18	1.798
18	18	2.177
19	18	1.798
20	18	1.32
21	18	1.831
22	18	1.769
23	18	2.309
24	18	1.715
25	18	2.375
1	19	2.326
2	19	1.606
3	19	2.074
4	19	0.703
5	19	1.439
6	19	1.439
7	19	0.937
8	19	1.707
9	19	1.355
10	19	1.238
11	19	0.719
12	19	0.841
13	19	0.94
14	19	0.973
15	19	0.94
16	19	2.112
17	19	1.452
18	19	2.326
19	19	1.452
20	19	1.188
21	19	1.055
22	19	1.534
23	19	1.732
24	19	2.045
25	19	1.798
1	20	1.573
2	20	1.439
3	20	1.255
4	20	1.154
5	20	0.787
6	20	1.121
7	20	1.238
8	20	1.037
9	20	1.84
10	20	1.037
11	20	1.505
12	20	0.368
13	20	1.74
14	20	1.472
15	20	1.188
16	20	1.823
17	20	1.941
18	20	1.372
19	20	1.472
20	20	1.238
21	20	1.74
22	20	1.088
23	20	1.606
24	20	1.489
25	20	1.773
