row	col	yield
28	1	387
27	1	187
26	1	337
25	1	425
24	1	425
23	1	100
22	1	325
21	1	125
20	1	375
19	1	300
18	1	512
17	1	162
16	1	275
15	1	175
14	1	312
13	1	125
12	1	300
11	1	250
10	1	350
9	1	187
8	1	300
7	1	200
6	1	250
5	1	187
4	1	112
3	1	50
2	1	187
1	1	162
28	2	250
27	2	200
26	2	112
25	2	437
24	2	450
23	2	212
22	2	437
21	2	350
20	2	400
19	2	450
18	2	487
17	2	312
16	2	375
15	2	462
14	2	387
13	2	400
12	2	375
11	2	200
10	2	175
9	2	150
8	2	300
7	2	187
6	2	100
5	2	200
4	2	287
3	2	125
2	2	100
1	2	150
28	3	550
27	3	175
26	3	575
25	3	400
24	3	425
23	3	350
22	3	337
21	3	262
20	3	350
19	3	312
18	3	212
17	3	250
16	3	50
15	3	362
14	3	312
13	3	375
12	3	250
11	3	250
10	3	450
9	3	50
8	3	262
7	3	387
6	3	337
5	3	337
4	3	175
3	3	200
2	3	287
1	3	187
28	4	362
27	4	400
26	4	550
25	4	450
24	4	375
23	4	575
22	4	375
21	4	437
20	4	412
19	4	250
18	4	325
17	4	37
16	4	286
15	4	387
14	4	350
13	4	150
12	4	312
11	4	250
10	4	261
9	4	350
8	4	375
7	4	362
6	4	362
5	4	337
4	4	325
3	4	375
2	4	50
1	4	200
28	5	212
27	5	350
26	5	300
25	5	250
24	5	525
23	5	337
22	5	500
21	5	212
20	5	550
19	5	525
18	5	425
17	5	537
16	5	475
15	5	187
14	5	262
13	5	375
12	5	175
11	5	75
10	5	287
9	5	375
8	5	325
7	5	425
6	5	312
5	5	450
4	5	325
3	5	437
2	5	87
1	5	50
28	6	437
27	6	100
26	6	550
25	6	362
24	6	375
23	6	137
22	6	550
21	6	325
20	6	450
19	6	337
18	6	500
17	6	300
16	6	275
15	6	337
14	6	337
13	6	375
12	6	375
11	6	300
10	6	87
9	6	100
8	6	425
7	6	200
6	6	100
5	6	300
4	6	200
3	6	275
2	6	150
1	6	75
28	7	337
27	7	500
26	7	475
25	7	287
24	7	437
23	7	337
22	7	350
21	7	475
20	7	437
19	7	437
18	7	437
17	7	375
16	7	412
15	7	437
14	7	500
13	7	50
12	7	450
11	7	262
10	7	312
9	7	275
8	7	350
7	7	312
6	7	225
5	7	200
4	7	150
3	7	275
2	7	325
1	7	100
28	8	212
27	8	412
26	8	262
25	8	437
24	8	375
23	8	300
22	8	362
21	8	375
20	8	350
19	8	337
18	8	300
17	8	250
16	8	225
15	8	212
14	8	475
13	8	300
12	8	337
11	8	75
10	8	100
9	8	425
8	8	225
7	8	375
6	8	187
5	8	225
4	8	150
3	8	125
2	8	287
1	8	250
