row	col	yield
50	1	82
49	1	74
48	1	66
47	1	75
46	1	84
45	1	48
44	1	70
43	1	54
42	1	72
41	1	28
40	1	61
39	1	68
38	1	33
37	1	36
36	1	76
35	1	49
34	1	92
33	1	34
32	1	45
31	1	53
30	1	91
29	1	73
28	1	76
27	1	148
26	1	59
25	1	86
24	1	28
23	1	51
22	1	54
21	1	162
20	1	118
19	1	103
18	1	111
17	1	135
16	1	115
15	1	127
14	1	180
13	1	118
12	1	123
11	1	184
10	1	100
9	1	202
8	1	190
7	1	108
6	1	205
5	1	136
4	1	136
3	1	195
2	1	158
1	1	142
50	2	77
49	2	105
48	2	69
47	2	55
46	2	71
45	2	81
44	2	81
43	2	105
42	2	82
41	2	49
40	2	31
39	2	60
38	2	80
37	2	91
36	2	109
35	2	99
34	2	123
33	2	98
32	2	57
31	2	90
30	2	80
29	2	117
28	2	83
27	2	131
26	2	66
25	2	64
24	2	76
23	2	73
22	2	82
21	2	135
20	2	147
19	2	106
18	2	69
17	2	124
16	2	100
15	2	135
14	2	104
13	2	135
12	2	159
11	2	123
10	2	168
9	2	166
8	2	168
7	2	163
6	2	201
5	2	137
4	2	205
3	2	181
2	2	227
1	2	192
50	3	39
49	3	78
48	3	74
47	3	84
46	3	82
45	3	51
44	3	79
43	3	82
42	3	57
41	3	48
40	3	50
39	3	100
38	3	67
37	3	107
36	3	93
35	3	81
34	3	75
33	3	89
32	3	68
31	3	128
30	3	101
29	3	83
28	3	81
27	3	86
26	3	85
25	3	78
24	3	90
23	3	79
22	3	135
21	3	155
20	3	135
19	3	62
18	3	106
17	3	135
16	3	119
15	3	116
14	3	135
13	3	135
12	3	154
11	3	239
10	3	116
9	3	132
8	3	194
7	3	225
6	3	108
5	3	182
4	3	190
3	3	260
2	3	139
1	3	140
50	4	114
49	4	124
48	4	79
47	4	98
46	4	109
45	4	87
44	4	109
43	4	128
42	4	86
41	4	71
40	4	65
39	4	79
38	4	69
37	4	90
36	4	89
35	4	131
34	4	45
33	4	73
32	4	37
31	4	99
30	4	117
29	4	97
28	4	84
27	4	87
26	4	71
25	4	134
24	4	144
23	4	164
22	4	141
21	4	114
20	4	120
19	4	102
18	4	158
17	4	142
16	4	164
15	4	143
14	4	148
13	4	154
12	4	181
11	4	169
10	4	225
9	4	241
8	4	239
7	4	192
6	4	188
5	4	153
4	4	177
3	4	208
2	4	114
1	4	208
50	5	85
49	5	81
48	5	211
47	5	132
46	5	99
45	5	69
44	5	150
43	5	101
42	5	111
41	5	84
40	5	95
39	5	98
38	5	118
37	5	80
36	5	107
35	5	109
34	5	77
33	5	123
32	5	71
31	5	72
30	5	79
29	5	93
28	5	119
27	5	98
26	5	90
25	5	174
24	5	135
23	5	161
22	5	135
21	5	163
20	5	50
19	5	135
18	5	90
17	5	140
16	5	135
15	5	135
14	5	161
13	5	141
12	5	180
11	5	159
10	5	150
9	5	210
8	5	185
7	5	225
6	5	211
5	5	229
4	5	252
3	5	212
2	5	251
1	5	210
50	6	60
49	6	110
48	6	89
47	6	108
46	6	127
45	6	90
44	6	90
43	6	81
42	6	75
41	6	89
40	6	75
39	6	115
38	6	64
37	6	95
36	6	49
35	6	74
34	6	61
33	6	69
32	6	83
31	6	73
30	6	135
29	6	126
28	6	67
27	6	89
26	6	58
25	6	135
24	6	111
23	6	115
22	6	90
21	6	180
20	6	95
19	6	123
18	6	104
17	6	140
16	6	169
15	6	150
14	6	135
13	6	180
12	6	150
11	6	146
10	6	179
9	6	262
8	6	176
7	6	150
6	6	249
5	6	221
4	6	197
3	6	141
2	6	206
1	6	183
50	7	95
49	7	131
48	7	137
47	7	147
46	7	156
45	7	136
44	7	112
43	7	135
42	7	56
41	7	33
40	7	112
39	7	110
38	7	103
37	7	78
36	7	84
35	7	123
34	7	135
33	7	139
32	7	109
31	7	80
30	7	135
29	7	116
28	7	126
27	7	107
26	7	114
25	7	111
24	7	135
23	7	127
22	7	135
21	7	209
20	7	151
19	7	135
18	7	180
17	7	239
16	7	180
15	7	214
14	7	142
13	7	160
12	7	243
11	7	211
10	7	196
9	7	201
8	7	215
7	7	180
6	7	270
5	7	261
4	7	238
3	7	288
2	7	267
1	7	243
50	8	94
49	8	141
48	8	23
47	8	158
46	8	110
45	8	164
44	8	121
43	8	143
42	8	153
41	8	60
40	8	112
39	8	135
38	8	190
37	8	148
36	8	164
35	8	146
34	8	93
33	8	187
32	8	45
31	8	117
30	8	62
29	8	111
28	8	96
27	8	123
26	8	90
25	8	90
24	8	116
23	8	101
22	8	160
21	8	95
20	8	61
19	8	185
18	8	145
17	8	225
16	8	196
15	8	196
14	8	164
13	8	211
12	8	293
11	8	180
10	8	214
9	8	190
8	8	249
7	8	254
6	8	238
5	8	219
4	8	341
3	8	85
2	8	280
1	8	264
50	9	82
49	9	122
48	9	15
47	9	101
46	9	175
45	9	112
44	9	118
43	9	198
42	9	140
41	9	165
40	9	101
39	9	74
38	9	109
37	9	107
36	9	97
35	9	156
34	9	95
33	9	164
32	9	94
31	9	137
30	9	186
29	9	115
28	9	116
27	9	108
26	9	45
25	9	93
24	9	57
23	9	71
22	9	46
21	9	163
20	9	98
19	9	148
18	9	135
17	9	193
16	9	135
15	9	169
14	9	90
13	9	161
12	9	151
11	9	178
10	9	193
9	9	144
8	9	153
7	9	149
6	9	162
5	9	129
4	9	173
3	9	122
2	9	214
1	9	161
50	10	71
49	10	104
48	10	107
47	10	180
46	10	159
45	10	96
44	10	158
43	10	157
42	10	107
41	10	138
40	10	120
39	10	142
38	10	210
37	10	162
36	10	124
35	10	203
