row	col	yield
28	1	8
27	1	172
26	1	164
25	1	74
24	1	122
23	1	120
22	1	160
21	1	170
20	1	95
19	1	65
18	1	85
17	1	78
16	1	51
15	1	17
14	1	75
13	1	117
12	1	91
11	1	122
10	1	99
9	1	83
8	1	44
7	1	86
6	1	71
5	1	87
4	1	41
3	1	86
2	1	169
1	1	112
28	2	88
27	2	119
26	2	99
25	2	102
24	2	22
23	2	71
22	2	111
21	2	135
20	2	89
19	2	50
18	2	101
17	2	106
16	2	34
15	2	104
14	2	69
13	2	179
12	2	188
11	2	122
10	2	144
9	2	155
8	2	83
7	2	176
6	2	50
5	2	111
4	2	136
3	2	158
2	2	150
1	2	100
28	3	185
27	3	44
26	3	135
25	3	96
24	3	80
23	3	103
22	3	94
21	3	128
20	3	71
19	3	61
18	3	100
17	3	88
16	3	101
15	3	25
14	3	73
13	3	123
12	3	88
11	3	103
10	3	69
9	3	170
8	3	198
7	3	125
6	3	151
5	3	140
4	3	74
3	3	95
2	3	151
1	3	166
28	4	113
27	4	111
26	4	40
25	4	80
24	4	108
23	4	74
22	4	135
21	4	82
20	4	66
19	4	195
18	4	100
17	4	112
16	4	71
15	4	95
14	4	68
13	4	35
12	4	105
11	4	180
10	4	124
9	4	32
8	4	192
7	4	130
6	4	58
5	4	170
4	4	54
3	4	80
2	4	138
1	4	188
28	5	113
27	5	35
26	5	207
25	5	78
24	5	112
23	5	129
22	5	121
21	5	93
20	5	61
19	5	89
18	5	72
17	5	76
16	5	82
15	5	57
14	5	6
13	5	47
12	5	65
11	5	120
10	5	48
9	5	142
8	5	113
7	5	147
6	5	112
5	5	123
4	5	115
3	5	75
2	5	148
1	5	39
28	6	167
27	6	33
26	6	94
25	6	57
24	6	118
23	6	40
22	6	131
21	6	93
20	6	134
19	6	45
18	6	63
17	6	86
16	6	99
15	6	76
14	6	35
13	6	51
12	6	86
11	6	165
10	6	197
9	6	97
8	6	76
7	6	119
6	6	71
5	6	96
4	6	99
3	6	178
2	6	151
1	6	192
28	7	87
27	7	67
26	7	79
25	7	104
24	7	80
23	7	123
22	7	84
21	7	93
20	7	61
19	7	61
18	7	133
17	7	15
16	7	15
15	7	96
14	7	90
13	7	104
12	7	91
11	7	144
10	7	122
9	7	101
8	7	81
7	7	210
6	7	104
5	7	160
4	7	130
3	7	90
2	7	73
1	7	157
28	8	188
27	8	207
26	8	136
25	8	104
24	8	144
23	8	40
22	8	126
21	8	72
20	8	70
19	8	43
18	8	14
17	8	113
16	8	81
15	8	69
14	8	80
13	8	85
12	8	31
11	8	106
10	8	77
9	8	160
8	8	131
7	8	113
6	8	94
5	8	109
4	8	87
3	8	115
2	8	94
1	8	215
28	9	164
27	9	164
26	9	195
25	9	54
24	9	52
23	9	107
22	9	30
21	9	8
20	9	60
19	9	25
18	9	73
17	9	58
16	9	28
15	9	25
14	9	94
13	9	42
12	9	72
11	9	85
10	9	117
9	9	90
8	9	65
7	9	149
6	9	113
5	9	25
4	9	166
3	9	150
2	9	166
1	9	168
28	10	164
27	10	164
26	10	97
25	10	62
24	10	58
23	10	21
22	10	24
21	10	96
20	10	64
19	10	43
18	10	101
17	10	83
16	10	50
15	10	65
14	10	13
13	10	75
12	10	97
11	10	105
10	10	83
9	10	87
8	10	39
7	10	131
6	10	126
5	10	148
4	10	129
3	10	128
2	10	235
1	10	201
