"row"	"col"	"gen"	"yield"
1	1	"a"	236.5
1	2	"f"	210.4
1	3	"c"	291.1
1	4	"h"	223.9
1	5	"e"	295.6
1	6	"b"	290.5
1	7	"g"	286.1
1	8	"d"	266.2
1	9	"a"	291.6
1	10	"f"	247.3
1	11	"c"	321.4
1	12	"h"	249.9
1	13	"e"	286.5
1	14	"b"	246.6
1	15	"g"	301
1	16	"d"	333
1	17	"a"	322
1	18	"f"	282.4
1	19	"c"	399.3
1	20	"h"	330.8
1	21	"e"	303.9
1	22	"b"	343.3
1	23	"g"	285.2
1	24	"d"	273.5
1	25	"a"	333.4
1	26	"f"	295.9
1	27	"c"	362.6
1	28	"h"	349.8
1	29	"e"	395.3
1	30	"b"	400.6
1	31	"g"	364.9
1	32	"d"	361.8
2	1	"b"	265.9
2	2	"g"	236.7
2	3	"d"	295.8
2	4	"a"	238.3
2	5	"f"	265
2	6	"c"	320.9
2	7	"h"	272.9
2	8	"e"	298.7
2	9	"b"	307.9
2	10	"g"	301.3
2	11	"d"	244.2
2	12	"a"	263.1
2	13	"f"	257.5
2	14	"c"	318.2
2	15	"h"	331.7
2	16	"e"	324
2	17	"b"	301.7
2	18	"g"	326.8
2	19	"d"	325.5
2	20	"a"	280.2
2	21	"f"	315
2	22	"c"	305.9
2	23	"h"	269.2
2	24	"e"	376.4
2	25	"b"	314.2
2	26	"g"	376
2	27	"d"	428.4
2	28	"a"	405.7
2	29	"f"	362.9
2	30	"c"	379.9
2	31	"h"	348.6
2	32	"e"	371.3
3	1	"c"	265.6
3	2	"h"	205
3	3	"e"	246.7
3	4	"b"	277.4
3	5	"g"	232.3
3	6	"d"	286
3	7	"a"	286.1
3	8	"f"	229.3
3	9	"c"	221.2
3	10	"h"	170.7
3	11	"e"	231.8
3	12	"b"	235.5
3	13	"g"	284.4
3	14	"d"	239.7
3	15	"a"	302.2
3	16	"f"	278.8
3	17	"c"	301.2
3	18	"h"	260.3
3	19	"e"	328
3	20	"b"	324.1
3	21	"g"	305.9
3	22	"d"	308.7
3	23	"a"	248
3	24	"f"	272.7
3	25	"c"	324.2
3	26	"h"	295.6
3	27	"e"	253.5
3	28	"b"	286.7
3	29	"g"	372.6
3	30	"d"	322.3
3	31	"a"	362.9
3	32	"f"	326.3
4	1	"d"	255.9
4	2	"a"	222.6
4	3	"f"	218.7
4	4	"c"	258.2
4	5	"h"	273.3
4	6	"e"	268.2
4	7	"b"	301.1
4	8	"g"	285.7
4	9	"d"	212
4	10	"a"	296.7
4	11	"f"	237.7
4	12	"c"	308.8
4	13	"h"	225
4	14	"e"	290.4
4	15	"b"	297.5
4	16	"g"	334.4
4	17	"d"	282.6
4	18	"a"	374.3
4	19	"f"	300.4
4	20	"c"	377.9
4	21	"h"	303
4	22	"e"	351.5
4	23	"b"	344.7
4	24	"g"	317.7
4	25	"d"	362.4
4	26	"a"	331.8
4	27	"f"	298.7
4	28	"c"	366.4
4	29	"h"	325.6
4	30	"e"	377
4	31	"b"	354.7
4	32	"g"	321.8
5	1	"e"	230.1
5	2	"b"	249.3
5	3	"g"	312.2
5	4	"d"	263.4
5	5	"a"	263.4
5	6	"f"	273.4
5	7	"c"	314.9
5	8	"h"	198
5	9	"e"	227.9
5	10	"b"	225.7
5	11	"g"	265.4
5	12	"d"	203
5	13	"a"	236.9
5	14	"f"	228
5	15	"c"	293.9
5	16	"h"	237.6
5	17	"e"	336.6
5	18	"b"	330.2
5	19	"g"	323.5
5	20	"d"	341
5	21	"a"	327
5	22	"f"	308.1
5	23	"c"	324.9
5	24	"h"	298.7
5	25	"e"	334.8
5	26	"b"	316.6
5	27	"g"	258.2
5	28	"d"	299.8
5	29	"a"	338.9
5	30	"f"	321
5	31	"c"	317.2
5	32	"h"	266.8
