"male"	"female"	"weight"
"M1"	"F01"	965
"M1"	"F02"	803
"M1"	"F03"	644
"M2"	"F04"	740
"M2"	"F05"	701
"M2"	"F06"	909
"M3"	"F07"	696
"M3"	"F08"	752
"M3"	"F09"	686
"M4"	"F10"	979
"M4"	"F11"	905
"M4"	"F12"	797
"M5"	"F13"	809
"M5"	"F14"	887
"M5"	"F15"	872
"M1"	"F01"	813
"M1"	"F02"	640
"M1"	"F03"	753
"M2"	"F04"	798
"M2"	"F05"	847
"M2"	"F06"	800
"M3"	"F07"	807
"M3"	"F08"	863
"M3"	"F09"	832
"M4"	"F10"	798
"M4"	"F11"	880
"M4"	"F12"	721
"M5"	"F13"	756
"M5"	"F14"	935
"M5"	"F15"	811
"M1"	"F01"	765
"M1"	"F02"	714
"M1"	"F03"	705
"M2"	"F04"	941
"M2"	"F05"	909
"M2"	"F06"	853
"M3"	"F07"	800
"M3"	"F08"	739
"M3"	"F09"	796
"M4"	"F10"	788
"M4"	"F11"	770
"M4"	"F12"	765
"M5"	"F13"	775
"M5"	"F14"	937
"M5"	"F15"	925
