"loc"	"rep"	"iblock"	"gen_new"	"gen_check"	"gen"	"col"	"row"	"yield"
"Alliance"	"R1"	"I01"	0	"Camelot"	"Camelot"	1	16	71.4
"Alliance"	"R1"	"I01"	1	"0"	"NE16471"	1	17	56.5
"Alliance"	"R1"	"I01"	1	"0"	"NE16510"	1	18	50.8
"Alliance"	"R1"	"I01"	1	"0"	"NE16516"	1	19	49.8
"Alliance"	"R1"	"I01"	1	"0"	"NE16570"	1	20	52.2
"Alliance"	"R1"	"I01"	1	"0"	"NE16650"	1	21	42
"Alliance"	"R1"	"I01"	1	"0"	"NE16553"	1	22	57.4
"Alliance"	"R1"	"I01"	1	"0"	"NE16482"	1	23	49.5
"Alliance"	"R1"	"I01"	1	"0"	"NE16548"	1	24	74.9
"Alliance"	"R1"	"I01"	1	"0"	"NE16649"	1	25	52.8
"Alliance"	"R2"	"I01"	1	"0"	"NE16447"	1	26	76.8
"Alliance"	"R2"	"I01"	1	"0"	"NE16405"	1	27	58.4
"Alliance"	"R2"	"I01"	1	"0"	"NE16520"	1	28	60.6
"Alliance"	"R2"	"I01"	1	"0"	"NE16448"	1	29	61
"Alliance"	"R2"	"I01"	1	"0"	"NE16423"	1	30	65.1
"Alliance"	"R2"	"I01"	1	"0"	"NE16496"	1	31	49.1
"Alliance"	"R2"	"I01"	1	"0"	"NE16431"	1	32	59
"Alliance"	"R2"	"I01"	1	"0"	"NE16677"	1	33	57.7
"Alliance"	"R2"	"I01"	1	"0"	"NE16577"	1	34	57.3
"Alliance"	"R2"	"I01"	1	"0"	"NE16451"	1	35	62.7
"Alliance"	"R1"	"I01"	1	"0"	"NE16406"	2	16	69.7
"Alliance"	"R1"	"I01"	1	"0"	"NE16615"	2	17	51.7
"Alliance"	"R1"	"I01"	1	"0"	"NE16464"	2	18	50.4
"Alliance"	"R1"	"I01"	1	"0"	"NE16588"	2	19	57.2
"Alliance"	"R1"	"I01"	1	"0"	"NE16698"	2	20	35.3
"Alliance"	"R1"	"I01"	1	"0"	"NE16599"	2	21	50
"Alliance"	"R1"	"I01"	1	"0"	"NE16630"	2	22	50.5
"Alliance"	"R1"	"I01"	1	"0"	"NE16594"	2	23	49.2
"Alliance"	"R1"	"I01"	1	"0"	"NE16578"	2	24	63.4
