col	row	yield	gen
1	75	9.29	G57
1	74	8.16	G39
1	73	8.97	G03
1	72	8.33	G48
1	71	8.66	G75
1	70	9.05	G21
1	69	9.01	G66
1	68	9.4	G12
1	67	10.16	G30
1	66	10.3	G32
1	65	10.73	G59
1	64	9.69	G50
1	63	11.49	G05
1	62	10.73	G23
1	61	10.71	G14
1	60	10.21	G68
1	59	10.52	G41
1	58	11.09	G01
1	57	11.39	G64
1	56	11.24	G28
1	55	10.65	G46
1	54	10.77	G73
1	53	10.92	G37
1	52	12.07	G55
1	51	11.03	G19
1	50	11.64	G10
1	49	11.37	G35
1	48	10.34	G26
1	47	9.52	G17
1	46	8.99	G71
1	45	8.34	G08
1	44	9.25	G62
1	43	9.86	G44
1	42	9.9	G53
1	41	11.04	G74
1	40	10.3	G20
1	39	11.56	G56
1	38	9.69	G29
1	37	10.68	G02
1	36	10.91	G47
1	35	10.05	G11
1	34	10.8	G38
1	33	10.06	G65
1	32	10.04	G13
1	31	10.5	G31
1	30	9.51	G40
1	29	9.2	G04
1	28	9.74	G67
1	27	8.84	G22
1	26	9.33	G49
1	25	9.51	G58
1	24	9.35	G43
1	23	9.01	G07
1	22	10.58	G25
1	21	11.03	G61
1	20	9.89	G16
1	19	11.39	G52
1	18	11.24	G70
1	17	12.18	G34
1	16	10.21	G42
1	15	11.08	G24
1	14	11.05	G33
1	13	10.29	G51
1	12	10.57	G60
1	11	10.42	G69
1	10	10.49	G15
1	9	10	G06
1	8	9.23	G63
1	7	10.57	G54
1	6	10.27	G18
1	5	8.86	G45
1	4	9.45	G72
1	3	8.03	G09
1	2	9.22	G36
1	1	8.7	G27
2	75	7.99	G49
2	74	9.56	G18
2	73	9.02	G08
2	72	8.91	G69
2	71	9.17	G29
2	70	9.49	G59
2	69	9.73	G19
2	68	9.38	G39
2	67	8.8	G67
2	66	9.72	G57
2	65	10.24	G37
2	64	10.85	G26
2	63	9.67	G16
2	62	10.17	G06
2	61	11.46	G47
2	60	10.05	G36
2	59	11.47	G64
2	58	10.63	G63
2	57	11.03	G33
2	56	10.85	G74
2	55	11.35	G13
2	54	10.25	G43
2	53	10.08	G03
2	52	10.25	G53
2	51	9.57	G23
2	50	11.34	G62
2	49	10.19	G52
2	48	10.8	G12
2	47	10.04	G02
2	46	9.69	G32
2	45	9.36	G22
2	44	9.43	G42
2	43	11.46	G72
2	42	9.29	G73
2	41	10.1	G25
2	40	9.53	G45
2	39	10.55	G15
2	38	11.34	G35
2	37	11.36	G66
2	36	10.88	G05
2	35	11.61	G56
2	34	10.33	G46
2	33	10.53	G71
2	32	8.67	G51
2	31	9.56	G21
2	30	9.95	G01
2	29	11.1	G31
2	28	10.11	G11
2	27	9.36	G41
2	26	10.23	G61
2	25	11.38	G55
2	24	11.3	G14
2	23	10.9	G44
2	22	10.97	G34
2	21	12.22	G54
2	20	10.1	G24
2	19	11.22	G04
2	18	10.01	G65
2	17	10.29	G75
2	16	10.95	G38
2	15	9.66	G17
2	14	9.31	G68
2	13	8.84	G07
2	12	10.64	G27
2	11	9.45	G58
2	10	9.66	G48
2	9	9.85	G28
2	8	9.24	G60
2	7	10.11	G30
2	6	9.63	G70
2	5	9.04	G20
2	4	8.43	G09
2	3	10.97	G40
2	2	8.98	G50
2	1	9.88	G10
3	75	11.77	G63
3	74	12.05	G38
3	73	12.25	G14
3	72	10.96	G71
3	71	9.94	G22
3	70	9.27	G46
3	69	11.05	G06
3	68	11.4	G30
3	67	10.78	G16
3	66	10.3	G24
3	65	11.27	G40
3	64	11.13	G64
3	63	10.55	G08
3	62	12.82	G56
3	61	10.95	G32
3	60	10.92	G48
3	59	10.77	G54
3	58	11.08	G37
3	57	10.22	G21
3	56	10.59	G29
3	55	11.35	G62
3	54	11.39	G05
3	53	10.59	G70
3	52	11.26	G13
3	51	11.79	G11
3	50	12.25	G44
3	49	12.23	G36
3	48	10.84	G52
3	47	10.92	G60
3	46	10.41	G68
3	45	10.96	G03
3	44	9.94	G19
3	43	11.27	G67
3	42	11.79	G59
3	41	11.51	G02
3	40	11.64	G75
3	39	NA	G27
3	38	9.78	G43
3	37	8.86	G51
3	36	10.28	G10
3	35	12.15	G35
3	34	10.36	G74
3	33	9.59	G66
3	32	10.53	G34
3	31	11.26	G18
3	30	10.37	G50
3	29	10.1	G42
3	28	9.95	G01
3	27	9.8	G58
3	26	10.58	G26
3	25	9.31	G41
3	24	9.29	G25
3	23	10.03	G33
3	22	9.49	G09
3	21	11.52	G17
3	20	12.24	G57
3	19	11.64	G65
3	18	10.74	G49
3	17	10.29	G73
3	16	10.25	G07
3	15	11.39	G23
3	14	13.34	G72
3	13	12.73	G55
3	12	12.62	G31
3	11	10.19	G39
3	10	11.61	G47
3	9	10.52	G15
3	8	9.07	G20
3	7	10.76	G61
3	6	9.91	G28
3	5	10.17	G53
3	4	8.68	G69
3	3	8.74	G45
3	2	9.15	G12
3	1	9.39	G04
