gen	height	yield	row	rep	col
Maris	92	395	1	R0	1
Maris	90	350	1	R1	2
Dwarf	37	230	1	R1	3
Minica	66	355	1	R1	4
Stella	98	370	1	R1	5
Topless	66	280	1	R1	6
Metissa	53	185	1	R1	7
Metissa	55	200	1	R2	8
Stella	97	440	1	R2	9
Dwarf	33	280	1	R2	10
Topless	65	255	1	R2	11
Maris	90	420	1	R2	12
Minica	70	240	1	R2	13
Minica	66	460	1	R3	14
Dwarf	36	300	1	R3	15
Maris	86	430	1	R3	16
Metissa	47	350	1	R3	17
Topless	71	315	1	R3	18
Stella	102	455	1	R3	19
Stella	103	410	1	R4	20
Maris	110	380	1	R4	21
Topless	71	305	1	R4	22
Minica	76	605	1	R4	23
Metissa	61	540	1	R4	24
Dwarf	37	315	1	R4	25
Dwarf	38	375	1	R5	26
Metissa	58	510	1	R5	27
Maris	101	405	1	R5	28
Stella	113	495	1	R5	29
Minica	86	515	1	R5	30
Topless	68	395	1	R5	31
Topless	68	330	1	R6	32
Dwarf	47	365	1	R6	33
Stella	99	620	1	R6	34
Metissa	54	290	1	R6	35
Minica	75	455	1	R6	36
Maris	91	505	1	R6	37
Maris	104	495	1	R0	38
Metissa	52	380	2	R0	1
Metissa	52	470	2	R1	2
Stella	101	510	2	R1	3
Dwarf	34	310	2	R1	4
Topless	64	185	2	R1	5
Maris	98	500	2	R1	6
Minica	70	250	2	R1	7
Minica	61	360	2	R2	8
Dwarf	40	300	2	R2	9
Maris	86	420	2	R2	10
Metissa	58	335	2	R2	11
Topless	71	275	2	R2	12
Stella	108	445	2	R2	13
Stella	112	490	2	R3	14
Maris	98	415	2	R3	15
Topless	74	255	2	R3	16
Minica	58	350	2	R3	17
Metissa	54	450	2	R3	18
Dwarf	34	370	2	R3	19
Dwarf	38	220	2	R4	20
Metissa	50	380	2	R4	21
Maris	92	480	2	R4	22
Stella	113	605	2	R4	23
Minica	83	545	2	R4	24
Topless	79	355	2	R4	25
Topless	77	325	2	R5	26
Dwarf	36	400	2	R5	27
Stella	109	575	2	R5	28
Metissa	63	425	2	R5	29
Minica	78	615	2	R5	30
Maris	99	560	2	R5	31
Maris	105	425	2	R6	32
Dwarf	32	185	2	R6	33
Minica	76	585	2	R6	34
Stella	101	520	2	R6	35
Topless	72	220	2	R6	36
Metissa	57	435	2	R6	37
Metissa	56	550	2	R0	38
Minica	67	355	3	R0	1
Minica	68	480	3	R1	2
Dwarf	37	360	3	R1	3
Maris	88	350	3	R1	4
Metissa	50	195	3	R1	5
Topless	69	330	3	R1	6
Stella	98	320	3	R1	7
Stella	103	415	3	R2	8
Maris	91	300	3	R2	9
Topless	64	180	3	R2	10
Minica	61	455	3	R2	11
Metissa	53	465	3	R2	12
Dwarf	34	375	3	R2	13
Dwarf	35	520	3	R3	14
Metissa	51	455	3	R3	15
Maris	89	405	3	R3	16
Stella	95	510	3	R3	17
Minica	65	405	3	R3	18
Topless	65	195	3	R3	19
Topless	66	230	3	R4	20
Dwarf	40	275	3	R4	21
Stella	85	405	3	R4	22
Metissa	61	470	3	R4	23
Minica	70	475	3	R4	24
Maris	86	485	3	R4	25
Maris	90	500	3	R5	26
Dwarf	36	335	3	R5	27
Minica	73	630	3	R5	28
Stella	106	475	3	R5	29
Topless	70	320	3	R5	30
Metissa	63	520	3	R5	31
Metissa	50	300	3	R6	32
Stella	104	530	3	R6	33
Dwarf	35	290	3	R6	34
Topless	67	275	3	R6	35
Maris	97	450	3	R6	36
Minica	67	455	3	R6	37
Minica	69	730	3	R0	38
Maris	91	360	4	R0	1
Maris	91	470	4	R1	2
Minica	68	495	4	R1	3
Metissa	48	310	4	R1	4
Stella	95	470	4	R1	5
Dwarf	35	205	4	R1	6
Topless	63	270	4	R1	7
Topless	62	225	4	R2	8
Minica	66	335	4	R2	9
Stella	97	415	4	R2	10
Maris	92	335	4	R2	11
Metissa	49	405	4	R2	12
Dwarf	33	385	4	R2	13
Dwarf	24	355	4	R3	14
Metissa	52	375	4	R3	15
Minica	67	385	4	R3	16
Topless	73	240	4	R3	17
Maris	94	445	4	R3	18
Stella	97	395	4	R3	19
Stella	98	405	4	R4	20
Topless	76	290	4	R4	21
Metissa	56	365	4	R4	22
Maris	88	500	4	R4	23
Dwarf	33	300	4	R4	24
Minica	65	510	4	R4	25
Minica	37	535	4	R5	26
Maris	97	470	4	R5	27
Topless	75	315	4	R5	28
Dwarf	37	320	4	R5	29
Stella	102	470	4	R5	30
Metissa	54	555	4	R5	31
Metissa	55	320	4	R6	32
Topless	69	340	4	R6	33
Stella	101	525	4	R6	34
Minica	73	455	4	R6	35
Dwarf	30	280	4	R6	36
Maris	96	420	4	R6	37
Maris	87	565	4	R0	38
