"yield"	"row"	"col"	"gen"
385	52	1	"Huntsman"
451	51	1	"Bounty"
359	50	1	"Huntsman"
419	49	1	"Bounty"
376	48	1	"Huntsman"
384	47	1	"Bounty"
370	46	1	"Huntsman"
397	45	1	"Bounty"
366	44	1	"Huntsman"
384	43	1	"Bounty"
362	42	1	"Huntsman"
398	41	1	"Bounty"
348	40	1	"Huntsman"
389	39	1	"Bounty"
376	38	1	"Huntsman"
430	37	1	"Bounty"
395	36	1	"Huntsman"
442	35	1	"Bounty"
391	34	1	"Huntsman"
449	33	1	"Bounty"
404	32	1	"Huntsman"
424	31	1	"Bounty"
374	30	1	"Huntsman"
407	29	1	"Bounty"
344	28	1	"Huntsman"
376	27	1	"Bounty"
329	26	1	"Huntsman"
350	25	1	"Bounty"
361	24	1	"Huntsman"
446	23	1	"Bounty"
396	22	1	"Huntsman"
420	21	1	"Bounty"
362	20	1	"Huntsman"
394	19	1	"Bounty"
367	18	1	"Huntsman"
435	17	1	"Bounty"
398	16	1	"Huntsman"
417	15	1	"Bounty"
363	14	1	"Huntsman"
430	13	1	"Bounty"
385	12	1	"Huntsman"
439	11	1	"Bounty"
402	10	1	"Huntsman"
391	9	1	"Bounty"
380	8	1	"Huntsman"
511	7	1	"Bounty"
468	6	1	"Huntsman"
527	5	1	"Bounty"
467	4	1	"Huntsman"
466	3	1	"Bounty"
442	2	1	"Huntsman"
455	1	1	"Bounty"
373	52	6	"Bounty"
352	51	6	"Huntsman"
408	50	6	"Bounty"
332	49	6	"Huntsman"
401	48	6	"Bounty"
386	47	6	"Huntsman"
429	46	6	"Bounty"
414	45	6	"Huntsman"
390	44	6	"Bounty"
384	43	6	"Huntsman"
437	42	6	"Bounty"
366	41	6	"Huntsman"
412	40	6	"Bounty"
387	39	6	"Huntsman"
393	38	6	"Bounty"
415	37	6	"Huntsman"
430	36	6	"Bounty"
405	35	6	"Huntsman"
426	34	6	"Bounty"
436	33	6	"Huntsman"
418	32	6	"Bounty"
360	31	6	"Huntsman"
301	30	6	"Bounty"
325	29	6	"Huntsman"
346	28	6	"Bounty"
329	27	6	"Huntsman"
322	26	6	"Bounty"
323	25	6	"Huntsman"
299	24	6	"Bounty"
346	23	6	"Huntsman"
379	22	6	"Bounty"
382	21	6	"Huntsman"
407	20	6	"Bounty"
366	19	6	"Huntsman"
406	18	6	"Bounty"
388	17	6	"Huntsman"
471	16	6	"Bounty"
404	15	6	"Huntsman"
433	14	6	"Bounty"
424	13	6	"Huntsman"
458	12	6	"Bounty"
404	11	6	"Huntsman"
444	10	6	"Bounty"
421	9	6	"Huntsman"
458	8	6	"Bounty"
515	7	6	"Huntsman"
531	6	6	"Bounty"
469	5	6	"Huntsman"
493	4	6	"Bounty"
476	3	6	"Huntsman"
482	2	6	"Bounty"
425	1	6	"Huntsman"
334	52	11	"Huntsman"
364	51	11	"Bounty"
379	50	11	"Huntsman"
395	49	11	"Bounty"
407	48	11	"Huntsman"
415	47	11	"Bounty"
376	46	11	"Huntsman"
419	45	11	"Bounty"
348	44	11	"Huntsman"
414	43	11	"Bounty"
390	42	11	"Huntsman"
355	41	11	"Bounty"
357	40	11	"Huntsman"
417	39	11	"Bounty"
379	38	11	"Huntsman"
423	37	11	"Bounty"
407	36	11	"Huntsman"
448	35	11	"Bounty"
396	34	11	"Huntsman"
429	33	11	"Bounty"
369	32	11	"Huntsman"
406	31	11	"Bounty"
357	30	11	"Huntsman"
410	29	11	"Bounty"
326	28	11	"Huntsman"
317	27	11	"Bounty"
323	26	11	"Huntsman"
353	25	11	"Bounty"
341	24	11	"Huntsman"
429	23	11	"Bounty"
390	22	11	"Huntsman"
443	21	11	"Bounty"
402	20	11	"Huntsman"
417	19	11	"Bounty"
405	18	11	"Huntsman"
451	17	11	"Bounty"
411	16	11	"Huntsman"
450	15	11	"Bounty"
417	14	11	"Huntsman"
460	13	11	"Bounty"
401	12	11	"Huntsman"
443	11	11	"Bounty"
406	10	11	"Huntsman"
446	9	11	"Bounty"
388	8	11	"Huntsman"
532	7	11	"Bounty"
478	6	11	"Huntsman"
538	5	11	"Bounty"
488	4	11	"Huntsman"
542	3	11	"Bounty"
479	2	11	"Huntsman"
511	1	11	"Bounty"
432	52	16	"Bounty"
370	51	16	"Huntsman"
385	50	16	"Bounty"
361	49	16	"Huntsman"
411	48	16	"Bounty"
380	47	16	"Huntsman"
438	46	16	"Bounty"
366	45	16	"Huntsman"
368	44	16	"Bounty"
368	43	16	"Huntsman"
404	42	16	"Bounty"
389	41	16	"Huntsman"
404	40	16	"Bounty"
400	39	16	"Huntsman"
386	38	16	"Bounty"
376	37	16	"Huntsman"
408	36	16	"Bounty"
401	35	16	"Huntsman"
403	34	16	"Bounty"
393	33	16	"Huntsman"
424	32	16	"Bounty"
374	31	16	"Huntsman"
412	30	16	"Bounty"
370	29	16	"Huntsman"
413	28	16	"Bounty"
338	27	16	"Huntsman"
357	26	16	"Bounty"
338	25	16	"Huntsman"
368	24	16	"Bounty"
396	23	16	"Huntsman"
346	22	16	"Bounty"
279	21	16	"Huntsman"
339	20	16	"Bounty"
355	19	16	"Huntsman"
391	18	16	"Bounty"
351	17	16	"Huntsman"
395	16	16	"Bounty"
362	15	16	"Huntsman"
409	14	16	"Bounty"
409	13	16	"Huntsman"
399	12	16	"Bounty"
404	11	16	"Huntsman"
433	10	16	"Bounty"
412	9	16	"Huntsman"
415	8	16	"Bounty"
407	7	16	"Huntsman"
554	6	16	"Bounty"
502	5	16	"Huntsman"
547	4	16	"Bounty"
497	3	16	"Huntsman"
523	2	16	"Bounty"
456	1	16	"Huntsman"
417	52	21	"Huntsman"
447	51	21	"Bounty"
406	50	21	"Huntsman"
443	49	21	"Bounty"
395	48	21	"Huntsman"
439	47	21	"Bounty"
407	46	21	"Huntsman"
465	45	21	"Bounty"
396	44	21	"Huntsman"
410	43	21	"Bounty"
371	42	21	"Huntsman"
413	41	21	"Bounty"
350	40	21	"Huntsman"
409	39	21	"Bounty"
380	38	21	"Huntsman"
460	37	21	"Bounty"
407	36	21	"Huntsman"
429	35	21	"Bounty"
392	34	21	"Huntsman"
451	33	21	"Bounty"
405	32	21	"Huntsman"
411	31	21	"Bounty"
357	30	21	"Huntsman"
361	29	21	"Bounty"
384	28	21	"Huntsman"
354	27	21	"Bounty"
332	26	21	"Huntsman"
331	25	21	"Bounty"
318	24	21	"Huntsman"
374	23	21	"Bounty"
336	22	21	"Huntsman"
364	21	21	"Bounty"
345	20	21	"Huntsman"
368	19	21	"Bounty"
389	18	21	"Huntsman"
401	17	21	"Bounty"
383	16	21	"Huntsman"
377	15	21	"Bounty"
358	14	21	"Huntsman"
410	13	21	"Bounty"
370	12	21	"Huntsman"
449	11	21	"Bounty"
380	10	21	"Huntsman"
455	9	21	"Bounty"
364	8	21	"Huntsman"
511	7	21	"Bounty"
415	6	21	"Huntsman"
522	5	21	"Bounty"
483	4	21	"Huntsman"
517	3	21	"Bounty"
469	2	21	"Huntsman"
501	1	21	"Bounty"
448	52	26	"Bounty"
373	51	26	"Huntsman"
432	50	26	"Bounty"
349	49	26	"Huntsman"
408	48	26	"Bounty"
357	47	26	"Huntsman"
420	46	26	"Bounty"
393	45	26	"Huntsman"
437	44	26	"Bounty"
306	43	26	"Huntsman"
349	42	26	"Bounty"
389	41	26	"Huntsman"
438	40	26	"Bounty"
432	39	26	"Huntsman"
457	38	26	"Bounty"
406	37	26	"Huntsman"
447	36	26	"Bounty"
415	35	26	"Huntsman"
389	34	26	"Bounty"
374	33	26	"Huntsman"
432	32	26	"Bounty"
427	31	26	"Huntsman"
420	30	26	"Bounty"
393	29	26	"Huntsman"
461	28	26	"Bounty"
379	27	26	"Huntsman"
397	26	26	"Bounty"
378	25	26	"Huntsman"
470	24	26	"Bounty"
399	23	26	"Huntsman"
410	22	26	"Bounty"
379	21	26	"Huntsman"
403	20	26	"Bounty"
380	19	26	"Huntsman"
472	18	26	"Bounty"
486	17	26	"Huntsman"
456	16	26	"Bounty"
380	15	26	"Huntsman"
434	14	26	"Bounty"
391	13	26	"Huntsman"
437	12	26	"Bounty"
390	11	26	"Huntsman"
435	10	26	"Bounty"
396	9	26	"Huntsman"
438	8	26	"Bounty"
501	7	26	"Huntsman"
518	6	26	"Bounty"
511	5	26	"Huntsman"
