yield	row	col	gen	rate	nitro	regulator
478	1	1	Torrs	150	150	Cycocel
595	1	2	Newton	125	100	Cycocel
499	1	3	Torrs	125	150	Cycocel
572	1	4	Torrs	125	100	Terpal
673	1	5	Warren	125	150	Terpal
577	1	6	Torrs	125	100	Control
768	1	7	Newton	125	100	Control
595	1	8	Warren	150	100	Control
659	1	9	Warren	150	150	Cycocel
686	1	10	Torrs	150	100	Cycocel
851	1	11	Newton	150	150	Terpal
613	1	12	Torrs	125	150	Cycocel
538	1	13	Warren	150	100	Terpal
540	1	14	Warren	125	150	Cycocel
467	1	15	Torrs	150	150	Control
481	1	16	Newton	125	150	Control
479	1	17	Newton	125	150	Terpal
449	1	18	Newton	150	100	Control
702	2	1	Newton	150	150	Terpal
529	2	2	Torrs	150	100	Control
608	2	3	Warren	125	100	Control
593	2	4	Torrs	125	150	Control
605	2	5	Newton	125	150	Cycocel
491	2	6	Warren	125	150	Control
529	2	7	Warren	125	100	Cycocel
673	2	8	Newton	125	150	Cycocel
525	2	9	Torrs	150	150	Control
514	2	10	Warren	125	150	Cycocel
552	2	11	Torrs	125	150	Terpal
508	2	12	Torrs	150	100	Terpal
510	2	13	Warren	150	150	Terpal
443	2	14	Warren	125	150	Control
375	2	15	Warren	150	100	Cycocel
326	2	16	Newton	150	150	Control
249	2	17	Torrs	150	150	Cycocel
393	2	18	Warren	150	150	Cycocel
443	3	1	Warren	150	150	Control
588	3	2	Newton	125	100	Terpal
602	3	3	Newton	125	150	Terpal
486	3	4	Torrs	150	150	Terpal
651	3	5	Torrs	125	150	Terpal
579	3	6	Torrs	125	150	Control
619	3	7	Newton	150	100	Cycocel
607	3	8	Newton	150	150	Cycocel
678	3	9	Newton	125	150	Control
673	3	10	Newton	150	100	Terpal
621	3	11	Warren	125	150	Terpal
559	3	12	Torrs	150	150	Terpal
554	3	13	Newton	150	150	Cycocel
429	3	14	Torrs	125	100	Cycocel
483	3	15	Newton	150	150	Control
465	3	16	Warren	125	100	Terpal
468	3	17	Warren	150	150	Terpal
385	3	18	Warren	150	150	Control
