gen	loc	nitro	yield	type
Cap	Cra	L	321	conv
Cap	Cra	H	411	conv
Cap	Beg	L	317	conv
Cap	Beg	H	429	conv
Cap	Fow	L	364	conv
Cap	Fow	H	464	conv
Cap	Tru	L	408	conv
Cap	Tru	H	434	conv
Cap	Box	L	419	conv
Cap	Box	H	492	conv
Cap	Ear	L	496	conv
Cap	Ear	H	448	conv
Cap	Edn	L	566	conv
Cap	Edn	H	625	conv
Ran	Cra	L	285	conv
Ran	Cra	H	436	conv
Ran	Beg	L	328	conv
Ran	Beg	H	450	conv
Ran	Fow	L	418	conv
Ran	Fow	H	532	conv
Ran	Tru	L	409	conv
Ran	Tru	H	462	conv
Ran	Box	L	404	conv
Ran	Box	H	392	conv
Ran	Ear	L	523	conv
Ran	Ear	H	481	conv
Ran	Edn	L	747	conv
Ran	Edn	H	740	conv
Hun	Cra	L	287	conv
Hun	Cra	H	399	conv
Hun	Beg	L	316	conv
Hun	Beg	H	442	conv
Hun	Fow	L	341	conv
Hun	Fow	H	384	conv
Hun	Tru	L	382	conv
Hun	Tru	H	484	conv
Hun	Box	L	438	conv
Hun	Box	H	434	conv
Hun	Ear	L	532	conv
Hun	Ear	H	496	conv
Hun	Edn	L	633	conv
Hun	Edn	H	615	conv
Tem	Cra	L	346	conv
Tem	Cra	H	445	conv
Tem	Beg	L	360	conv
Tem	Beg	H	552	conv
Tem	Fow	L	455	conv
Tem	Fow	H	453	conv
Tem	Tru	L	413	conv
Tem	Tru	H	403	conv
Tem	Box	L	394	conv
Tem	Box	H	370	conv
Tem	Ear	L	519	conv
Tem	Ear	H	536	conv
Tem	Edn	L	707	conv
Tem	Edn	H	644	conv
Kin	Cra	L	356	conv
Kin	Cra	H	441	conv
Kin	Beg	L	312	conv
Kin	Beg	H	517	conv
Kin	Fow	L	442	conv
Kin	Fow	H	506	conv
Kin	Tru	L	407	conv
Kin	Tru	H	505	conv
Kin	Box	L	415	conv
Kin	Box	H	460	conv
Kin	Ear	L	600	conv
Kin	Ear	H	514	conv
Kin	Edn	L	838	conv
Kin	Edn	H	764	conv
Fun	Cra	L	278	semi
Fun	Cra	H	348	semi
Fun	Beg	L	266	semi
Fun	Beg	H	446	semi
Fun	Fow	L	329	semi
Fun	Fow	H	464	semi
Fun	Tru	L	401	semi
Fun	Tru	H	493	semi
Fun	Box	L	423	semi
Fun	Box	H	491	semi
Fun	Ear	L	579	semi
Fun	Ear	H	526	semi
Fun	Edn	L	749	semi
Fun	Edn	H	667	semi
Dur	Cra	L	314	semi
Dur	Cra	H	431	semi
Dur	Beg	L	318	semi
Dur	Beg	H	442	semi
Dur	Fow	L	457	semi
Dur	Fow	H	513	semi
Dur	Tru	L	466	semi
Dur	Tru	H	552	semi
Dur	Box	L	483	semi
Dur	Box	H	499	semi
Dur	Ear	L	601	semi
Dur	Ear	H	512	semi
Dur	Edn	L	767	semi
Dur	Edn	H	708	semi
Hob	Cra	L	332	semi
Hob	Cra	H	493	semi
Hob	Beg	L	374	semi
Hob	Beg	H	544	semi
Hob	Fow	L	490	semi
Hob	Fow	H	583	semi
Hob	Tru	L	487	semi
Hob	Tru	H	568	semi
Hob	Box	L	525	semi
Hob	Box	H	533	semi
Hob	Ear	L	646	semi
Hob	Ear	H	563	semi
Hob	Edn	L	850	semi
Hob	Edn	H	859	semi
Spo	Cra	L	369	semi
Spo	Cra	H	473	semi
Spo	Beg	L	381	semi
Spo	Beg	H	576	semi
Spo	Fow	L	522	semi
Spo	Fow	H	533	semi
Spo	Tru	L	426	semi
Spo	Tru	H	538	semi
Spo	Box	L	509	semi
Spo	Box	H	514	semi
Spo	Ear	L	579	semi
Spo	Ear	H	569	semi
Spo	Edn	L	764	semi
Spo	Edn	H	694	semi
T95	Cra	L	325	semi
T95	Cra	H	482	semi
T95	Beg	L	336	semi
T95	Beg	H	561	semi
T95	Fow	L	447	semi
T95	Fow	H	528	semi
T95	Tru	L	441	semi
T95	Tru	H	522	semi
T95	Box	L	429	semi
T95	Box	H	518	semi
T95	Ear	L	579	semi
T95	Ear	H	512	semi
T95	Edn	L	760	semi
T95	Edn	H	689	semi
T64	Cra	L	293	semi
T64	Cra	H	414	semi
T64	Beg	L	289	semi
T64	Beg	H	482	semi
T64	Fow	L	395	semi
T64	Fow	H	450	semi
T64	Tru	L	457	semi
T64	Tru	H	479	semi
T64	Box	L	437	semi
T64	Box	H	479	semi
T64	Ear	L	523	semi
T64	Ear	H	491	semi
T64	Edn	L	750	semi
T64	Edn	H	745	semi
T68	Cra	L	322	semi
T68	Cra	H	447	semi
T68	Beg	L	339	semi
T68	Beg	H	569	semi
T68	Fow	L	373	semi
T68	Fow	H	520	semi
T68	Tru	L	453	semi
T68	Tru	H	546	semi
T68	Box	L	480	semi
T68	Box	H	513	semi
T68	Ear	L	522	semi
T68	Ear	H	525	semi
T68	Edn	L	751	semi
T68	Edn	H	704	semi
