"female"	"male"	"yield"
"G24"	"G24"	172.8
"G31"	"G24"	247.7
"G36"	"G24"	267.5
"G55"	"G24"	301.7
"G64"	"G24"	267.5
"G67"	"G24"	262
"G24"	"G31"	279.5
"G31"	"G31"	177.8
"G36"	"G31"	274
"G55"	"G31"	278.5
"G64"	"G31"	253
"G67"	"G31"	274.3
"G24"	"G36"	277.2
"G31"	"G36"	258.5
"G36"	"G36"	236
"G55"	"G36"	269.5
"G64"	"G36"	248
"G67"	"G36"	254.5
"G24"	"G55"	278.2
"G31"	"G55"	263.3
"G36"	"G55"	250.7
"G55"	"G55"	224.2
"G64"	"G55"	267.2
"G67"	"G55"	259.8
"G24"	"G64"	279.8
"G31"	"G64"	303.2
"G36"	"G64"	258.5
"G55"	"G64"	260.5
"G64"	"G64"	208.2
"G67"	"G64"	281.8
"G24"	"G67"	315
"G31"	"G67"	313.2
"G36"	"G67"	256.7
"G55"	"G67"	285.5
"G64"	"G67"	287.5
"G67"	"G67"	221.3
