"row"	"col"	"yield"	"season"	"crop"
5	1	243	1	"woolypyrol"
6	1	186	1	"woolypyrol"
7	1	278	1	"woolypyrol"
8	1	297	1	"woolypyrol"
9	1	263	1	"woolypyrol"
10	1	344	1	"woolypyrol"
11	1	347	1	"woolypyrol"
12	1	423	1	"woolypyrol"
13	1	271	1	"woolypyrol"
14	1	305	1	"woolypyrol"
15	1	261	1	"woolypyrol"
5	2	322	1	"woolypyrol"
6	2	236	1	"woolypyrol"
7	2	234	1	"woolypyrol"
8	2	214	1	"woolypyrol"
9	2	244	1	"woolypyrol"
10	2	319	1	"woolypyrol"
11	2	326	1	"woolypyrol"
12	2	328	1	"woolypyrol"
13	2	317	1	"woolypyrol"
14	2	311	1	"woolypyrol"
15	2	318	1	"woolypyrol"
5	3	230	1	"woolypyrol"
6	3	293	1	"woolypyrol"
7	3	312	1	"woolypyrol"
8	3	274	1	"woolypyrol"
9	3	225	1	"woolypyrol"
10	3	240	1	"woolypyrol"
11	3	333	1	"woolypyrol"
12	3	394	1	"woolypyrol"
13	3	324	1	"woolypyrol"
14	3	297	1	"woolypyrol"
15	3	273	1	"woolypyrol"
5	4	205	1	"woolypyrol"
6	4	296	1	"woolypyrol"
7	4	267	1	"woolypyrol"
8	4	254	1	"woolypyrol"
9	4	276	1	"woolypyrol"
10	4	268	1	"woolypyrol"
11	4	284	1	"woolypyrol"
12	4	388	1	"woolypyrol"
13	4	316	1	"woolypyrol"
14	4	261	1	"woolypyrol"
15	4	241	1	"woolypyrol"
5	5	161	1	"woolypyrol"
6	5	276	1	"woolypyrol"
7	5	299	1	"woolypyrol"
8	5	309	1	"woolypyrol"
9	5	302	1	"woolypyrol"
10	5	292	1	"woolypyrol"
11	5	314	1	"woolypyrol"
12	5	324	1	"woolypyrol"
13	5	341	1	"woolypyrol"
14	5	268	1	"woolypyrol"
15	5	239	1	"woolypyrol"
5	6	197	1	"woolypyrol"
6	6	282	1	"woolypyrol"
7	6	278	1	"woolypyrol"
8	6	248	1	"woolypyrol"
9	6	359	1	"woolypyrol"
10	6	268	1	"woolypyrol"
11	6	235	1	"woolypyrol"
12	6	224	1	"woolypyrol"
13	6	364	1	"woolypyrol"
14	6	341	1	"woolypyrol"
15	6	270	1	"woolypyrol"
5	7	252	1	"woolypyrol"
6	7	275	1	"woolypyrol"
7	7	328	1	"woolypyrol"
8	7	317	1	"woolypyrol"
9	7	327	1	"woolypyrol"
10	7	252	1	"woolypyrol"
11	7	263	1	"woolypyrol"
12	7	281	1	"woolypyrol"
13	7	384	1	"woolypyrol"
14	7	299	1	"woolypyrol"
15	7	281	1	"woolypyrol"
5	8	197	1	"woolypyrol"
6	8	308	1	"woolypyrol"
7	8	288	1	"woolypyrol"
8	8	307	1	"woolypyrol"
9	8	274	1	"woolypyrol"
10	8	292	1	"woolypyrol"
11	8	275	1	"woolypyrol"
12	8	292	1	"woolypyrol"
13	8	383	1	"woolypyrol"
14	8	345	1	"woolypyrol"
15	8	275	1	"woolypyrol"
