group	cow	trt	period	yield
A	C493	T1	P1	433
A	C647	T1	P1	744.6
A	C596	T1	P1	858.2
A	C560	T1	P1	977.2
A	C319	T1	P1	655
A	C493	T2	P2	413.7
A	C647	T2	P2	797.4
A	C596	T2	P2	753.8
A	C560	T2	P2	1025.2
A	C319	T2	P2	616.1
A	C493	T1	P3	362.9
A	C647	T1	P3	780.3
A	C596	T1	P3	680.1
A	C560	T1	P3	1007.4
A	C319	T1	P3	494.6
B	C634	T2	P1	671.3
B	C592	T2	P1	615.1
B	C409	T2	P1	776.9
B	C480	T2	P1	1101.8
B	C485	T2	P1	764.4
B	C634	T1	P2	610.3
B	C592	T1	P2	555.4
B	C409	T1	P2	733
B	C480	T1	P2	958.8
B	C485	T1	P2	717.6
B	C634	T2	P3	596.8
B	C592	T2	P3	488.5
B	C409	T2	P3	693.9
B	C480	T2	P3	939.6
B	C485	T2	P3	717
