"expt"	"row"	"col"	"yield"
"K23E"	11	1	12.39
"K23E"	12	1	13.49
"K23E"	13	1	10
"K23E"	14	1	13.46
"K23E"	15	1	11.26
"K23E"	16	1	12.48
"K23E"	17	1	11.27
"K23E"	18	1	13.25
"K23E"	19	1	11.9
"K23E"	20	1	13.64
"K23E"	21	1	12.3
"K23E"	22	1	13.9
"K23E"	23	1	12.47
"K23E"	24	1	11.99
"K23E"	25	1	12.72
"K23E"	26	1	13.08
"K23E"	27	1	10.17
"K23E"	28	1	14.24
"K23E"	29	1	13.36
"K23E"	30	1	12.43
"K23E"	31	1	13.13
"K23E"	32	1	12.34
"K23E"	33	1	13.15
"K23E"	34	1	12.32
"K23E"	35	1	13.31
"K23E"	36	1	13.81
"K23E"	37	1	11.42
"K23E"	38	1	12.47
"K23E"	39	1	10.41
"K23E"	40	1	9.57
"K23E"	41	1	10.33
"K23E"	42	1	11.24
"K23E"	43	1	11.01
"K23E"	44	1	12.12
"K23E"	45	1	11.72
"K23E"	46	1	10.95
"K23E"	47	1	9.86
"K23E"	48	1	10.19
"K23E"	49	1	9.68
"K23E"	50	1	12.61
"K23E"	51	1	12.09
"K23E"	52	1	12.28
"K23E"	53	1	11.52
"K23E"	54	1	12.18
"K23E"	55	1	11.99
"K23E"	56	1	12.47
"K23E"	57	1	10.39
"K23E"	58	1	12.44
"K23E"	11	2	12.36
"K23E"	12	2	12.32
"K23E"	13	2	10.39
"K23E"	14	2	11.74
"K23E"	15	2	12.37
"K23E"	16	2	12.51
"K23E"	17	2	13.2
"K23E"	18	2	9.77
"K23E"	19	2	11.37
"K23E"	20	2	12.43
"K23E"	21	2	11.08
"K23E"	22	2	11.02
"K23E"	23	2	12.51
"K23E"	24	2	10.66
"K23E"	25	2	9.75
"K23E"	26	2	10.53
"K23E"	27	2	11.28
"K23E"	28	2	12.53
"K23E"	29	2	12.92
"K23E"	30	2	12.67
"K23E"	31	2	13.13
"K23E"	32	2	9.16
"K23E"	33	2	13.26
"K23E"	34	2	13.69
"K23E"	35	2	13.22
"K23E"	36	2	12.21
"K23E"	37	2	12.72
"K23E"	38	2	12.4
"K23E"	39	2	10.67
"K23E"	40	2	12.58
"K23E"	41	2	12.85
"K23E"	42	2	11.54
"K23E"	43	2	12.68
"K23E"	44	2	11.18
"K23E"	45	2	12.79
"K23E"	46	2	9.89
"K23E"	47	2	10.83
"K23E"	48	2	12.52
"K23E"	49	2	13.35
"K23E"	50	2	12.78
"K23E"	51	2	13.66
"K23E"	52	2	12.07
"K23E"	53	2	14.12
"K23E"	54	2	12.28
"K23E"	55	2	12.35
"K23E"	56	2	10.71
"K23E"	57	2	12.77
"K23E"	58	2	12.48
"K23E"	11	3	10.77
"K23E"	12	3	12.38
"K23E"	13	3	7.64
"K23E"	14	3	12.58
"K23E"	15	3	11.92
"K23E"	16	3	10.99
"K23E"	17	3	10.33
"K23E"	18	3	13
"K23E"	19	3	12.21
"K23E"	20	3	11.98
"K23E"	21	3	10.18
"K23E"	22	3	8.99
"K23E"	23	3	11.54
"K23E"	24	3	10.42
"K23E"	25	3	8.97
"K23E"	26	3	12.28
"K23E"	27	3	10.56
"K23E"	28	3	12.94
"K23E"	29	3	12.78
"K23E"	30	3	11.81
"K23E"	31	3	13.81
"K23E"	32	3	13
"K23E"	33	3	12.74
"K23E"	34	3	12.41
"K23E"	35	3	12.49
"K23E"	36	3	12.62
"K23E"	37	3	14.4
"K23E"	38	3	12.51
"K23E"	39	3	11.67
"K23E"	40	3	12.72
"K23E"	41	3	13.65
"K23E"	42	3	13.93
"K23E"	43	3	13.16
"K23E"	44	3	14.78
"K23E"	45	3	12.03
"K23E"	46	3	13.62
"K23E"	47	3	15.29
"K23E"	48	3	12.39
"K23E"	49	3	13.58
"K23E"	50	3	13.53
"K23E"	51	3	14.29
"K23E"	52	3	13.62
"K23E"	53	3	13.97
"K23E"	54	3	13.74
"K23E"	55	3	13.02
"K23E"	56	3	12.28
"K23E"	57	3	12.14
"K23E"	58	3	13.68
"K23E"	11	4	11.7
"K23E"	12	4	11.27
"K23E"	13	4	9.6
"K23E"	14	4	12.44
"K23E"	15	4	11.64
"K23E"	16	4	10.7
"K23E"	17	4	10.71
"K23E"	18	4	12.52
"K23E"	19	4	11.78
"K23E"	20	4	10.51
"K23E"	21	4	9.79
"K23E"	22	4	11.56
"K23E"	23	4	10.82
"K23E"	24	4	11.48
"K23E"	25	4	9.98
"K23E"	26	4	9.82
"K23E"	27	4	12.6
"K23E"	28	4	13.46
"K23E"	29	4	11.64
"K23E"	30	4	12.82
"K23E"	31	4	12.08
"K23E"	32	4	10.23
"K23E"	33	4	11.99
"K23E"	34	4	10.78
"K23E"	35	4	11.86
"K23E"	36	4	13.15
"K23E"	37	4	12.79
"K23E"	38	4	13.36
"K23E"	39	4	12.92
"K23E"	40	4	12.17
"K23E"	41	4	12.88
"K23E"	42	4	12.64
"K23E"	43	4	12.58
"K23E"	44	4	13.64
"K23E"	45	4	13.18
"K23E"	46	4	14.78
"K23E"	47	4	12.07
"K23E"	48	4	13.57
"K23E"	49	4	11.72
"K23E"	50	4	12.1
"K23E"	51	4	12.85
"K23E"	52	4	13.71
"K23E"	53	4	12.77
"K23E"	54	4	13.71
"K23E"	55	4	13.16
"K23E"	56	4	13.41
"K23E"	57	4	13.79
"K23E"	58	4	12.91
"K23E"	11	5	12.54
"K23E"	12	5	10.43
"K23E"	13	5	10.69
"K23E"	14	5	10.08
"K23E"	15	5	9.67
"K23E"	16	5	9.02
"K23E"	17	5	7.97
"K23E"	18	5	10.09
"K23E"	19	5	11.11
"K23E"	20	5	10.22
"K23E"	21	5	10.6
"K23E"	22	5	8.76
"K23E"	23	5	9.09
"K23E"	24	5	10.55
"K23E"	25	5	8.81
"K23E"	26	5	12.09
"K23E"	27	5	9.89
"K23E"	28	5	10.71
"K23E"	29	5	11.4
"K23E"	30	5	11.79
"K23E"	31	5	12.28
"K23E"	32	5	10.78
"K23E"	33	5	11.56
"K23E"	34	5	13.03
"K23E"	35	5	12.92
"K23E"	36	5	12.57
"K23E"	37	5	11.99
"K23E"	38	5	11.39
"K23E"	39	5	10.91
"K23E"	40	5	12.83
"K23E"	41	5	13.19
"K23E"	42	5	11.95
"K23E"	43	5	13.84
"K23E"	44	5	11.22
"K23E"	45	5	12.6
"K23E"	46	5	13.55
"K23E"	47	5	10.63
"K23E"	48	5	13.07
"K23E"	49	5	13.27
"K23E"	50	5	12.04
"K23E"	51	5	10.67
"K23E"	52	5	10.8
"K23E"	53	5	10.68
"K23E"	54	5	11.64
"K23E"	55	5	13.14
"K23E"	56	5	11.02
"K23E"	57	5	10.27
"K23E"	58	5	10.58
"K23E"	11	6	10.69
"K23E"	12	6	11.87
"K23E"	13	6	12.86
"K23E"	14	6	11.6
"K23E"	15	6	10.92
"K23E"	16	6	11.81
"K23E"	17	6	10.47
"K23E"	18	6	11.28
"K23E"	19	6	12.81
"K23E"	20	6	11.46
"K23E"	21	6	10.86
"K23E"	22	6	12.46
"K23E"	23	6	10.1
"K23E"	24	6	11.1
"K23E"	25	6	12.91
"K23E"	26	6	11.15
"K23E"	27	6	11.98
"K23E"	28	6	12.93
"K23E"	29	6	12.37
"K23E"	30	6	10.98
"K23E"	31	6	13.36
"K23E"	32	6	12.5
"K23E"	33	6	11.2
"K23E"	34	6	12.1
"K23E"	35	6	11.65
"K23E"	36	6	12.26
"K23E"	37	6	13.43
"K23E"	38	6	11.49
"K23E"	39	6	13.11
"K23E"	40	6	13.53
"K23E"	41	6	11.91
"K23E"	42	6	10.91
"K23E"	43	6	10.79
"K23E"	44	6	10.87
"K23E"	45	6	10.79
"K23E"	46	6	13.23
"K23E"	47	6	11.86
"K23E"	48	6	13.18
"K23E"	49	6	12.69
"K23E"	50	6	14.41
