"row"	"col"	"yield"
1	1	3.9
2	1	5.6
3	1	4.6
4	1	5.9
5	1	4
6	1	5.5
7	1	5
8	1	3.7
9	1	8.3
10	1	5.9
11	1	6.3
12	1	7.2
13	1	5
14	1	6.4
15	1	10.2
16	1	6.6
17	1	5.4
18	1	5.2
19	1	5.1
20	1	11.1
21	1	5.8
22	1	2.9
23	1	7.1
24	1	9.5
1	2	4.8
2	2	5.6
3	2	4.5
4	2	1.5
5	2	2.9
6	2	10.4
7	2	6.9
8	2	11.3
9	2	5.2
10	2	5.7
11	2	10.5
12	2	3
13	2	6.3
14	2	4.4
15	2	7.4
16	2	4.1
17	2	9
18	2	8
19	2	6.4
20	2	2.7
21	2	9.4
22	2	10.6
23	2	6.5
24	2	5.2
1	3	0
2	3	3.6
3	3	7.1
4	3	0
5	3	1.4
6	3	2.7
7	3	8
8	3	5.8
9	3	2.3
10	3	6.5
11	3	3.4
12	3	6.8
13	3	7.2
14	3	6.2
15	3	8.3
16	3	6.2
17	3	8.5
18	3	7
19	3	2
20	3	2.9
21	3	6.5
22	3	9
23	3	1.3
24	3	8
1	4	4.3
2	4	7.8
3	4	2.2
4	4	1.3
5	4	10.6
6	4	5.1
7	4	3.9
8	4	6.4
9	4	3.6
10	4	7.1
11	4	3.6
12	4	6.3
13	4	10.4
14	4	4
15	4	8.3
16	4	3.7
17	4	5
18	4	7.4
19	4	5.2
20	4	5.4
21	4	6.6
22	4	4.3
23	4	7
24	4	6.9
1	5	4.1
2	5	3
3	5	5.3
4	5	3.4
5	5	4.2
6	5	7.3
7	5	5.2
8	5	5.9
9	5	5.8
10	5	6.3
11	5	5.6
12	5	6.3
13	5	7.4
14	5	6.5
15	5	0
16	5	7.1
17	5	5.1
18	5	3.8
19	5	5.3
20	5	7.5
21	5	5.6
22	5	5.5
23	5	4
24	5	8.2
1	6	5.7
2	6	4.9
3	6	3.1
4	6	3.5
5	6	8.6
6	6	5.3
7	6	5.1
8	6	2.9
9	6	7.7
10	6	5.5
11	6	9.5
12	6	7.7
13	6	8.1
14	6	9.4
15	6	2.4
16	6	2.3
17	6	7.8
18	6	2.7
19	6	2.4
20	6	6.8
21	6	5.1
22	6	3.2
23	6	8.5
24	6	9.4
1	7	2.2
2	7	8.2
3	7	3.5
4	7	5.8
5	7	8.4
6	7	4.3
7	7	5.7
8	7	7.4
9	7	8.7
10	7	1.3
11	7	5.1
12	7	4.6
13	7	8.4
14	7	1.2
15	7	7.8
16	7	4.2
17	7	6
18	7	2.4
19	7	4.3
20	7	6.6
21	7	6.1
22	7	2.3
23	7	7.9
24	7	2.1
1	8	3.9
2	8	4.6
3	8	4.2
4	8	0
5	8	7.5
6	8	1.9
7	8	7.9
8	8	9.6
9	8	6.1
10	8	7.9
11	8	0
12	8	6.4
13	8	9
14	8	2.1
15	8	3.8
16	8	11.2
17	8	3.2
18	8	10.2
19	8	7.5
20	8	3.4
21	8	8
22	8	4.1
23	8	8.2
24	8	6.2
1	9	8.6
2	9	5.4
3	9	7
4	9	3.7
5	9	8.6
6	9	10.8
7	9	3
8	9	8.8
9	9	6.5
10	9	5.3
11	9	8.1
12	9	5.2
13	9	4
14	9	4.4
15	9	5.6
16	9	5.2
17	9	6.4
18	9	4.4
19	9	7.9
20	9	2
21	9	6.1
22	9	7.4
23	9	9.1
24	9	5.6
1	10	7.3
2	10	6.4
3	10	3.2
4	10	4.3
5	10	4.7
6	10	4.5
