rep	block	row	col	gen	yield
R1	B01	1	1	G16	2556
R1	B01	1	2	G01	1361
R1	B01	1	3	G06	1567
R1	B01	1	4	G10	1797
R1	B02	1	5	G11	2753
R1	B02	1	6	G04	2089
R1	B02	1	7	G15	2531
R1	B02	1	8	G05	3144
R1	B03	2	1	G12	2189
R1	B03	2	2	G03	1864
R1	B03	2	3	G02	1400
R1	B03	2	4	G07	1006
R1	B04	2	5	G14	1336
R1	B04	2	6	G13	967
R1	B04	2	7	G08	1417
R1	B04	2	8	G09	1450
R2	B05	3	1	G04	1481
R2	B05	3	2	G03	1058
R2	B05	3	3	G16	1050
R2	B05	3	4	G09	1264
R2	B06	3	5	G02	467
R2	B06	3	6	G08	625
R2	B06	3	7	G06	956
R2	B06	3	8	G15	1661
R2	B07	4	1	G11	1086
R2	B07	4	2	G10	847
R2	B07	4	3	G12	500
R2	B07	4	4	G13	336
R2	B08	4	5	G05	867
R2	B08	4	6	G01	419
R2	B08	4	7	G14	967
R2	B08	4	8	G07	561
R3	B09	5	1	G09	1125
R3	B09	5	2	G10	2183
R3	B09	5	3	G14	1325
R3	B09	5	4	G02	228
R3	B10	5	5	G07	453
R3	B10	5	6	G16	383
R3	B10	5	7	G15	1447
R3	B10	5	8	G11	1581
R3	B11	6	1	G03	1542
R3	B11	6	2	G08	1106
R3	B11	6	3	G12	1742
R3	B11	6	4	G05	1583
R3	B12	6	5	G06	767
R3	B12	6	6	G01	1200
R3	B12	6	7	G04	1886
R3	B12	6	8	G13	1758
