"gen"	"col"	"row"	"yield"
"G000"	1	1	7.21504
"G001"	2	1	5.13106
"G002"	3	1	5.97648
"G000"	4	1	5.42136
"G003"	5	1	4.86704
"G004"	6	1	7.70989
"G000"	7	1	6.10659
"G005"	8	1	7.87475
"G006"	9	1	7.89012
"G000"	10	1	6.61043
"G007"	11	1	6.27366
"G008"	12	1	5.44724
"G000"	13	1	7.39643
"G009"	14	1	4.97136
"G010"	15	1	6.85977
"G000"	16	1	6.30812
"G011"	17	1	4.23532
"G012"	18	1	6.7969
"G000"	19	1	6.34843
"G013"	20	1	5.34168
"G014"	21	1	4.22137
"G000"	22	1	5.52213
"G015"	23	1	6.80075
"G016"	24	1	6.75621
"G000"	25	1	6.34843
"G017"	26	1	5.98869
"G018"	27	1	7.74961
"G000"	28	1	5.60274
"G019"	29	1	7.9616
"G020"	30	1	6.05784
"G000"	31	1	7.45689
"G000"	1	2	6.08643
"G021"	2	2	7.09292
"G022"	3	2	6.57423
"G000"	4	2	5.50197
"G023"	5	2	5.46783
"G024"	6	2	6.36718
"G000"	7	2	6.81197
"G025"	8	2	6.64815
"G026"	9	2	6.3728
"G000"	10	2	5.4012
"G027"	11	2	8.0093
"G028"	12	2	6.10907
"G000"	13	2	5.30044
"G029"	14	2	5.69636
"G030"	15	2	4.33781
"G000"	16	2	5.9252
"G031"	17	2	5.90659
"G032"	18	2	6.74092
"G000"	19	2	6.08643
"G033"	20	2	5.58647
"G034"	21	2	6.24202
"G000"	22	2	6.57012
"G035"	23	2	6.49473
"G036"	24	2	5.76643
"G000"	25	2	6.91274
"G037"	26	2	6.88466
"G038"	27	2	6.80844
"G000"	28	2	5.28028
"G039"	29	2	7.49139
"G040"	30	2	7.0945
"G000"	31	2	6.65074
"G000"	1	3	7.90027
"G041"	2	3	7.13599
"G042"	3	3	7.34367
"G000"	4	3	5.74382
"G043"	5	3	7.64591
"G044"	6	3	9.11993
"G000"	7	3	6.06628
"G045"	8	3	5.51027
"G046"	9	3	7.51618
"G000"	10	3	5.34074
"G047"	11	3	6.64266
"G048"	12	3	6.51732
"G000"	13	3	6.99335
"G049"	14	3	6.85078
"G050"	15	3	6.85541
"G000"	16	3	5.11905
"G051"	17	3	6.81619
"G052"	18	3	7.0676
"G000"	19	3	6.67089
"G053"	20	3	5.52475
"G054"	21	3	8.53018
"G000"	22	3	5.26013
"G055"	23	3	7.10676
"G056"	24	3	7.39129
"G000"	25	3	5.70351
"G057"	26	3	6.29864
"G058"	27	3	5.47808
"G000"	28	3	5.82443
"G059"	29	3	2.11543
"G060"	30	3	6.01077
"G000"	31	3	5.86474
"G000"	1	4	5.82443
"G061"	2	4	5.59819
"G062"	3	4	6.0309
"G000"	4	4	4.29275
"G063"	5	4	5.0264
"G064"	6	4	5.99138
"G000"	7	4	5.90505
"G065"	8	4	5.17111
"G066"	9	4	6.63179
"G000"	10	4	6.10659
"G067"	11	4	6.07404
"G068"	12	4	6.93042
"G000"	13	4	6.14689
"G069"	14	4	6.56203
"G070"	15	4	6.58968
"G000"	16	4	5.78413
"G071"	17	4	5.44835
"G072"	18	4	5.52095
"G000"	19	4	7.21504
"G073"	20	4	5.28371
"G074"	21	4	5.86657
"G000"	22	4	6.40889
"G075"	23	4	7.56805
"G076"	24	4	6.41822
"G000"	25	4	6.85227
"G077"	26	4	4.42559
"G078"	27	4	7.93728
"G000"	28	4	7.59796
"G079"	29	4	6.21222
"G080"	30	4	6.22627
"G000"	31	4	6.52981
"G000"	1	5	6.67089
"G081"	2	5	6.12885
"G082"	3	5	8.35359
"G000"	4	5	5.50197
"G083"	5	5	7.30639
"G084"	6	5	8.93027
"G000"	7	5	6.32828
"G085"	8	5	6.19622
"G086"	9	5	7.43181
"G000"	10	5	5.9252
"G087"	11	5	6.81716
"G088"	12	5	5.96164
"G000"	13	5	6.24766
"G089"	14	5	6.40171
"G090"	15	5	6.48168
"G000"	16	5	5.96551
"G091"	17	5	3.87027
"G092"	18	5	7.37533
"G000"	19	5	6.65074
"G093"	20	5	5.21742
"G094"	21	5	7.43561
"G000"	22	5	6.57012
"G095"	23	5	6.79322
"G096"	24	5	5.34233
"G000"	25	5	5.86474
"G097"	26	5	5.3315
"G098"	27	5	6.61346
"G000"	28	5	5.68336
"G099"	29	5	6.8206
"G100"	30	5	6.67068
"G000"	31	5	7.57781
"G000"	1	6	6.93289
"G106"	2	6	4.99493
"G107"	3	6	6.52673
"G000"	4	6	6.42905
"G108"	5	6	5.52244
"G109"	6	6	6.89231
"G000"	7	6	7.31581
"G110"	8	6	5.39961
"G111"	9	6	7.19446
"G000"	10	6	5.70351
"G112"	11	6	5.5431
"G113"	12	6	5.60399
"G000"	13	6	5.96551
"G114"	14	6	6.76462
