"tree"	"apple"	"size"	"appleid"	"time"	"diameter"
"T01"	"A01"	7	1	1	2.9
"T01"	"A01"	7	1	2	2.9
"T01"	"A01"	7	1	3	2.9
"T01"	"A01"	7	1	4	2.93
"T01"	"A01"	7	1	5	2.94
"T01"	"A01"	7	1	6	2.94
"T01"	"A04"	7	4	1	2.86
"T01"	"A04"	7	4	2	2.9
"T01"	"A04"	7	4	3	2.93
"T01"	"A04"	7	4	4	2.96
"T01"	"A04"	7	4	5	2.99
"T01"	"A04"	7	4	6	3.01
"T01"	"A05"	7	5	1	2.75
"T01"	"A05"	7	5	2	2.78
"T01"	"A05"	7	5	3	2.8
"T01"	"A05"	7	5	4	2.82
"T01"	"A05"	7	5	5	2.82
"T01"	"A05"	7	5	6	2.84
"T01"	"A10"	7	10	1	2.81
"T01"	"A10"	7	10	2	2.84
"T01"	"A10"	7	10	3	2.88
"T01"	"A10"	7	10	4	2.92
"T01"	"A10"	7	10	5	2.92
"T01"	"A10"	7	10	6	2.95
"T01"	"A11"	7	11	1	2.75
"T01"	"A11"	7	11	2	2.78
"T01"	"A11"	7	11	3	2.8
"T01"	"A11"	7	11	4	2.82
"T01"	"A11"	7	11	5	2.83
"T01"	"A11"	7	11	6	2.9
"T01"	"A13"	7	13	1	2.92
"T01"	"A13"	7	13	2	2.96
"T01"	"A13"	7	13	3	2.96
"T01"	"A13"	7	13	4	3.02
"T01"	"A13"	7	13	5	3.02
"T01"	"A13"	7	13	6	3.04
"T01"	"A14"	7	14	1	3.08
"T01"	"A14"	7	14	2	NA
"T01"	"A14"	7	14	3	NA
"T01"	"A14"	7	14	4	NA
"T01"	"A14"	7	14	5	NA
"T01"	"A14"	7	14	6	NA
"T01"	"A15"	7	15	1	3.04
"T01"	"A15"	7	15	2	3.1
"T01"	"A15"	7	15	3	3.11
"T01"	"A15"	7	15	4	3.15
"T01"	"A15"	7	15	5	3.18
"T01"	"A15"	7	15	6	3.21
"T01"	"A17"	7	17	1	2.78
"T01"	"A17"	7	17	2	2.82
"T01"	"A17"	7	17	3	2.83
"T01"	"A17"	7	17	4	2.86
"T01"	"A17"	7	17	5	2.87
"T01"	"A17"	7	17	6	NA
"T01"	"A18"	7	18	1	2.76
"T01"	"A18"	7	18	2	2.78
"T01"	"A18"	7	18	3	2.82
"T01"	"A18"	7	18	4	2.85
"T01"	"A18"	7	18	5	2.86
"T01"	"A18"	7	18	6	2.87
"T01"	"A19"	7	19	1	2.79
"T01"	"A19"	7	19	2	2.86
"T01"	"A19"	7	19	3	2.88
"T01"	"A19"	7	19	4	2.93
"T01"	"A19"	7	19	5	2.95
"T01"	"A19"	7	19	6	2.98
"T01"	"A25"	7	25	1	2.76
"T01"	"A25"	7	25	2	2.81
"T01"	"A25"	7	25	3	2.82
"T01"	"A25"	7	25	4	2.86
"T01"	"A25"	7	25	5	2.9
"T01"	"A25"	7	25	6	2.9
"T02"	"A07"	7	32	1	2.84
"T02"	"A07"	7	32	2	2.89
"T02"	"A07"	7	32	3	2.92
"T02"	"A07"	7	32	4	2.93
"T02"	"A07"	7	32	5	2.95
"T02"	"A07"	7	32	6	NA
"T02"	"A09"	7	34	1	2.75
"T02"	"A09"	7	34	2	2.8
"T02"	"A09"	7	34	3	2.82
"T02"	"A09"	7	34	4	2.84
"T02"	"A09"	7	34	5	2.86
"T02"	"A09"	7	34	6	2.86
"T02"	"A11"	7	36	1	2.78
"T02"	"A11"	7	36	2	2.81
"T02"	"A11"	7	36	3	2.84
"T02"	"A11"	7	36	4	2.85
"T02"	"A11"	7	36	5	2.87
"T02"	"A11"	7	36	6	2.9
"T02"	"A15"	7	40	1	2.84
"T02"	"A15"	7	40	2	2.86
"T02"	"A15"	7	40	3	2.86
"T02"	"A15"	7	40	4	NA
"T02"	"A15"	7	40	5	NA
"T02"	"A15"	7	40	6	NA
"T02"	"A17"	7	42	1	2.83
"T02"	"A17"	7	42	2	2.88
"T02"	"A17"	7	42	3	2.89
"T02"	"A17"	7	42	4	2.92
"T02"	"A17"	7	42	5	2.93
"T02"	"A17"	7	42	6	2.93
"T02"	"A23"	7	48	1	2.8
"T02"	"A23"	7	48	2	2.86
"T02"	"A23"	7	48	3	2.89
"T02"	"A23"	7	48	4	2.92
"T02"	"A23"	7	48	5	2.93
"T02"	"A23"	7	48	6	2.95
"T02"	"A24"	7	49	1	2.86
"T02"	"A24"	7	49	2	2.89
"T02"	"A24"	7	49	3	2.92
"T02"	"A24"	7	49	4	2.96
"T02"	"A24"	7	49	5	2.96
"T02"	"A24"	7	49	6	2.99
"T02"	"A25"	7	50	1	2.75
"T02"	"A25"	7	50	2	2.8
"T02"	"A25"	7	50	3	2.83
"T02"	"A25"	7	50	4	2.85
"T02"	"A25"	7	50	5	2.86
"T02"	"A25"	7	50	6	2.88
"T03"	"A01"	7	51	1	2.91
"T03"	"A01"	7	51	2	3
"T03"	"A01"	7	51	3	3.02
"T03"	"A01"	7	51	4	3.03
"T03"	"A01"	7	51	5	NA
"T03"	"A01"	7	51	6	NA
"T03"	"A10"	7	60	1	2.81
"T03"	"A10"	7	60	2	2.89
"T03"	"A10"	7	60	3	2.87
"T03"	"A10"	7	60	4	2.93
"T03"	"A10"	7	60	5	2.93
"T03"	"A10"	7	60	6	2.94
"T03"	"A16"	7	66	1	2.95
"T03"	"A16"	7	66	2	3
"T03"	"A16"	7	66	3	3.03
"T03"	"A16"	7	66	4	3.03
"T03"	"A16"	7	66	5	3.06
"T03"	"A16"	7	66	6	3.08
"T03"	"A17"	7	67	1	2.79
"T03"	"A17"	7	67	2	2.83
"T03"	"A17"	7	67	3	2.86
"T03"	"A17"	7	67	4	2.87
"T03"	"A17"	7	67	5	2.87
"T03"	"A17"	7	67	6	2.93
"T03"	"A18"	7	68	1	2.98
"T03"	"A18"	7	68	2	3.03
"T03"	"A18"	7	68	3	3.06
"T03"	"A18"	7	68	4	3.09
"T03"	"A18"	7	68	5	3.09
"T03"	"A18"	7	68	6	3.09
"T03"	"A20"	7	70	1	2.76
"T03"	"A20"	7	70	2	2.82
"T03"	"A20"	7	70	3	2.83
"T03"	"A20"	7	70	4	2.85
"T03"	"A20"	7	70	5	2.86
"T03"	"A20"	7	70	6	2.88
"T03"	"A22"	7	72	1	2.76
"T03"	"A22"	7	72	2	2.82
"T03"	"A22"	7	72	3	2.85
"T03"	"A22"	7	72	4	2.87
"T03"	"A22"	7	72	5	2.9
"T03"	"A22"	7	72	6	2.9
"T03"	"A23"	7	73	1	2.76
"T03"	"A23"	7	73	2	2.78
"T03"	"A23"	7	73	3	2.77
"T03"	"A23"	7	73	4	2.79
"T03"	"A23"	7	73	5	2.79
"T03"	"A23"	7	73	6	2.79
"T03"	"A24"	7	74	1	2.8
"T03"	"A24"	7	74	2	2.85
"T03"	"A24"	7	74	3	2.87
"T03"	"A24"	7	74	4	2.87
"T03"	"A24"	7	74	5	2.89
"T03"	"A24"	7	74	6	2.92
"T04"	"A01"	7	76	1	2.85
"T04"	"A01"	7	76	2	2.88
"T04"	"A01"	7	76	3	2.93
"T04"	"A01"	7	76	4	2.98
"T04"	"A01"	7	76	5	3.01
"T04"	"A01"	7	76	6	3.01
"T04"	"A02"	7	77	1	2.82
"T04"	"A02"	7	77	2	2.88
"T04"	"A02"	7	77	3	2.94
"T04"	"A02"	7	77	4	2.96
"T04"	"A02"	7	77	5	2.99
"T04"	"A02"	7	77	6	3.03
"T04"	"A03"	7	78	1	2.8
"T04"	"A03"	7	78	2	2.86
"T04"	"A03"	7	78	3	2.9
"T04"	"A03"	7	78	4	2.9
"T04"	"A03"	7	78	5	2.93
"T04"	"A03"	7	78	6	2.95
"T04"	"A08"	7	83	1	2.84
"T04"	"A08"	7	83	2	2.91
"T04"	"A08"	7	83	3	2.95
"T04"	"A08"	7	83	4	2.96
"T04"	"A08"	7	83	5	3.03
"T04"	"A08"	7	83	6	3.03
"T04"	"A11"	7	86	1	2.93
"T04"	"A11"	7	86	2	2.98
"T04"	"A11"	7	86	3	3
"T04"	"A11"	7	86	4	3.04
"T04"	"A11"	7	86	5	3.04
"T04"	"A11"	7	86	6	3.1
"T04"	"A17"	7	92	1	2.75
"T04"	"A17"	7	92	2	2.81
"T04"	"A17"	7	92	3	2.81
"T04"	"A17"	7	92	4	2.84
"T04"	"A17"	7	92	5	2.84
"T04"	"A17"	7	92	6	NA
"T04"	"A18"	7	93	1	2.75
"T04"	"A18"	7	93	2	2.75
"T04"	"A18"	7	93	3	2.75
"T04"	"A18"	7	93	4	2.8
"T04"	"A18"	7	93	5	2.82
"T04"	"A18"	7	93	6	2.84
"T04"	"A20"	7	95	1	2.9
"T04"	"A20"	7	95	2	2.91
"T04"	"A20"	7	95	3	2.95
"T04"	"A20"	7	95	4	3
"T04"	"A20"	7	95	5	3
"T04"	"A20"	7	95	6	NA
"T04"	"A24"	7	99	1	2.95
"T04"	"A24"	7	99	2	3.05
"T04"	"A24"	7	99	3	3.14
"T04"	"A24"	7	99	4	3.14
"T04"	"A24"	7	99	5	3.18
"T04"	"A24"	7	99	6	3.19
"T04"	"A25"	7	100	1	2.76
"T04"	"A25"	7	100	2	2.81
"T04"	"A25"	7	100	3	2.85
"T04"	"A25"	7	100	4	2.85
"T04"	"A25"	7	100	5	2.9
"T04"	"A25"	7	100	6	NA
"T05"	"A01"	7	101	1	2.9
"T05"	"A01"	7	101	2	2.95
"T05"	"A01"	7	101	3	2.98
"T05"	"A01"	7	101	4	3.01
"T05"	"A01"	7	101	5	3.02
"T05"	"A01"	7	101	6	3.05
"T05"	"A11"	7	111	1	2.77
"T05"	"A11"	7	111	2	2.81
"T05"	"A11"	7	111	3	2.85
"T05"	"A11"	7	111	4	2.89
