"isle"	"site"	"block"	"plot"	"trt"	"ears"	"yield"	"N"	"P"	"K"
"Antigua"	"DBAN"	"B1"	1	"T111"	42	4.96	"1"	"1"	"1"
"Antigua"	"DBAN"	"B1"	2	"T000"	41	3.94	"0"	"0"	"0"
"Antigua"	"DBAN"	"B1"	3	"T311"	49	6.35	"3"	"1"	"1"
"Antigua"	"DBAN"	"B1"	4	"T202"	48	5.56	"2"	"0"	"2"
"Antigua"	"DBAN"	"B1"	5	"T111"	45	5.36	"1"	"1"	"1"
"Antigua"	"DBAN"	"B1"	6	"T220"	46	6.18	"2"	"2"	"0"
"Antigua"	"DBAN"	"B1"	7	"T113"	42	4.71	"1"	"1"	"3"
"Antigua"	"DBAN"	"B1"	8	"T131"	44	6.03	"1"	"3"	"1"
"Antigua"	"DBAN"	"B1"	9	"T022"	42	2.88	"0"	"2"	"2"
"Antigua"	"DBAN"	"B2"	10	"T222"	44	5.68	"2"	"2"	"2"
"Antigua"	"DBAN"	"B2"	11	"T311"	42	5.8	"3"	"1"	"1"
"Antigua"	"DBAN"	"B2"	12	"T020"	42	4.16	"0"	"2"	"0"
"Antigua"	"DBAN"	"B2"	13	"T200"	46	4.9	"2"	"0"	"0"
"Antigua"	"DBAN"	"B2"	14	"T111"	44	5.25	"1"	"1"	"1"
"Antigua"	"DBAN"	"B2"	15	"T131"	48	5.8	"1"	"3"	"1"
"Antigua"	"DBAN"	"B2"	16	"T002"	46	2.18	"0"	"0"	"2"
"Antigua"	"DBAN"	"B2"	17	"T111"	48	4.36	"1"	"1"	"1"
"Antigua"	"DBAN"	"B2"	18	"T113"	45	4.36	"1"	"1"	"3"
"Antigua"	"DBAN"	"B3"	19	"T131"	43	4.81	"1"	"3"	"1"
"Antigua"	"DBAN"	"B3"	20	"T111"	47	5.19	"1"	"1"	"1"
"Antigua"	"DBAN"	"B3"	21	"T311"	47	5.96	"3"	"1"	"1"
"Antigua"	"DBAN"	"B3"	22	"T000"	45	3.88	"0"	"0"	"0"
"Antigua"	"DBAN"	"B3"	23	"T220"	50	5.72	"2"	"2"	"0"
"Antigua"	"DBAN"	"B3"	24	"T022"	44	2.51	"0"	"2"	"2"
"Antigua"	"DBAN"	"B3"	25	"T111"	47	4.94	"1"	"1"	"1"
"Antigua"	"DBAN"	"B3"	26	"T113"	44	3.7	"1"	"1"	"3"
"Antigua"	"DBAN"	"B3"	27	"T202"	40	2.77	"2"	"0"	"2"
"Antigua"	"DBAN"	"B4"	28	"T111"	41	4.34	"1"	"1"	"1"
"Antigua"	"DBAN"	"B4"	29	"T200"	45	4.33	"2"	"0"	"0"
"Antigua"	"DBAN"	"B4"	30	"T111"	41	4.68	"1"	"1"	"1"
"Antigua"	"DBAN"	"B4"	31	"T113"	46	4.76	"1"	"1"	"3"
"Antigua"	"DBAN"	"B4"	32	"T131"	47	5.24	"1"	"3"	"1"
"Antigua"	"DBAN"	"B4"	33	"T020"	42	1.86	"0"	"2"	"0"
"Antigua"	"DBAN"	"B4"	34	"T222"	41	3.84	"2"	"2"	"2"
"Antigua"	"DBAN"	"B4"	35	"T002"	41	1.36	"0"	"0"	"2"
"Antigua"	"DBAN"	"B4"	36	"T311"	36	3.98	"3"	"1"	"1"
"Antigua"	"LFAN"	"B1"	1	"T111"	37	2.92	"1"	"1"	"1"
"Antigua"	"LFAN"	"B1"	2	"T022"	36	1.68	"0"	"2"	"2"
"Antigua"	"LFAN"	"B1"	3	"T113"	42	4.5	"1"	"1"	"3"
"Antigua"	"LFAN"	"B1"	4	"T220"	41	4.74	"2"	"2"	"0"
"Antigua"	"LFAN"	"B1"	5	"T202"	40	4.44	"2"	"0"	"2"
"Antigua"	"LFAN"	"B1"	6	"T311"	44	4.66	"3"	"1"	"1"
"Antigua"	"LFAN"	"B1"	7	"T111"	44	2.94	"1"	"1"	"1"
"Antigua"	"LFAN"	"B1"	8	"T000"	44	1.6	"0"	"0"	"0"
"Antigua"	"LFAN"	"B1"	9	"T131"	38	1.82	"1"	"3"	"1"
"Antigua"	"LFAN"	"B2"	10	"T113"	39	4.44	"1"	"1"	"3"
"Antigua"	"LFAN"	"B2"	11	"T222"	40	5.78	"2"	"2"	"2"
"Antigua"	"LFAN"	"B2"	12	"T311"	46	6.24	"3"	"1"	"1"
"Antigua"	"LFAN"	"B2"	13	"T111"	47	5.4	"1"	"1"	"1"
"Antigua"	"LFAN"	"B2"	14	"T200"	46	5.62	"2"	"0"	"0"
"Antigua"	"LFAN"	"B2"	15	"T002"	35	1.72	"0"	"0"	"2"
"Antigua"	"LFAN"	"B2"	16	"T131"	43	4.42	"1"	"3"	"1"
"Antigua"	"LFAN"	"B2"	17	"T111"	46	4.14	"1"	"1"	"1"
"Antigua"	"LFAN"	"B2"	18	"T020"	40	3.94	"0"	"2"	"0"
