gen	pop	yield
Hy2x0h7	2	1.176
Hy2x0h7	4	1.73
Hy2x0h7	6	1.98
Hy2x0h7	8	1.946
WF9xC103	2	1.356
WF9xC103	4	2.03
WF9xC103	6	1.878
WF9xC103	8	1.804
R61x187-2	2	1.298
R61x187-2	4	1.634
R61x187-2	6	1.458
R61x187-2	8	1.384
WF9x38-11	2	1.412
WF9x38-11	4	1.944
WF9x38-11	6	1.962
WF9x38-11	8	1.794
WF9xB14	2	1.346
WF9xB14	4	1.818
WF9xB14	6	1.832
WF9xB14	8	1.466
C103xB14	2	0.974
C103xB14	4	1.93
C103xB14	6	2.13
C103xB14	8	1.806
0h43xB37	2	1.062
0h43xB37	4	1.494
0h43xB37	6	1.536
0h43xB37	8	1.724
WF9xH60	2	1.3
WF9xH60	4	1.78
WF9xH60	6	2.008
WF9xH60	8	1.964
