"block"	"yield"	"date"	"gen"	"treat"	"seeds"	"spacing"
"B1"	264	"S01"	"Nehara"	"d"	"2"	6
"B1"	211	"S01"	"Nehara"	"f"	"2"	12
"B1"	296	"S01"	"Nehara"	"e"	"2"	9
"B1"	450	"S01"	"Bhasamanik"	"g"	"local"	6
"B1"	416	"S01"	"Bhasamanik"	"a"	"1"	6
"B1"	433	"S01"	"Bhasamanik"	"i"	"local"	12
"B1"	367.5	"S01"	"Bhasakalma"	"b"	"1"	9
"B1"	243	"S01"	"Bhasakalma"	"c"	"1"	12
"B1"	398.5	"S01"	"Bhasakalma"	"h"	"local"	9
"B1"	318.5	"S01"	"Bhasakalma"	"f"	"2"	12
"B1"	450.5	"S01"	"Bhasakalma"	"g"	"local"	6
"B1"	374	"S01"	"Bhasakalma"	"e"	"2"	9
"B1"	207	"S01"	"Nehara"	"i"	"local"	12
"B1"	163.5	"S01"	"Nehara"	"c"	"1"	12
"B1"	225.5	"S01"	"Nehara"	"a"	"1"	6
"B1"	413.5	"S01"	"Bhasamanik"	"d"	"2"	6
"B1"	439	"S01"	"Bhasamanik"	"h"	"local"	9
"B1"	389	"S01"	"Bhasamanik"	"b"	"1"	9
"B1"	373	"S01"	"Bhasakalma"	"i"	"local"	12
"B1"	425.5	"S01"	"Bhasakalma"	"d"	"2"	6
"B1"	413	"S01"	"Bhasakalma"	"a"	"1"	6
"B1"	457	"S01"	"Bhasamanik"	"e"	"2"	9
"B1"	394	"S01"	"Bhasamanik"	"f"	"2"	12
"B1"	351	"S01"	"Bhasamanik"	"c"	"1"	12
"B1"	380.5	"S01"	"Nehara"	"g"	"local"	6
"B1"	381.5	"S01"	"Nehara"	"h"	"local"	9
"B1"	318.5	"S01"	"Nehara"	"b"	"1"	9
"B1"	376	"J16"	"Nehara"	"a"	"1"	6
"B1"	329	"J16"	"Nehara"	"f"	"2"	12
"B1"	338	"J16"	"Nehara"	"b"	"1"	9
"B1"	405	"J16"	"Bhasamanik"	"g"	"local"	6
"B1"	418.5	"J16"	"Bhasamanik"	"e"	"2"	9
"B1"	394.5	"J16"	"Bhasamanik"	"i"	"local"	12
"B1"	393	"J16"	"Bhasakalma"	"c"	"1"	12
"B1"	406	"J16"	"Bhasakalma"	"h"	"local"	9
"B1"	406	"J16"	"Bhasakalma"	"d"	"2"	6
"B1"	388.5	"J16"	"Bhasakalma"	"a"	"1"	6
"B1"	365.5	"J16"	"Bhasakalma"	"i"	"local"	12
"B1"	401.5	"J16"	"Bhasakalma"	"g"	"local"	6
"B1"	333	"J16"	"Nehara"	"h"	"local"	9
"B1"	308	"J16"	"Nehara"	"e"	"2"	9
"B1"	306.5	"J16"	"Nehara"	"d"	"2"	6
"B1"	339	"J16"	"Bhasamanik"	"f"	"2"	12
"B1"	370.5	"J16"	"Bhasamanik"	"c"	"1"	12
"B1"	393	"J16"	"Bhasamanik"	"b"	"1"	9
"B1"	355	"J16"	"Bhasakalma"	"f"	"2"	12
"B1"	377	"J16"	"Bhasakalma"	"b"	"1"	9
"B1"	372.5	"J16"	"Bhasakalma"	"e"	"2"	9
"B1"	382	"J16"	"Bhasamanik"	"a"	"1"	6
"B1"	405	"J16"	"Bhasamanik"	"h"	"local"	9
"B1"	448	"J16"	"Bhasamanik"	"d"	"2"	6
"B1"	376	"J16"	"Nehara"	"g"	"local"	6
"B1"	327	"J16"	"Nehara"	"i"	"local"	12
"B1"	355.5	"J16"	"Nehara"	"c"	"1"	12
"B1"	381.5	"A01"	"Nehara"	"d"	"2"	6
"B1"	337.5	"A01"	"Nehara"	"h"	"local"	9
"B1"	344	"A01"	"Nehara"	"i"	"local"	12
"B1"	451	"A01"	"Bhasamanik"	"e"	"2"	9
"B1"	475	"A01"	"Bhasamanik"	"a"	"1"	6
"B1"	460.5	"A01"	"Bhasamanik"	"f"	"2"	12
"B1"	421	"A01"	"Bhasakalma"	"g"	"local"	6
"B1"	397.5	"A01"	"Bhasakalma"	"c"	"1"	12
"B1"	423.5	"A01"	"Bhasakalma"	"b"	"1"	9
