row	col	yield
1	1	85
2	1	87
3	1	88
4	1	100
5	1	76
6	1	76
7	1	78
8	1	94
9	1	79
10	1	74
11	1	92
12	1	61
13	1	76
14	1	63
15	1	56
16	1	79
17	1	82
18	1	62
19	1	63
20	1	70
21	1	85
22	1	90
23	1	83
24	1	85
1	2	67
2	2	61
3	2	78
4	2	81
5	2	72
6	2	82
7	2	86
8	2	84
9	2	67
10	2	84
11	2	66
12	2	65
13	2	67
14	2	59
15	2	65
16	2	61
17	2	58
18	2	63
19	2	75
20	2	81
21	2	75
22	2	80
23	2	89
24	2	69
1	3	49
2	3	79
3	3	70
4	3	76
5	3	86
6	3	77
7	3	68
8	3	71
9	3	60
10	3	72
11	3	65
12	3	50
13	3	60
14	3	60
15	3	57
16	3	57
17	3	64
18	3	60
19	3	56
20	3	76
21	3	77
22	3	66
23	3	74
24	3	63
1	4	73
2	4	72
3	4	92
4	4	79
5	4	78
6	4	70
7	4	77
8	4	79
9	4	63
10	4	66
11	4	52
12	4	51
13	4	72
14	4	67
15	4	59
16	4	63
17	4	65
18	4	45
19	4	77
20	4	84
21	4	67
22	4	81
23	4	79
24	4	62
1	5	79
2	5	89
3	5	101
4	5	85
5	5	100
6	5	88
7	5	86
8	5	90
9	5	77
10	5	78
11	5	58
12	5	86
13	5	91
14	5	69
15	5	72
16	5	70
17	5	77
18	5	62
19	5	96
20	5	66
21	5	83
22	5	67
23	5	87
24	5	82
1	6	68
2	6	79
3	6	71
4	6	77
5	6	62
6	6	74
7	6	83
8	6	75
9	6	72
10	6	70
11	6	73
12	6	83
13	6	79
14	6	85
15	6	69
16	6	80
17	6	62
18	6	77
19	6	65
20	6	64
21	6	78
22	6	81
23	6	71
24	6	94
1	7	54
2	7	48
3	7	50
4	7	45
5	7	52
6	7	51
7	7	54
8	7	44
9	7	43
10	7	55
11	7	51
12	7	87
13	7	65
14	7	48
15	7	44
16	7	52
17	7	44
18	7	54
19	7	60
20	7	59
21	7	69
22	7	65
23	7	56
24	7	53
1	8	74
2	8	78
3	8	95
4	8	88
5	8	80
6	8	85
7	8	88
8	8	67
9	8	68
10	8	66
11	8	50
12	8	75
13	8	63
14	8	51
15	8	46
16	8	45
17	8	39
18	8	48
19	8	58
20	8	62
21	8	57
22	8	52
23	8	52
24	8	37
1	9	64
2	9	63
3	9	69
4	9	71
5	9	78
6	9	58
7	9	61
8	9	65
9	9	72
10	9	76
11	9	36
12	9	95
13	9	91
14	9	69
15	9	90
16	9	82
17	9	68
18	9	55
19	9	73
20	9	72
21	9	75
22	9	67
23	9	64
24	9	55
1	10	73
2	10	60
3	10	76
4	10	82
5	10	87
6	10	65
7	10	72
8	10	76
9	10	70
10	10	81
11	10	81
12	10	118
13	10	102
14	10	80
15	10	96
16	10	105
17	10	62
18	10	55
19	10	72
20	10	75
21	10	97
22	10	84
23	10	91
24	10	87
1	11	61
2	11	59
3	11	64
4	11	59
5	11	68
6	11	56
7	11	72
8	11	65
9	11	54
10	11	52
11	11	42
12	11	60
13	11	77
14	11	58
15	11	54
16	11	58
17	11	39
18	11	54
19	11	53
20	11	46
21	11	55
22	11	58
23	11	67
24	11	61
1	12	81
2	12	82
3	12	75
4	12	86
5	12	79
6	12	74
7	12	84
8	12	70
9	12	74
10	12	57
11	12	78
12	12	88
13	12	97
14	12	87
15	12	84
16	12	74
17	12	65
18	12	55
19	12	88
20	12	80
21	12	77
22	12	77
23	12	74
24	12	69
