"northing"	"easting"	"resistivity"	"is.ns"	"track"
0.0180	0.0160	34.15	F	1
0.0178	0.0252	34.81	F	1
0.0176	0.0345	35.65	F	1
0.0174	0.0437	36.44	F	1
0.0171	0.0529	37.10	F	1
0.0169	0.0621	37.53	F	1
0.0167	0.0714	37.58	F	1
0.0165	0.0806	37.41	F	1
0.0163	0.0898	37.57	F	1
0.0161	0.0991	38.33	F	1
0.0159	0.1083	39.32	F	1
0.0156	0.1175	39.93	F	1
0.0154	0.1268	40.02	F	1
0.0152	0.1360	39.73	F	1
0.0150	0.1452	39.09	F	1
0.0148	0.1544	37.95	F	1
0.0146	0.1637	36.45	F	1
0.0144	0.1729	35.17	F	1
0.0142	0.1821	34.57	F	1
0.0139	0.1914	34.51	F	1
0.0137	0.2006	34.40	F	1
0.0135	0.2098	33.91	F	1
0.0133	0.2190	33.40	F	1
0.0131	0.2283	33.61	F	1
0.0129	0.2375	34.73	F	1
0.0127	0.2467	36.19	F	1
0.0124	0.2560	37.31	F	1
0.0122	0.2652	38.17	F	1
0.0120	0.2744	39.37	F	1
0.0118	0.2836	41.09	F	1
0.0116	0.2929	42.71	F	1
0.0114	0.3021	43.44	F	1
0.0112	0.3113	43.06	F	1
0.0110	0.3206	42.24	F	1
0.0108	0.3298	41.96	F	1
0.0105	0.3390	42.53	F	1
0.0103	0.3483	42.84	F	1
0.0101	0.3575	41.35	F	1
0.0099	0.3667	37.98	F	1
0.0097	0.3760	34.38	F	1
0.0095	0.3852	32.17	F	1
0.0093	0.3944	31.38	F	1
0.0090	0.4036	31.02	F	1
0.0088	0.4129	30.31	F	1
0.0086	0.4221	29.23	F	1
0.0084	0.4313	28.49	F	1
0.0082	0.4405	29.55	F	1
0.0080	0.4498	33.97	F	1
0.0078	0.4590	42.02	F	1
0.0076	0.4682	51.79	F	1
0.0073	0.4775	59.91	F	1
0.0071	0.4867	63.19	F	1
0.0069	0.4959	60.29	F	1
0.0067	0.5052	52.79	F	1
0.0065	0.5144	44.57	F	1
0.0063	0.5236	39.15	F	1
0.0061	0.5328	37.16	F	1
0.0058	0.5421	37.08	F	1
0.0056	0.5513	38.29	F	1
0.0054	0.5605	41.85	F	1
0.0052	0.5698	47.89	F	1
0.0050	0.5790	53.97	F	1
0.5080	0.3640	34.54	T	2
0.4991	0.3639	35.31	T	2
0.4903	0.3639	36.65	T	2
0.4814	0.3638	38.55	T	2
0.4725	0.3637	41.35	T	2
0.4636	0.3636	44.85	T	2
0.4548	0.3636	47.53	T	2
0.4459	0.3635	48.17	T	2
0.4370	0.3634	47.80	T	2
0.4281	0.3634	48.43	T	2
0.4193	0.3633	49.90	T	2
0.4104	0.3632	49.82	T	2
0.4015	0.3631	47.08	T	2
0.3926	0.3631	43.80	T	2
0.3838	0.3630	43.04	T	2
0.3749	0.3629	45.84	T	2
0.3660	0.3629	50.87	T	2
0.3571	0.3628	56.25	T	2
0.3483	0.3627	61.21	T	2
0.3394	0.3626	66.34	T	2
0.3305	0.3626	72.42	T	2
0.3216	0.3625	78.57	T	2
0.3128	0.3624	81.70	T	2
0.3039	0.3624	78.77	T	2
0.2950	0.3623	70.03	T	2
0.2861	0.3622	59.64	T	2
0.2773	0.3621	52.59	T	2
0.2684	0.3621	51.14	T	2
0.2595	0.3620	54.17	T	2
0.2506	0.3619	58.67	T	2
0.2418	0.3619	61.20	T	2
0.2329	0.3618	59.47	T	2
0.2240	0.3617	54.11	T	2
0.2151	0.3616	48.58	T	2
0.2063	0.3616	46.04	T	2
0.1974	0.3615	46.55	T	2
0.1885	0.3614	47.81	T	2
0.1796	0.3614	47.70	T	2
0.1708	0.3613	45.63	T	2
0.1619	0.3612	42.30	T	2
0.1530	0.3611	39.12	T	2
0.1441	0.3611	37.37	T	2
0.1353	0.3610	37.29	T	2
0.1264	0.3609	38.03	T	2
0.1175	0.3609	38.47	T	2
0.1086	0.3608	37.99	T	2
0.0998	0.3607	36.64	T	2
0.0909	0.3606	34.87	T	2
0.0820	0.3606	33.18	T	2
0.0731	0.3605	31.80	T	2
0.0643	0.3604	30.70	T	2
0.0554	0.3604	29.81	T	2
0.0465	0.3603	29.18	T	2
0.0376	0.3602	29.17	T	2
0.0288	0.3601	30.15	T	2
0.0199	0.3601	32.02	T	2
0.0110	0.3600	33.96	T	2
0.3270	0.5670	57.24	T	3
0.3180	0.5672	56.28	T	3
0.3090	0.5674	54.11	T	3
