loc	gen	yield
B01	G03	25.3
B01	G06	19.9
B01	G09	29.0
B01	G11	24.6
B02	G03	23.0
B02	G04	19.8
B02	G08	33.3
B02	G12	22.7
B03	G10	16.2
B03	G11	19.3
B03	G12	31.7
B03	G13	26.6
B04	G02	27.3
B04	G05	27.0
B04	G08	35.6
B04	G11	17.4
B05	G07	23.4
B05	G08	30.5
B05	G09	30.8
B05	G10	32.4
B06	G04	30.6
B06	G05	32.4
B06	G06	27.2
B06	G10	32.8
B07	G01	34.7
B07	G05	31.1
B07	G09	25.7
B07	G12	30.5
B08	G03	34.4
B08	G05	32.4
B08	G07	33.3
B08	G13	36.9
B09	G01	38.2
B09	G02	32.9
B09	G03	37.3
B09	G10	31.3
B10	G02	28.7
B10	G04	30.7
B10	G09	26.9
B10	G13	35.3
B11	G01	36.6
B11	G04	31.1
B11	G07	31.1
B11	G11	28.4
B12	G01	31.8
B12	G06	33.7
B12	G08	27.8
B12	G13	41.1
B13	G02	30.3
B13	G06	31.5
B13	G07	39.3
B13	G12	26.7
