gen	loc	yield
G01	L1	59.8
G02	L1	64.5
G03	L1	59.5
G04	L1	65.1
G05	L1	64.2
G06	L1	56.4
G07	L1	63.5
G08	L1	58.3
G09	L1	61.9
G10	L1	58.9
G11	L1	57.2
G12	L1	58
G13	L1	62
G14	L1	51.6
G15	L1	62.9
G16	L1	60.2
G17	L1	55.4
G18	L1	53.7
G19	L1	54.5
G20	L1	56.1
G01	L2	61
G02	L2	70.3
G03	L2	68.2
G04	L2	71.9
G05	L2	68.2
G06	L2	65.2
G07	L2	65.6
G08	L2	65.7
G09	L2	66.1
G10	L2	64.8
G11	L2	64.1
G12	L2	66.1
G13	L2	71.8
G14	L2	62.5
G15	L2	64.8
G16	L2	63.2
G17	L2	63.3
G18	L2	68.1
G19	L2	67.3
G20	L2	59.4
G01	L3	75.6
G02	L3	81.5
G03	L3	79.9
G04	L3	82.1
G05	L3	81.2
G06	L3	79.6
G07	L3	74.3
G08	L3	72.7
G09	L3	83.4
G10	L3	80.9
G11	L3	81.2
G12	L3	85.5
G13	L3	69.1
G14	L3	53.7
G15	L3	67.2
G16	L3	73.1
G17	L3	66.9
G18	L3	71.5
G19	L3	76.7
G20	L3	76.3
G01	L4	58.8
G02	L4	60.4
G03	L4	60
G04	L4	58.5
G05	L4	60.1
G06	L4	58
G07	L4	60.7
G08	L4	60
G09	L4	62.9
G10	L4	67.7
G11	L4	56.2
G12	L4	62.2
G13	L4	62.8
G14	L4	55.7
G15	L4	61.2
G16	L4	60.1
G17	L4	58.3
G18	L4	64.1
G19	L4	60.2
G20	L4	62.5
G01	L5	64.4
G02	L5	73.2
G03	L5	72.3
G04	L5	71.9
G05	L5	74.2
G06	L5	68
G07	L5	71.6
G08	L5	74.6
G09	L5	74.5
G10	L5	71.5
G11	L5	75.4
G12	L5	74.5
G13	L5	71.4
G14	L5	59.6
G15	L5	64.5
G16	L5	74.9
G17	L5	73.8
G18	L5	76.7
G19	L5	82.2
G20	L5	70.4
G01	L6	62.7
G02	L6	78.3
G03	L6	76.9
G04	L6	83.2
G05	L6	85.4
G06	L6	80.6
G07	L6	73.2
G08	L6	73.7
G09	L6	75.6
G10	L6	72
G11	L6	72.4
G12	L6	82
G13	L6	77
G14	L6	71.8
G15	L6	77.9
G16	L6	86
G17	L6	76.9
G18	L6	90.2
G19	L6	81
G20	L6	85.9
G01	L7	53.4
G02	L7	70.8
G03	L7	71.5
G04	L7	71.5
G05	L7	78.4
G06	L7	73
G07	L7	69.4
G08	L7	66.1
G09	L7	74.4
G10	L7	70
G11	L7	65.7
G12	L7	70
G13	L7	75.6
G14	L7	67.3
G15	L7	65.5
G16	L7	71.7
G17	L7	65
G18	L7	72.5
G19	L7	73.1
G20	L7	65.4
