treatment	rep	weight1	feed	weight2
T1	R1	30	674	195
T1	R2	21	628	177
T1	R3	21	661	180
T1	R4	33	694	200
T1	R5	27	713	197
T1	R6	24	585	170
T1	R7	20	575	150
T1	R8	29	638	180
T1	R9	28	632	192
T1	R10	26	637	184
T2	R1	26	699	194
T2	R2	24	626	204
T2	R3	20	668	200
T2	R4	35	668	201
T2	R5	25	707	195
T2	R6	26	651	187
T2	R7	20	672	191
T2	R8	31	660	200
T2	R9	29	769	208
T2	R10	27	666	218
T3	R1	39	708	203
T3	R2	34	614	190
T3	R3	32	733	221
T3	R4	35	663	173
T3	R5	32	607	185
T3	R6	35	745	225
T3	R7	30	637	190
T3	R8	29	662	201
T3	R9	32	609	174
T3	R10	25	596	180
T4	R1	41	716	226
T4	R2	35	769	230
T4	R3	32	733	218
T4	R4	34	742	235
T4	R5	32	624	197
T4	R6	35	710	210
T4	R7	30	742	217
T4	R8	28	648	205
T4	R9	34	628	200
T4	R10	26	601	191
T5	R1	41	831	242
T5	R2	36	754	225
T5	R3	32	722	205
T5	R4	35	728	228
T5	R5	32	646	196
T5	R6	36	678	196
T5	R7	30	763	230
T5	R8	28	625	170
T5	R9	32	710	216
T5	R10	26	651	175
