"env"	"rep"	"gen"	"yield"
"E1"	"R1"	"G01"	7.9107
"E1"	"R1"	"G02"	6.4057
"E1"	"R1"	"G03"	5.8616
"E1"	"R1"	"G04"	7.7662
"E1"	"R1"	"G05"	3.9583
"E1"	"R1"	"G06"	7.7024
"E1"	"R1"	"G07"	6.6607
"E1"	"R1"	"G08"	5.6999
"E1"	"R1"	"G09"	6.2612
"E1"	"R1"	"G10"	6.3078
"E1"	"R1"	"G11"	8.5357
"E1"	"R1"	"G12"	5.6362
"E1"	"R1"	"G13"	4.9474
"E1"	"R1"	"G14"	5.0112
"E1"	"R1"	"G15"	6.7012
"E1"	"R1"	"G16"	5.6828
"E1"	"R1"	"G17"	6.7245
"E1"	"R1"	"G18"	5.5553
"E1"	"R1"	"G19"	5.0749
"E1"	"R1"	"G20"	6.8862
"E1"	"R1"	"G21"	8.0553
"E1"	"R1"	"G22"	4.1778
"E1"	"R1"	"G23"	7.8641
"E1"	"R1"	"G24"	7.847
"E1"	"R1"	"G25"	6.1166
"E1"	"R1"	"G26"	5.4916
"E1"	"R1"	"G27"	7.1753
"E1"	"R1"	"G28"	5.3937
"E1"	"R1"	"G29"	4.5774
"E1"	"R1"	"G30"	6.1507
"E1"	"R1"	"G31"	6.597
"E1"	"R1"	"G32"	6.0528
"E1"	"R1"	"G33"	7.0137
"E1"	"R1"	"G34"	6.1803
"E1"	"R1"	"G35"	6.8862
"E1"	"R1"	"G36"	6.3542
"E1"	"R1"	"G37"	6.4524
"E1"	"R1"	"G38"	5.347
"E1"	"R1"	"G39"	7.3666
"E1"	"R1"	"G40"	4.9878
"E1"	"R1"	"G41"	5.4916
"E1"	"R1"	"G42"	6.4524
"E1"	"R1"	"G43"	4.4328
"E1"	"R1"	"G44"	4.5137
"E1"	"R1"	"G45"	5.3641
"E1"	"R1"	"G46"	7.0774
"E1"	"R1"	"G47"	5.5895
"E1"	"R1"	"G48"	5.3003
"E1"	"R1"	"G49"	6.8053
"E1"	"R1"	"G50"	5.0112
"E1"	"R1"	"G51"	6.597
"E1"	"R1"	"G52"	7.3666
"E1"	"R1"	"G53"	5.4916
"E1"	"R1"	"G54"	7.847
"E1"	"R1"	"G55"	6.2441
"E1"	"R2"	"G01"	9.0332
"E1"	"R2"	"G02"	6.597
"E1"	"R2"	"G03"	6.2612
"E1"	"R2"	"G04"	8.6166
"E1"	"R2"	"G05"	5.625
"E1"	"R2"	"G06"	6.3078
"E1"	"R2"	"G07"	5.717
"E1"	"R2"	"G08"	4.3053
"E1"	"R2"	"G09"	6.3249
"E1"	"R2"	"G10"	5.3641
"E1"	"R2"	"G11"	9.9303
"E1"	"R2"	"G12"	6.9499
"E1"	"R2"	"G13"	5.5553
"E1"	"R2"	"G14"	7.4474
"E1"	"R2"	"G15"	6.4057
"E1"	"R2"	"G16"	6.1166
"E1"	"R2"	"G17"	5.6828
"E1"	"R2"	"G18"	6.3249
"E1"	"R2"	"G19"	6.2782
"E1"	"R2"	"G20"	5.8912
"E1"	"R2"	"G21"	8.8249
"E1"	"R2"	"G22"	4.7857
"E1"	"R2"	"G23"	5.9424
"E1"	"R2"	"G24"	8.3912
"E1"	"R2"	"G25"	5.3874
"E1"	"R2"	"G26"	6.1974
"E1"	"R2"	"G27"	7.8003
"E1"	"R2"	"G28"	6.5162
"E1"	"R2"	"G29"	4.6987
"E1"	"R2"	"G30"	6.4524
"E1"	"R2"	"G31"	7.0137
"E1"	"R2"	"G32"	6.5332
"E1"	"R2"	"G33"	4.1778
"E1"	"R2"	"G34"	5.9253
"E1"	"R2"	"G35"	5.8616
"E1"	"R2"	"G36"	8.5417
"E1"	"R2"	"G37"	5.0578
"E1"	"R2"	"G38"	6.9499
"E1"	"R2"	"G39"	6.1633
"E1"	"R2"	"G40"	5.4278
"E1"	"R2"	"G41"	4.8837
"E1"	"R2"	"G42"	4.7049
"E1"	"R2"	"G43"	5.0749
"E1"	"R2"	"G44"	5.972
"E1"	"R2"	"G45"	5.972
"E1"	"R2"	"G46"	5.2195
"E1"	"R2"	"G47"	4.5307
"E1"	"R2"	"G48"	5.5087
"E1"	"R2"	"G49"	7.1412
"E1"	"R2"	"G50"	6.1166
"E1"	"R2"	"G51"	6.5162
"E1"	"R2"	"G52"	6.597
"E1"	"R2"	"G53"	4.9474
"E1"	"R2"	"G54"	5.7807
"E1"	"R2"	"G55"	6.0357
"E1"	"R3"	"G01"	5.1557
"E1"	"R3"	"G02"	6.2612
"E1"	"R3"	"G03"	6.4524
"E1"	"R3"	"G04"	8.3678
"E1"	"R3"	"G05"	2.7083
"E1"	"R3"	"G06"	6.5566
"E1"	"R3"	"G07"	6.0357
"E1"	"R3"	"G08"	6.3249
"E1"	"R3"	"G09"	6.3078
"E1"	"R3"	"G10"	6.3078
"E1"	"R3"	"G11"	7.7662
"E1"	"R3"	"G12"	7.0945
"E1"	"R3"	"G13"	6.597
"E1"	"R3"	"G14"	4.9941
"E1"	"R3"	"G15"	7.0945
"E1"	"R3"	"G16"	6.6141
"E1"	"R3"	"G17"	7.222
"E1"	"R3"	"G18"	8.1999
"E1"	"R3"	"G19"	6.0528
"E1"	"R3"	"G20"	7.0307
"E1"	"R3"	"G21"	6.2612
"E1"	"R3"	"G22"	4.4903
"E1"	"R3"	"G23"	6.6778
"E1"	"R3"	"G24"	6.9499
"E1"	"R3"	"G25"	5.2832
"E1"	"R3"	"G26"	6.1803
"E1"	"R3"	"G27"	7.9107
"E1"	"R3"	"G28"	5.8445
"E1"	"R3"	"G29"	4.7857
"E1"	"R3"	"G30"	5.2662
"E1"	"R3"	"G31"	4.5603
"E1"	"R3"	"G32"	5.5087
"E1"	"R3"	"G33"	4.8028
"E1"	"R3"	"G34"	7.3028
"E1"	"R3"	"G35"	6.7757
"E1"	"R3"	"G36"	7.2917
"E1"	"R3"	"G37"	5.6828
"E1"	"R3"	"G38"	5.2832
"E1"	"R3"	"G39"	6.8691
"E1"	"R3"	"G40"	5.5257
"E1"	"R3"	"G41"	6.1166
"E1"	"R3"	"G42"	7.3666
"E1"	"R3"	"G43"	5.8616
"E1"	"R3"	"G44"	4.5074
"E1"	"R3"	"G45"	6.3078
"E1"	"R3"	"G46"	7.4303
"E1"	"R3"	"G47"	5.6532
"E1"	"R3"	"G48"	6.3249
"E1"	"R3"	"G49"	6.2037
"E1"	"R3"	"G50"	6.597
"E1"	"R3"	"G51"	7.0307
"E1"	"R3"	"G52"	7.0774
"E1"	"R3"	"G53"	5.2195
"E1"	"R3"	"G54"	6.4524
"E1"	"R3"	"G55"	5.0578
"E2"	"R4"	"G01"	5.1983
"E2"	"R4"	"G02"	5.1545
"E2"	"R4"	"G03"	4.5321
