"row"	"col"	"yield"
1	1	83.4
2	1	88.43
3	1	111.86
4	1	62.83
5	1	67.53
6	1	77.93
7	1	92.68
8	1	106.3
9	1	75.78
10	1	80.5
11	1	45.53
12	1	96.48
13	1	141.2
14	1	72.87
15	1	107.36
16	1	69.25
17	1	99.1
18	1	78.53
19	1	93.85
20	1	77.13
21	1	73.43
22	1	87.16
23	1	67.2
24	1	105.3
25	1	59.53
26	1	53
27	1	120.78
28	1	101.58
29	1	118.03
30	1	104.8
31	1	72.9
32	1	135.83
33	1	52.53
34	1	108.93
35	1	97.25
36	1	93.23
37	1	78.78
38	1	113.36
39	1	86.63
40	1	87.68
41	1	62.43
42	1	105.56
43	1	119.96
44	1	68.26
45	1	57.18
46	1	61.36
47	1	170.4
48	1	80.13
1	2	79.05
2	2	103.98
3	2	76.48
4	2	74.43
5	2	80.23
6	2	56.87
7	2	112.28
8	2	60.85
9	2	81.81
10	2	55.67
11	2	102.73
12	2	107.75
13	2	95.13
14	2	86.27
15	2	69.55
16	2	90.85
17	2	108.58
18	2	112.38
19	2	71.33
20	2	64.46
21	2	67.4
22	2	60.95
23	2	91.5
24	2	60.16
25	2	58.7
26	2	100.3
27	2	52.63
28	2	83.3
29	2	41.5
30	2	56.7
31	2	51.53
32	2	114.93
33	2	71.9
34	2	54.05
35	2	102.85
36	2	114.78
37	2	75.25
38	2	44.08
39	2	94.93
40	2	79.46
41	2	98.66
42	2	70.73
43	2	66.03
44	2	59.33
45	2	60.93
46	2	52.78
47	2	259.96
48	2	226.34
1	3	124.96
2	3	74.88
3	3	118.06
4	3	67.51
5	3	63.98
6	3	86.68
7	3	89.58
8	3	100
9	3	77.13
10	3	94.23
11	3	77.38
12	3	100.3
13	3	93.58
14	3	86.11
15	3	75.66
16	3	126.4
17	3	79.23
18	3	86.93
19	3	86.01
20	3	117.66
21	3	107.43
22	3	108.61
23	3	96.23
24	3	111.69
25	3	101.26
26	3	112.63
27	3	99.53
28	3	76.2
29	3	110.68
30	3	62.68
31	3	126.33
32	3	108.6
33	3	87.81
34	3	121.68
35	3	59.5
36	3	51.53
37	3	107.88
38	3	26.19
39	3	62.56
40	3	88.79
41	3	54.33
42	3	89.36
43	3	59.41
44	3	104.43
45	3	59.78
46	3	67.56
47	3	83.56
48	3	161.53
1	4	66.3
2	4	124.56
3	4	73.29
4	4	62.36
5	4	61
6	4	73.96
7	4	76.03
8	4	78.9
9	4	58.02
10	4	98.9
11	4	71.13
12	4	70.13
13	4	61.93
14	4	78.28
15	4	81.2
16	4	74.6
17	4	61.76
18	4	85.73
19	4	74.78
20	4	88.3
21	4	63.28
22	4	81.93
23	4	61.48
24	4	78.55
25	4	72.8
26	4	79.8
27	4	70.4
28	4	89.43
29	4	77.9
30	4	106.46
31	4	61.8
32	4	70.48
33	4	80.63
34	4	60.67
35	4	66.07
36	4	101.83
37	4	62.53
38	4	96.06
39	4	71.81
40	4	103.16
