"row"	"col"	"grain"	"straw"
1	1	67.2	136.8
1	10	63.3	111.7
1	11	42.8	83.2
1	12	60.2	101.8
1	13	71.4	134.6
1	14	51.8	85.2
1	15	60.5	113.5
1	16	56.2	115.8
1	17	75.4	142.6
1	18	59.6	110.4
1	19	58.5	105.5
1	2	59	122
1	20	64.7	123.3
1	21	64.1	106.9
1	22	59	112
1	23	45.7	88.3
1	24	36.2	72.8
1	25	27.5	54.5
1	26	25.8	54.2
1	27	29.4	67.6
1	28	40.5	82.5
1	29	47.7	90.3
1	3	67.2	124.8
1	30	37.6	69.4
1	31	35.6	69.4
1	4	53.5	105.5
1	5	50.7	94.3
1	6	78.5	170.5
1	7	42.4	87.6
1	8	70	114
10	1	34.8	91.2
10	10	23	57
10	11	45.7	92.3
10	12	28.4	63.6
10	13	56.3	113.7
10	14	35.1	68.9
10	15	28.3	35.7
10	16	34.3	85.7
10	17	27	64
10	18	42	91
10	19	11.6	33.4
10	2	34.4	78.6
10	20	15.5	40.5
10	21	26.2	63.8
10	22	22.1	56.9
10	23	34.6	74.4
10	24	48.6	99.4
10	25	34	75
10	26	56	121
10	27	35.5	87.5
10	28	32.9	84.1
10	29	35.2	85.8
10	3	40.2	77.8
10	30	81.1	160.9
10	31	47.3	97.7
10	4	60.5	123.5
10	5	53.7	100.3
10	6	30.6	71.4
10	7	45.7	94.3
10	8	55.5	105.5
10	9	49.5	103.5
100	1	43	82
100	10	30.9	72.1
100	11	46	86
100	12	32.8	58.2
100	13	57.6	107.4
100	14	40.5	84.5
100	15	27.8	79.2
100	16	52.5	105.5
100	17	49.7	98.3
100	18	25.4	64.6
100	19	19.1	41.9
100	2	29.8	69.2
100	20	43.6	78.4
100	26	52.3	102.7
100	27	48.4	98.6
100	28	30.6	60.8
100	29	37.7	71.3
100	3	33.8	76.2
100	30	49.6	88.4
100	31	49.7	97.3
100	4	20.7	46.3
100	5	37.5	85.5
100	6	56.7	102.3
100	7	40.2	80.8
100	8	21.1	58.9
100	9	32.8	72.2
11	1	47.3	100.7
11	10	43.5	88.5
11	11	15.5	41.5
11	12	33.7	60.3
11	13	37.8	79.2
11	14	28.4	61.6
11	15	23.5	49.5
11	16	32.9	85.1
11	17	28.3	67.7
11	18	56.7	123.3
11	19	47.7	92.3
11	2	35.8	79.2
11	20	45.8	97.2
