"row"	"col"	"yield"
1	1	471
2	1	138
3	1	273
4	1	488
5	1	427
6	1	327
7	1	261
8	1	379
9	1	408
10	1	123
11	1	378
12	1	321
13	1	358
14	1	286
15	1	310
16	1	456
17	1	349
18	1	320
19	1	332
20	1	322
21	1	377
22	1	138
23	1	273
24	1	427
1	2	360
2	2	184
3	2	486
4	2	312
5	2	460
6	2	310
7	2	383
8	2	450
9	2	538
10	2	217
11	2	341
12	2	369
13	2	350
14	2	289
15	2	475
16	2	403
17	2	399
18	2	271
19	2	291
20	2	251
21	2	352
22	2	257
23	2	431
24	2	451
1	3	252
2	3	356
3	3	278
4	3	423
5	3	396
6	3	237
7	3	339
8	3	416
9	3	685
10	3	240
11	3	346
12	3	430
13	3	473
14	3	203
15	3	429
16	3	396
17	3	224
18	3	195
19	3	348
20	3	259
21	3	454
22	3	204
23	3	243
24	3	310
1	4	378
2	4	462
3	4	536
4	4	260
5	4	404
6	4	175
7	4	287
8	4	295
9	4	358
10	4	302
11	4	362
12	4	270
13	4	536
14	4	354
15	4	482
16	4	393
17	4	447
18	4	464
19	4	368
20	4	454
21	4	441
22	4	371
23	4	179
24	4	427
1	5	164
2	5	447
3	5	326
4	5	286
5	5	460
6	5	341
7	5	346
8	5	416
9	5	468
10	5	127
11	5	450
12	5	317
13	5	328
14	5	197
15	5	327
16	5	532
17	5	538
18	5	363
19	5	266
20	5	367
21	5	383
22	5	317
23	5	457
24	5	328
1	6	420
2	6	277
3	6	390
4	6	531
5	6	406
6	6	323
7	6	207
8	6	425
9	6	478
10	6	286
11	6	353
12	6	301
13	6	153
14	6	332
15	6	262
16	6	286
17	6	339
18	6	410
19	6	431
20	6	306
21	6	361
22	6	296
23	6	412
24	6	482
1	7	347
2	7	425
3	7	333
4	7	421
5	7	556
6	7	432
7	7	339
8	7	430
9	7	425
10	7	168
11	7	443
12	7	436
13	7	405
14	7	317
15	7	444
16	7	431
17	7	331
18	7	378
19	7	370
20	7	408
21	7	441
22	7	386
23	7	589
24	7	736
1	8	404
2	8	166
3	8	369
4	8	460
5	8	491
6	8	347
7	8	308
8	8	391
9	8	471
10	8	322
11	8	411
12	8	397
13	8	462
14	8	360
15	8	470
16	8	242
17	8	338
18	8	418
19	8	540
20	8	306
21	8	452
22	8	232
23	8	483
24	8	646
1	9	232
2	9	460
3	9	208
4	9	271
5	9	462
6	9	262
7	9	444
8	9	381
9	9	478
10	9	436
11	9	375
12	9	408
13	9	425
14	9	359
15	9	335
16	9	362
17	9	368
18	9	403
19	9	409
20	9	346
21	9	476
22	9	373
23	9	588
24	9	443
1	10	422
2	10	528
3	10	398
4	10	550
5	10	307
6	10	561
7	10	456
8	10	489
9	10	484
10	10	286
11	10	353
12	10	549
13	10	369
14	10	440
15	10	552
16	10	517
17	10	457
18	10	346
19	10	491
20	10	473
21	10	417
22	10	403
23	10	569
24	10	532
1	11	408
2	11	368
3	11	328
4	11	265
5	11	583
6	11	410
7	11	324
8	11	348
9	11	342
10	11	460
11	11	310
12	11	376
13	11	298
14	11	464
15	11	386
16	11	475
17	11	287
18	11	503
19	11	414
20	11	417
21	11	417
22	11	407
23	11	387
24	11	465
1	12	302
2	12	341
3	12	73
4	12	342
5	12	289
6	12	244
7	12	287
8	12	132
9	12	177
10	12	191
11	12	222
12	12	259
13	12	230
14	12	211
15	12	240
16	12	242
17	12	474
18	12	388
19	12	398
20	12	431
21	12	296
22	12	248
23	12	422
24	12	363
1	13	312
2	13	317
3	13	489
4	13	389
5	13	443
6	13	193
7	13	294
8	13	340
9	13	362
10	13	305
11	13	286
12	13	376
13	13	417
14	13	286
15	13	361
16	13	312
17	13	421
18	13	351
19	13	272
20	13	403
21	13	430
22	13	294
23	13	435
24	13	316
1	14	357
2	14	403
3	14	467
4	14	516
5	14	434
6	14	304
7	14	289
8	14	356
9	14	332
10	14	297
11	14	200
12	14	325
13	14	346
14	14	216
15	14	299
16	14	313
17	14	311
18	14	302
19	14	385
20	14	327
21	14	337
22	14	358
23	14	350
24	14	328
1	15	386
2	15	192
3	15	26
4	15	291
5	15	280
6	15	299
7	15	266
8	15	268
9	15	224
10	15	302
11	15	260
12	15	357
13	15	334
14	15	418
15	15	299
16	15	328
17	15	336
18	15	344
19	15	262
20	15	327
21	15	370
22	15	264
23	15	357
24	15	392
1	16	310
2	16	235
3	16	94
4	16	291
5	16	277
6	16	283
7	16	276
8	16	132
9	16	326
10	16	300
11	16	365
12	16	420
13	16	445
14	16	341
15	16	376
16	16	359
17	16	192
18	16	377
19	16	308
20	16	377
21	16	537
22	16	427
23	16	345
24	16	431
