gen	loc	strength
G01	L1	266
G02	L1	359
G03	L1	321.7
G04	L1	321.7
G05	L1	310.1
G06	L1	193
G07	L1	253.2
G08	L1	349.2
G09	L1	367.1
G10	L1	376.7
G11	L1	381.3
G12	L1	397.3
G13	L1	288.8
G14	L1	360
G15	L1	385.6
G16	L1	425.5
G17	L1	374.2
G18	L1	372.3
G19	L1	305.9
G20	L1	306.8
G21	L1	419.3
G01	L2	420.7
G02	L2	431.8
G03	L2	399.4
G04	L2	469.5
G05	L2	434.4
G06	L2	393.5
G07	L2	485.2
G08	L2	443.3
G09	L2	385.9
G10	L2	416.5
G11	L2	492
G12	L2	458.8
G13	L2	335.9
G14	L2	294.6
G15	L2	333.8
G16	L2	285
G17	L2	349.3
G18	L2	319.9
G19	L2	314.3
G20	L2	294.2
G21	L2	393.5
G01	L3	337.5
G02	L3	385.6
G03	L3	365
G04	L3	351.2
G05	L3	426.8
G06	L3	413.3
G07	L3	383.8
G08	L3	378.7
G09	L3	456.7
G10	L3	475
G11	L3	389.7
G12	L3	337.5
G13	L3	331.4
G14	L3	310
G15	L3	349.9
G16	L3	330.6
G17	L3	409.7
G18	L3	356.5
G19	L3	416.8
G20	L3	371.9
G21	L3	389.7
G01	L4	361.2
G02	L4	384.4
G03	L4	288.9
G04	L4	318.9
G05	L4	295
G06	L4	319.5
G07	L4	233
G08	L4	179
G09	L4	503
G10	L4	413.7
G11	L4	385.2
G12	L4	434.1
G13	L4	358.5
G14	L4	276.3
G15	L4	313.6
G16	L4	360.1
G17	L4	373.4
G18	L4	336.8
G19	L4	413.4
G20	L4	406.6
G21	L4	289.7
G01	L5	398.4
G02	L5	391.8
G03	L5	312
G04	L5	276
G05	L5	380.8
G06	L5	345.2
G07	L5	346.4
G08	L5	425
G09	L5	428.9
G10	L5	439.2
G11	L5	484.8
G12	L5	405
G13	L5	365.2
G14	L5	385.1
G15	L5	408.4
G16	L5	438.3
G17	L5	385.1
G18	L5	477
G19	L5	484.8
G20	L5	431.6
G21	L5	448.2
G01	L6	406
G02	L6	357.6
G03	L6	331.4
G04	L6	392.8
G05	L6	350.2
G06	L6	342.8
G07	L6	310
G08	L6	272
G09	L6	347.2
G10	L6	323.9
G11	L6	479.3
G12	L6	489.4
G13	L6	353.3
G14	L6	403.3
G15	L6	417
G16	L6	472.5
G17	L6	536
G18	L6	451.2
G19	L6	541
G20	L6	458.3
G21	L6	375
G01	L7	780
G02	L7	479.4
G03	L7	552.2
G04	L7	472.3
G05	L7	643.1
G06	L7	494.9
G07	L7	458.1
G08	L7	672
G09	L7	556.7
G10	L7	562.5
G11	L7	689
G12	L7	562.5
G13	L7	605.9
G14	L7	636.5
G15	L7	584.2
G16	L7	618.6
G17	L7	615.6
G18	L7	602.3
G19	L7	642.2
G20	L7	694
G21	L7	694
