"id"	"project_name"	"gen_A"	"gen_B"	"gen_C"	"start"	"end"	"yield_pos"	"yield_neg"	"lon"	"lat"
10	"21AIP"	"Izihirwe"	"Kirundo"	"Jyambere"	"2020-09-24"	"2021-02-09"	"C"	"A"	29.6292391412244	-1.91791675155941
15	"21AIP"	"Jyambere"	"Cruza"	"Kirundo"	"2020-09-28"	"2021-02-02"	"A"	"B"	29.6195741424875	-1.9183306470614
16	"21AIP"	"Gisubizo"	"Jyambere"	"Seka"	"2020-09-28"	"2021-02-09"	"B"	"C"	29.6153339278405	-1.91905992321875
17	"21AIP"	"Ndeze"	"Ndamira"	"Nkunganire"	"2020-09-28"	"2021-02-09"	"A"	"C"	29.6170098127565	-1.91886633218272
19	"21AIP"	"Kazeneza"	"Izihirwe"	"Nkunganire"	"2020-09-28"	"2021-02-08"	"A"	"C"	29.61560810699	-1.9188533102217
21	"21AIP"	"Izihirwe"	"Kazeneza"	"Ndamira"	"2020-09-23"	"2021-02-09"	"B"	"A"	29.8460912911205	-2.32966665959167
24	"21AIP"	"Twihaze"	"Gisubizo"	"Kazeneza"	"2020-09-23"	"2021-02-09"	"A"	"B"	29.8472505839062	-2.32639364530053
27	"21AIP"	"Kazeneza"	"Seka"	"Jyambere"	"2020-09-23"	"2021-02-03"	"B"	"C"	29.8515870840175	-2.31574155071626
4	"21AIP"	"Ndeze"	"Seka"	"Cruza"	"2020-09-24"	"2021-02-09"	"C"	"A"	29.6291558208568	-1.91790596186349
41	"21AIP"	"Izihirwe"	"Nkunganire"	"Kirundo"	"2020-09-23"	"2021-02-10"	"C"	"A"	29.79120372	-2.48662532
43	"21AIP"	"Seka"	"Kazeneza"	"Ndamira"	"2020-09-23"	"2021-01-29"	"B"	"A"	29.80759512	-2.46362273
44	"21AIP"	"Gisubizo"	"Cruza"	"Twihaze"	"2020-09-23"	"2021-02-03"	"A"	"C"	29.81278074	-2.47415771
45	"21AIP"	"Kirundo"	"Izihirwe"	"Cruza"	"2020-09-23"	"2021-02-03"	"A"	"B"	29.81485226	-2.47340649
46	"21AIP"	"Twihaze"	"Jyambere"	"Seka"	"2020-09-23"	"2021-02-05"	"C"	"A"	29.80540827	-2.47452253
47	"21AIP"	"Gisubizo"	"Ndeze"	"Kazeneza"	"2020-09-23"	"2021-02-05"	"C"	"A"	29.80539644	-2.47450298
51	"21AIP"	"Kazeneza"	"Cruza"	"Nkunganire"	"2020-09-28"	"2021-02-11"	"A"	"C"	29.75230581	-2.55383235
52	"21AIP"	"Nkunganire"	"Twihaze"	"Izihirwe"	"2020-09-28"	"2021-02-11"	"C"	"B"	29.75906688	-2.55329992
53	"21AIP"	"Jyambere"	"Kirundo"	"Ndeze"	"2020-09-28"	"2021-02-11"	"B"	"A"	29.75794823	-2.56161075
54	"21AIP"	"Ndamira"	"Cruza"	"Kazeneza"	"2020-09-28"	"2021-02-11"	"C"	"A"	29.75795485	-2.56161596
55	"21AIP"	"Seka"	"Nkunganire"	"Gisubizo"	"2020-09-28"	"2021-02-11"	"A"	"B"	29.75233251	-2.55382807
56	"21AIP"	"Kazeneza"	"Kirundo"	"Twihaze"	"2020-09-28"	"2021-02-15"	"B"	"C"	29.75228804	-2.55384492
