animal	iron	infect	weight	day
A01	NoIron	NonInfected	110	122
A01	NoIron	NonInfected	135	150
A01	NoIron	NonInfected	150	166
A01	NoIron	NonInfected	160	179
A01	NoIron	NonInfected	170	219
A01	NoIron	NonInfected	175	247
A01	NoIron	NonInfected	200	276
A01	NoIron	NonInfected	205	296
A01	NoIron	NonInfected	225	324
A01	NoIron	NonInfected	230	354
A01	NoIron	NonInfected	255	380
A01	NoIron	NonInfected	285	445
A01	NoIron	NonInfected	295	478
A01	NoIron	NonInfected	310	508
A01	NoIron	NonInfected	335	536
A01	NoIron	NonInfected	330	569
A01	NoIron	NonInfected	325	599
A01	NoIron	NonInfected	345	627
A01	NoIron	NonInfected	360	655
A01	NoIron	NonInfected	370	668
A01	NoIron	NonInfected	395	723
A01	NoIron	NonInfected	375	751
A01	NoIron	NonInfected	380	781
A02	NoIron	NonInfected	130	122
A02	NoIron	NonInfected	160	150
A02	NoIron	NonInfected	180	166
A02	NoIron	NonInfected	185	179
A02	NoIron	NonInfected	200	219
A02	NoIron	NonInfected	225	247
A02	NoIron	NonInfected	240	276
A02	NoIron	NonInfected	250	296
A02	NoIron	NonInfected	275	324
A02	NoIron	NonInfected	280	354
A02	NoIron	NonInfected	295	380
A02	NoIron	NonInfected	320	445
A02	NoIron	NonInfected	330	478
A02	NoIron	NonInfected	355	508
A02	NoIron	NonInfected	360	536
A02	NoIron	NonInfected	355	569
A02	NoIron	NonInfected	370	599
A02	NoIron	NonInfected	390	627
A02	NoIron	NonInfected	400	655
A02	NoIron	NonInfected	410	668
A02	NoIron	NonInfected	440	723
A02	NoIron	NonInfected	445	751
A02	NoIron	NonInfected	470	781
A03	NoIron	NonInfected	130	122
A03	NoIron	NonInfected	150	150
A03	NoIron	NonInfected	170	166
A03	NoIron	NonInfected	180	179
A03	NoIron	NonInfected	195	219
A03	NoIron	NonInfected	205	247
A03	NoIron	NonInfected	225	276
A03	NoIron	NonInfected	235	296
A03	NoIron	NonInfected	250	324
A03	NoIron	NonInfected	265	354
A03	NoIron	NonInfected	275	380
A03	NoIron	NonInfected	295	445
A03	NoIron	NonInfected	305	478
A03	NoIron	NonInfected	315	508
A03	NoIron	NonInfected	325	536
A03	NoIron	NonInfected	325	569
A03	NoIron	NonInfected	325	599
A03	NoIron	NonInfected	335	627
A03	NoIron	NonInfected	340	655
A03	NoIron	NonInfected	355	668
A03	NoIron	NonInfected	375	723
A03	NoIron	NonInfected	365	751
A03	NoIron	NonInfected	400	781
A04	NoIron	NonInfected	125	122
A04	NoIron	NonInfected	150	150
A04	NoIron	NonInfected	170	166
A04	NoIron	NonInfected	180	179
A04	NoIron	NonInfected	195	219
A04	NoIron	NonInfected	210	247
A04	NoIron	NonInfected	230	276
A04	NoIron	NonInfected	260	296
A04	NoIron	NonInfected	255	324
A04	NoIron	NonInfected	270	354
A04	NoIron	NonInfected	290	380
A04	NoIron	NonInfected	NA	445
A04	NoIron	NonInfected	310	478
A04	NoIron	NonInfected	345	508
A04	NoIron	NonInfected	350	536
A04	NoIron	NonInfected	355	569
A04	NoIron	NonInfected	360	599
A04	NoIron	NonInfected	375	627
A04	NoIron	NonInfected	380	655
A04	NoIron	NonInfected	395	668
A04	NoIron	NonInfected	425	723
A04	NoIron	NonInfected	415	751
A04	NoIron	NonInfected	455	781
A05	Iron	NonInfected	120	122
A05	Iron	NonInfected	145	150
A05	Iron	NonInfected	155	166
A05	Iron	NonInfected	170	179
A05	Iron	NonInfected	165	219
A05	Iron	NonInfected	200	247
A05	Iron	NonInfected	200	276
A05	Iron	NonInfected	215	296
A05	Iron	NonInfected	230	324
A05	Iron	NonInfected	245	354
A05	Iron	NonInfected	260	380
A05	Iron	NonInfected	285	445
A05	Iron	NonInfected	290	478
A05	Iron	NonInfected	310	508
A05	Iron	NonInfected	325	536
A05	Iron	NonInfected	320	569
A05	Iron	NonInfected	325	599
A05	Iron	NonInfected	325	627
A05	Iron	NonInfected	340	655
A05	Iron	NonInfected	350	668
A05	Iron	NonInfected	370	723
A05	Iron	NonInfected	365	751
A05	Iron	NonInfected	380	781
A06	Iron	NonInfected	115	122
A06	Iron	NonInfected	130	150
A06	Iron	NonInfected	155	166
A06	Iron	NonInfected	165	179
A06	Iron	NonInfected	185	219
A06	Iron	NonInfected	200	247
A06	Iron	NonInfected	210	276
A06	Iron	NonInfected	210	296
A06	Iron	NonInfected	225	324
A06	Iron	NonInfected	245	354
A06	Iron	NonInfected	260	380
A06	Iron	NonInfected	265	445
A06	Iron	NonInfected	295	478
A06	Iron	NonInfected	305	508
A06	Iron	NonInfected	310	536
A06	Iron	NonInfected	305	569
A06	Iron	NonInfected	310	599
A06	Iron	NonInfected	315	627
A06	Iron	NonInfected	320	655
A06	Iron	NonInfected	325	668
A06	Iron	NonInfected	345	723
A06	Iron	NonInfected	345	751
A06	Iron	NonInfected	365	781
A07	Iron	NonInfected	115	122
A07	Iron	NonInfected	135	150
A07	Iron	NonInfected	150	166
A07	Iron	NonInfected	165	179
A07	Iron	NonInfected	175	219
A07	Iron	NonInfected	195	247
A07	Iron	NonInfected	215	276
A07	Iron	NonInfected	225	296
A07	Iron	NonInfected	225	324
A07	Iron	NonInfected	250	354
A07	Iron	NonInfected	255	380
A07	Iron	NonInfected	280	445
A07	Iron	NonInfected	295	478
A07	Iron	NonInfected	300	508
A07	Iron	NonInfected	325	536
A07	Iron	NonInfected	320	569
A07	Iron	NonInfected	320	599
A07	Iron	NonInfected	335	627
A07	Iron	NonInfected	340	655
A07	Iron	NonInfected	350	668
A07	Iron	NonInfected	380	723
A07	Iron	NonInfected	380	751
A07	Iron	NonInfected	405	781
A08	NoIron	Infected	140	122
A08	NoIron	Infected	165	150
A08	NoIron	Infected	170	166
A08	NoIron	Infected	180	179
A08	NoIron	Infected	200	219
A08	NoIron	Infected	210	247
A08	NoIron	Infected	235	276
A08	NoIron	Infected	250	296
A08	NoIron	Infected	260	324
A08	NoIron	Infected	265	354
A08	NoIron	Infected	280	380
A08	NoIron	Infected	300	445
A08	NoIron	Infected	325	478
A08	NoIron	Infected	338	508
A08	NoIron	Infected	350	536
A08	NoIron	Infected	365	569
A08	NoIron	Infected	380	599
A08	NoIron	Infected	400	627
A08	NoIron	Infected	410	655
A08	NoIron	Infected	430	668
A08	NoIron	Infected	425	723
A08	NoIron	Infected	410	751
A08	NoIron	Infected	395	781
A09	NoIron	Infected	100	122
A09	NoIron	Infected	115	150
A09	NoIron	Infected	130	166
A09	NoIron	Infected	135	179
A09	NoIron	Infected	145	219
A09	NoIron	Infected	185	247
A09	NoIron	Infected	175	276
A09	NoIron	Infected	185	296
A09	NoIron	Infected	185	324
A09	NoIron	Infected	190	354
A09	NoIron	Infected	200	380
A09	NoIron	Infected	225	445
A09	NoIron	Infected	245	478
A09	NoIron	Infected	250	508
A09	NoIron	Infected	265	536
A09	NoIron	Infected	265	569
A09	NoIron	Infected	280	599
A09	NoIron	Infected	290	627
A09	NoIron	Infected	305	655
A09	NoIron	Infected	315	668
A09	NoIron	Infected	330	723
A09	NoIron	Infected	340	751
A09	NoIron	Infected	350	781
A10	NoIron	Infected	110	122
A10	NoIron	Infected	130	150
A10	NoIron	Infected	135	166
A10	NoIron	Infected	145	179
A10	NoIron	Infected	150	219
A10	NoIron	Infected	165	247
A10	NoIron	Infected	175	276
A10	NoIron	Infected	185	296
A10	NoIron	Infected	185	324
A10	NoIron	Infected	185	354
A10	NoIron	Infected	195	380
A10	NoIron	Infected	218	445
A10	NoIron	Infected	230	478
A10	NoIron	Infected	230	508
A10	NoIron	Infected	245	536
A10	NoIron	Infected	245	569
A10	NoIron	Infected	255	599
A10	NoIron	Infected	270	627
A10	NoIron	Infected	265	655
A10	NoIron	Infected	280	668
A10	NoIron	Infected	295	723
A10	NoIron	Infected	305	751
A10	NoIron	Infected	300	781
A11	NoIron	Infected	125	122
A11	NoIron	Infected	150	150
A11	NoIron	Infected	160	166
A11	NoIron	Infected	175	179
A11	NoIron	Infected	190	219
A11	NoIron	Infected	205	247
A11	NoIron	Infected	220	276
A11	NoIron	Infected	235	296
A11	NoIron	Infected	235	324
A11	NoIron	Infected	245	354
A11	NoIron	Infected	255	380
A11	NoIron	Infected	273	445
A11	NoIron	Infected	295	478
A11	NoIron	Infected	300	508
A11	NoIron	Infected	305	536
A11	NoIron	Infected	300	569
A11	NoIron	Infected	300	599
A11	NoIron	Infected	305	627
A11	NoIron	Infected	310	655
A11	NoIron	Infected	320	668
A11	NoIron	Infected	350	723
A11	NoIron	Infected	365	751
A11	NoIron	Infected	380	781
A12	NoIron	Infected	110	122
A12	NoIron	Infected	125	150
A12	NoIron	Infected	135	166
A12	NoIron	Infected	150	179
A12	NoIron	Infected	160	219
A12	NoIron	Infected	175	247
A12	NoIron	Infected	190	276
A12	NoIron	Infected	200	296
A12	NoIron	Infected	200	324
A12	NoIron	Infected	205	354
A12	NoIron	Infected	225	380
A12	NoIron	Infected	246	445
A12	NoIron	Infected	260	478
A12	NoIron	Infected	265	508
A12	NoIron	Infected	260	536
A12	NoIron	Infected	280	569
A12	NoIron	Infected	295	599
A12	NoIron	Infected	305	627
A12	NoIron	Infected	305	655
A12	NoIron	Infected	310	668
A12	NoIron	Infected	325	723
A12	NoIron	Infected	335	751
A12	NoIron	Infected	330	781
A13	NoIron	Infected	125	122
A13	NoIron	Infected	150	150
A13	NoIron	Infected	160	166
A13	NoIron	Infected	170	179
A13	NoIron	Infected	185	219
A13	NoIron	Infected	195	247
A13	NoIron	Infected	210	276
A13	NoIron	Infected	225	296
A13	NoIron	Infected	230	324
A13	NoIron	Infected	225	354
A13	NoIron	Infected	250	380
A13	NoIron	Infected	278	445
A13	NoIron	Infected	290	478
A13	NoIron	Infected	295	508
A13	NoIron	Infected	305	536
A13	NoIron	Infected	305	569
A13	NoIron	Infected	330	599
A13	NoIron	Infected	350	627
A13	NoIron	Infected	355	655
A13	NoIron	Infected	370	668
A13	NoIron	Infected	380	723
A13	NoIron	Infected	400	751
A13	NoIron	Infected	410	781
A14	NoIron	Infected	125	122
A14	NoIron	Infected	140	150
A14	NoIron	Infected	150	166
A14	NoIron	Infected	160	179
A14	NoIron	Infected	160	219
A14	NoIron	Infected	185	247
A14	NoIron	Infected	195	276
A14	NoIron	Infected	200	296
A14	NoIron	Infected	205	324
A14	NoIron	Infected	200	354
A14	NoIron	Infected	220	380
A14	NoIron	Infected	242	445
A14	NoIron	Infected	255	478
A14	NoIron	Infected	265	508
A14	NoIron	Infected	275	536
A14	NoIron	Infected	290	569
A14	NoIron	Infected	300	599
A14	NoIron	Infected	315	627
A14	NoIron	Infected	320	655
A14	NoIron	Infected	335	668
A14	NoIron	Infected	355	723
A14	NoIron	Infected	375	751
A14	NoIron	Infected	375	781
A15	NoIron	Infected	115	122
A15	NoIron	Infected	135	150
A15	NoIron	Infected	145	166
A15	NoIron	Infected	160	179
A15	NoIron	Infected	180	219
A15	NoIron	Infected	185	247
A15	NoIron	Infected	200	276
A15	NoIron	Infected	205	296
A15	NoIron	Infected	220	324
A15	NoIron	Infected	220	354
A15	NoIron	Infected	230	380
A15	NoIron	Infected	266	445
A15	NoIron	Infected	275	478
A15	NoIron	Infected	285	508
A15	NoIron	Infected	295	536
A15	NoIron	Infected	305	569
A15	NoIron	Infected	315	599
A15	NoIron	Infected	320	627
A15	NoIron	Infected	335	655
A15	NoIron	Infected	345	668
A15	NoIron	Infected	360	723
A15	NoIron	Infected	360	751
A15	NoIron	Infected	360	781
A16	NoIron	Infected	110	122
A16	NoIron	Infected	130	150
A16	NoIron	Infected	150	166
A16	NoIron	Infected	155	179
A16	NoIron	Infected	165	219
A16	NoIron	Infected	175	247
A16	NoIron	Infected	190	276
A16	NoIron	Infected	200	296
A16	NoIron	Infected	210	324
A16	NoIron	Infected	215	354
A16	NoIron	Infected	230	380
A16	NoIron	Infected	234	445
A16	NoIron	Infected	275	478
A16	NoIron	Infected	280	508
A16	NoIron	Infected	300	536
A16	NoIron	Infected	310	569
A16	NoIron	Infected	325	599
A16	NoIron	Infected	320	627
A16	NoIron	Infected	335	655
A16	NoIron	Infected	345	668
A16	NoIron	Infected	360	723
A16	NoIron	Infected	380	751
A16	NoIron	Infected	375	781
A17	Iron	Infected	100	122
A17	Iron	Infected	120	150
A17	Iron	Infected	125	166
A17	Iron	Infected	140	179
A17	Iron	Infected	150	219
A17	Iron	Infected	170	247
A17	Iron	Infected	185	276
A17	Iron	Infected	190	296
A17	Iron	Infected	195	324
A17	Iron	Infected	190	354
A17	Iron	Infected	210	380
A17	Iron	Infected	214	445
A17	Iron	Infected	225	478
A17	Iron	Infected	235	508
A17	Iron	Infected	255	536
A17	Iron	Infected	240	569
A17	Iron	Infected	245	599
A17	Iron	Infected	280	627
A17	Iron	Infected	285	655
A17	Iron	Infected	270	668
A17	Iron	Infected	280	723
A17	Iron	Infected	280	751
A17	Iron	Infected	270	781
A18	Iron	Infected	125	122
A18	Iron	Infected	145	150
A18	Iron	Infected	150	166
A18	Iron	Infected	170	179
A18	Iron	Infected	195	219
A18	Iron	Infected	200	247
A18	Iron	Infected	215	276
A18	Iron	Infected	235	296
A18	Iron	Infected	225	324
A18	Iron	Infected	225	354
A18	Iron	Infected	230	380
A18	Iron	Infected	259	445
A18	Iron	Infected	275	478
A18	Iron	Infected	290	508
A18	Iron	Infected	305	536
A18	Iron	Infected	305	569
A18	Iron	Infected	330	599
A18	Iron	Infected	350	627
A18	Iron	Infected	360	655
A18	Iron	Infected	370	668
A18	Iron	Infected	395	723
A18	Iron	Infected	405	751
A18	Iron	Infected	415	781
A19	Iron	Infected	110	122
A19	Iron	Infected	135	150
A19	Iron	Infected	140	166
A19	Iron	Infected	150	179
A19	Iron	Infected	155	219
A19	Iron	Infected	170	247
A19	Iron	Infected	180	276
A19	Iron	Infected	180	296
A19	Iron	Infected	190	324
A19	Iron	Infected	185	354
A19	Iron	Infected	205	380
A19	Iron	Infected	208	445
A19	Iron	Infected	215	478
A19	Iron	Infected	220	508
A19	Iron	Infected	230	536
A19	Iron	Infected	225	569
A19	Iron	Infected	245	599
A19	Iron	Infected	260	627
A19	Iron	Infected	255	655
A19	Iron	Infected	265	668
A19	Iron	Infected	285	723
A19	Iron	Infected	290	751
A19	Iron	Infected	300	781
A20	Iron	Infected	115	122
A20	Iron	Infected	135	150
A20	Iron	Infected	145	166
A20	Iron	Infected	155	179
A20	Iron	Infected	170	219
A20	Iron	Infected	195	247
A20	Iron	Infected	210	276
A20	Iron	Infected	220	296
A20	Iron	Infected	225	324
A20	Iron	Infected	220	354
A20	Iron	Infected	250	380
A20	Iron	Infected	275	445
A20	Iron	Infected	275	478
A20	Iron	Infected	275	508
A20	Iron	Infected	290	536
A20	Iron	Infected	280	569
A20	Iron	Infected	285	599
A20	Iron	Infected	295	627
A20	Iron	Infected	285	655
A20	Iron	Infected	275	668
A20	Iron	Infected	295	723
