"row"	"col"	"yield"
1	1	84
2	1	73
3	1	80
4	1	97
5	1	70
1	2	87
2	2	86
3	2	92
4	2	91
5	2	94
1	3	89
2	3	99
3	3	95
4	3	101
5	3	109
1	4	87
2	4	72
3	4	77
4	4	80
5	4	104
1	5	82
2	5	86
3	5	97
4	5	119
5	5	94
1	6	84
2	6	70
3	6	87
4	6	99
5	6	100
1	7	77
2	7	89
3	7	88
4	7	109
5	7	98
1	8	86
2	8	77
3	8	101
4	8	115
5	8	94
1	9	90
2	9	116
3	9	102
4	9	97
5	9	102
1	10	83
2	10	86
3	10	76
4	10	100
5	10	101
1	11	84
2	11	67
3	11	124
4	11	113
5	11	104
1	12	80
2	12	84
3	12	107
4	12	117
5	12	107
1	13	71
2	13	71
3	13	83
4	13	86
5	13	95
1	14	78
2	14	85
3	14	94
4	14	114
5	14	100
1	15	91
2	15	79
3	15	87
4	15	108
5	15	98
1	16	88
2	16	85
3	16	96
4	16	114
5	16	88
1	17	82
2	17	80
3	17	121
4	17	103
5	17	96
1	18	83
2	18	89
3	18	90
4	18	113
5	18	102
1	19	78
2	19	87
3	19	85
4	19	117
5	19	77
1	20	87
2	20	92
3	20	109
4	20	131
5	20	96
1	21	69
2	21	106
3	21	101
4	21	127
5	21	102
1	22	87
2	22	103
3	22	100
4	22	123
5	22	113
1	23	95
2	23	98
3	23	100
4	23	100
5	23	113
1	24	82
2	24	90
3	24	106
4	24	110
5	24	107
1	25	82
2	25	85
3	25	97
4	25	106
5	25	97
1	26	75
2	26	97
3	26	97
4	26	94
5	26	101
1	27	80
2	27	108
3	27	97
4	27	111
5	27	114
1	28	72
2	28	104
3	28	99
4	28	122
5	28	124
1	29	94
2	29	87
3	29	99
4	29	109
5	29	128
1	30	92
2	30	110
3	30	95
4	30	103
5	30	124
1	31	89
2	31	96
3	31	93
4	31	106
5	31	114
1	32	92
2	32	96
3	32	91
4	32	106
5	32	102
1	33	83
2	33	81
3	33	77
4	33	82
5	33	94
1	34	87
2	34	85
3	34	108
4	34	98
5	34	98
1	35	60
2	35	72
3	35	81
4	35	100
5	35	113
1	36	87
2	36	76
3	36	91
4	36	94
5	36	111
1	37	66
2	37	78
3	37	90
4	37	93
5	37	88
1	38	84
2	38	78
3	38	86
4	38	74
5	38	105
1	39	81
2	39	82
3	39	69
4	39	82
5	39	118
1	40	74
2	40	83
3	40	74
4	40	73
5	40	105
1	41	80
2	41	90
3	41	93
4	41	99
5	41	102
1	42	75
2	42	67
3	42	86
4	42	86
5	42	94
1	43	76
2	43	76
3	43	96
4	43	94
5	43	93
