gen	col	block	wheel	yield
G19	2	1	1	14.2
B	1	1	NA	37.1
G23	3	1	2	29.9
G32	4	1	3	18.2
G27	5	1	3	26.1
G04	6	1	2	8.5
G01	7	1	1	31.6
G06	8	1	1	25.3
G35	9	1	2	10.4
G26	10	1	3	15
G33	11	1	3	17.1
G22	12	1	2	29.6
G25	13	1	1	8.3
G12	14	1	1	25.3
G16	15	1	2	8.6
G21	16	1	3	18.2
G14	17	1	3	13.5
G11	18	1	2	16.6
G30	19	1	1	18.7
G18	20	1	1	25.6
G05	21	1	2	34.2
G08	22	1	3	2.2
G02	23	1	3	34.9
G34	24	1	2	11.9
G13	25	1	1	14.5
G31	26	1	1	13.5
G28	27	1	2	14.6
G15	28	1	3	6.3
G20	29	1	3	14.5
G17	30	1	2	28.2
G07	31	1	1	21.6
G24	32	1	1	15.1
G29	33	1	2	29.7
G03	34	1	3	14.6
G09	35	1	3	20.2
G10	36	1	2	10
G36	37	1	1	13.5
B	38	1	NA	40.1
B	1	2	NA	39.1
G35	2	2	1	6.8
G06	3	2	2	20.9
G07	4	2	3	20.4
G28	5	2	3	9.9
G30	6	2	2	17.6
G05	7	2	1	19.7
G17	8	2	1	23.1
G36	9	2	2	14.4
G16	10	2	3	5.2
G19	11	2	3	19.8
G21	12	2	2	11
G32	13	2	1	21.9
G02	14	2	1	29.1
G24	15	2	2	15.3
G01	16	2	3	33.3
G34	17	2	3	7.5
G09	18	2	2	24.5
G08	19	2	1	13.8
G14	20	2	1	15.3
G03	21	2	2	26.1
G31	22	2	3	15.2
G04	23	2	3	13.7
G15	24	2	2	17.2
G26	25	2	1	24.3
G11	26	2	1	16.5
G18	27	2	2	29.4
G25	28	2	3	6.2
G13	29	2	3	12
G27	30	2	2	16.3
G29	31	2	1	25.2
G23	32	2	1	24.3
G12	33	2	2	19.1
G22	34	2	3	27.9
G10	35	2	3	13.2
G33	36	2	2	14.6
G20	37	2	1	8.8
B	38	2	NA	26.1
B	1	3	NA	35.3
G28	2	3	1	11.5
G25	3	3	2	7.7
G11	4	3	3	11.9
G36	5	3	3	22.6
G08	6	3	2	10.9
G16	7	3	1	8
G09	8	3	1	19.6
G14	9	3	2	8.2
G24	10	3	3	14.1
G12	11	3	3	16.8
G20	12	3	2	13
G27	13	3	1	11.5
G10	14	3	1	17.7
G31	15	3	2	14.1
G23	16	3	3	27
G17	17	3	3	28.4
G32	18	3	2	24.4
G04	19	3	1	15.5
G21	20	3	1	14.5
G26	21	3	2	17.3
G18	22	3	3	27.7
G29	23	3	3	31.4
G02	24	3	2	25.8
G22	25	3	1	28.9
G34	26	3	1	7.9
G07	27	3	2	23.8
G05	28	3	3	21.4
G06	29	3	3	17
G01	30	3	2	26.8
G15	31	3	1	3.2
G03	32	3	1	16
G13	33	3	2	14.7
G30	34	3	3	18
G35	35	3	3	9.3
G19	36	3	2	21.7
G33	37	3	1	8.4
B	38	3	NA	31.6
