row	bed	rep	gen	yield
8	6	R1	G001	5.12
4	4	R1	G002	5.28
1	23	R1	G003	5.81
8	28	R1	G004	5.49
5	2	R1	G005	5.14
8	14	R1	G006	5.72
3	4	R1	G007	5.77
4	5	R1	G008	4.94
8	9	R1	G009	6.04
2	23	R1	G010	4.84
5	10	R1	G011	5.65
4	3	R1	G012	5.49
8	26	R1	G013	5.67
6	22	R1	G014	5.03
8	20	R1	G015	4.55
6	23	R1	G016	5.26
8	29	R1	G017	4.58
2	22	R1	G018	5.97
4	1	R1	G019	5.54
3	18	R1	G020	5.64
1	31	R1	G021	5.59
7	29	R1	G022	5.03
3	15	R1	G023	5.68
5	18	R1	G024	5.97
8	13	R1	G025	4.99
5	28	R1	G026	5.06
1	13	R1	G027	5.58
4	26	R1	G028	5.54
8	8	R1	G029	5.38
8	4	R1	G030	5.01
3	27	R1	G031	5.26
5	9	R1	G032	5.39
8	12	R1	G033	4.7
5	30	R1	G034	4.93
2	15	R1	G035	5.48
1	32	R1	G036	5.97
8	3	R1	G037	4.99
1	27	R1	G038	6.49
1	5	R1	G039	5.1
5	11	R1	G040	5.28
4	14	R1	G041	5.58
3	2	R1	G042	5.86
7	12	R1	G043	5.48
6	30	R1	G044	4.57
6	6	R1	G045	4.26
7	8	R1	G046	5.17
7	3	R1	G047	4.67
6	29	R1	G048	4.88
3	23	R1	G049	5.57
2	1	R1	G050	5.46
2	10	R1	G051	5.91
4	25	R1	G052	5.72
2	25	R1	G053	6.12
8	32	R1	G054	4.86
6	31	R1	G055	4.67
7	10	R1	G056	5.59
2	14	R1	G057	5.51
2	17	R1	G058	6
3	24	R1	G059	5.84
5	31	R1	G060	5.39
2	6	R1	G061	5
7	30	R1	G062	5.32
2	19	R1	G063	5.3
1	8	R1	G064	5.83
6	5	R1	G065	5.2
5	21	R1	G066	5.8
4	32	R1	G067	5.97
6	32	R1	G068	5.49
3	19	R1	G069	5.68
8	33	R1	G070	6.03
1	18	R1	G071	6.35
8	27	R1	G072	5.87
6	28	R1	G073	5.43
5	6	R1	G074	4.71
7	26	R1	G075	5.36
4	9	R1	G076	6.48
7	14	R1	G077	5.48
6	18	R1	G078	6.33
4	24	R1	G079	5.93
5	27	R1	G080	5.1
7	2	R1	G081	5.32
7	17	R1	G082	5.64
1	7	R1	G083	5.9
6	16	R1	G084	6.19
5	14	R1	G085	5.7
8	11	R1	G086	5.49
5	19	R1	G087	6.42
6	20	R1	G088	6.58
7	1	R1	G089	4.9
2	16	R1	G090	6.48
7	18	R1	G091	5.84
4	31	R1	G092	5.3
6	27	R1	G093	5.16
6	4	R1	G094	5.01
8	19	R1	G095	5.7
6	13	R1	G096	5.59
6	25	R1	G097	5.06
6	2	R1	G098	4.77
2	4	R1	G099	4.83
1	24	R1	G100	6.36
3	22	R1	G101	5.83
7	21	R1	G102	5.25
8	34	R1	G103	5.71
4	8	R1	G104	5.67
1	14	R1	G105	5.75
7	27	R1	G106	5.19
3	3	R1	G107	6.1
4	22	R1	G108	6.04
7	9	R1	G109	5.78
7	4	R1	G110	4.93
7	13	R1	G111	5.48
1	34	R1	G112	6.67
5	25	R1	G113	6.19
8	10	R1	G114	5.52
2	13	R1	G115	6.42
3	20	R1	G116	5.65
3	7	R1	G117	5.29
4	10	R1	G118	5.75
7	5	R1	G119	4.57
1	6	R1	G120	4.9
8	21	R1	G121	5.2
5	15	R1	G122	5.93
7	22	R1	G123	5.81
4	18	R1	G124	5.93
5	5	R1	G125	4.72
2	11	R1	G126	5.93
5	20	R1	G127	5.9
8	7	R1	G128	5.48
5	8	R1	G129	5.35
5	23	R1	G130	5.58
7	31	R1	G131	5.04
3	30	R1	G132	6.22
3	5	R1	G133	5.88
4	15	R1	G134	6
6	17	R1	G135	5.78
1	25	R1	G136	6.23
