"pos"	"block"	"height"
1	1	65
2	1	42
3	1	26
4	1	39.5
5	1	72
6	1	51.5
7	1	74.5
8	1	62.5
9	1	40
10	1	57.5
11	1	61
12	1	63
13	1	45
14	1	48.5
15	1	68
16	1	46
17	1	68
18	1	21
19	1	46.5
20	1	42
21	1	68
22	1	68
23	1	26.5
24	1	43
25	1	44
26	1	40.5
27	1	26
28	1	56
29	1	69.5
30	1	77
31	1	56
32	1	68
1	2	69.5
2	2	65
3	2	71
4	2	53.5
5	2	66.5
6	2	45
7	2	21.5
8	2	63
9	2	58
10	2	35
11	2	55
12	2	46.5
13	2	51
14	2	58.5
15	2	61
16	2	54.5
17	2	65.5
18	2	64
19	2	67
20	2	60
21	2	65
22	2	53
23	2	57.5
24	2	47
25	2	62
26	2	53
27	2	78
28	2	69
29	2	65.5
30	2	64
31	2	52
32	2	61
1	3	64.5
2	3	37
3	3	74.5
4	3	83
5	3	61
6	3	64.5
7	3	40
8	3	63
9	3	60
10	3	64.5
11	3	53
12	3	60.5
13	3	64
14	3	23
15	3	43
16	3	21
17	3	58
18	3	52
19	3	71
20	3	58.5
21	3	25.5
22	3	66
23	3	68
24	3	64.5
25	3	52
26	3	60
27	3	70
28	3	67.5
29	3	50
30	3	61.5
31	3	45.5
32	3	63
1	4	45.5
2	4	47.5
3	4	51
4	4	60
5	4	37.5
6	4	45
7	4	51
8	4	70
9	4	68.5
10	4	78
11	4	67.5
12	4	77
13	4	84.5
14	4	77
15	4	72
16	4	50
17	4	72.5
18	4	63.5
19	4	59
20	4	73
21	4	68
22	4	47.5
23	4	73
24	4	21
25	4	77.5
26	4	42
27	4	61
28	4	55
29	4	61
30	4	56
31	4	74
32	4	26
1	5	42.5
2	5	54.5
3	5	42
4	5	68.5
5	5	49.5
6	5	63
7	5	75
8	5	57.5
9	5	73
10	5	47
11	5	75.5
12	5	69
13	5	25.5
14	5	37.5
15	5	46
16	5	63
17	5	63
18	5	29.5
19	5	49
20	5	52
21	5	67
22	5	60
23	5	63.5
24	5	31
25	5	76
26	5	37.5
27	5	37
28	5	42.5
29	5	44.5
30	5	66.5
31	5	60
32	5	54
1	6	33
2	6	55.5
3	6	36.5
4	6	41
5	6	39
6	6	13
7	6	23
8	6	16.5
9	6	35.5
10	6	23
11	6	25.5
12	6	29
13	6	20
14	6	51
15	6	58.5
16	6	21
17	6	40.5
18	6	62
19	6	55.5
20	6	55
21	6	42
22	6	55.5
23	6	33.5
24	6	48
25	6	61.5
26	6	36.5
27	6	49
28	6	44.5
29	6	63.5
30	6	65.5
31	6	50
32	6	55.5
1	7	62
2	7	66
3	7	31.5
4	7	61
5	7	50.5
6	7	54
7	7	61
8	7	48.5
9	7	59
10	7	59
11	7	73.5
12	7	58
13	7	75.5
14	7	68.5
15	7	63
16	7	70
17	7	60
18	7	68
19	7	64
20	7	52
21	7	56
22	7	52.5
23	7	53.5
24	7	64
25	7	73
26	7	76
27	7	63
28	7	54
29	7	70
30	7	70.5
31	7	62.5
32	7	63
1	8	49
2	8	66
3	8	47
4	8	50
5	8	66.5
6	8	66
7	8	54
8	8	77
9	8	66
10	8	68.5
11	8	65
12	8	53.5
13	8	53.5
14	8	68.5
15	8	50
16	8	48.5
17	8	64
18	8	34
19	8	63
20	8	50
21	8	76.5
22	8	46
23	8	36.5
24	8	53.5
25	8	50
26	8	26
27	8	65
28	8	62.5
29	8	69
30	8	72.5
31	8	78.5
32	8	58
