year	yield	block	row	col	trt	nitro	potash	ptype
1925b	491	B1	8	1	m	2	4	NA
1925b	437	B1	7	1	l	2	2	NA
1925b	450	B2	6	1	p	4	2	NA
1925b	252	B2	5	1	t	2	6	NA
1925b	341	B3	4	1	c	0	2	NA
1925b	226	B3	3	1	t	2	6	NA
1925b	449	B4	2	1	m	2	4	NA
1925b	461	B4	1	1	q	4	4	NA
1925b	328	B1	8	2	n	4	0	NA
1925b	217	B1	7	2	j	2	0	NA
1925b	464	B2	6	2	s	6	6	NA
1925b	352	B2	5	2	d	0	4	NA
1925b	439	B3	4	2	p	4	2	NA
1925b	393	B3	3	2	l	2	2	NA
1925b	191	B4	2	2	a	0	0	NA
1925b	475	B4	1	2	r	4	6	NA
1925b	340	B1	8	3	c	0	2	NA
1925b	487	B1	7	3	q	4	4	NA
1925b	461	B2	6	3	r	4	6	NA
1925b	281	B2	5	3	a	0	0	NA
1925b	456	B3	4	3	s	6	6	NA
1925b	338	B3	3	3	d	0	4	NA
1925b	185	B4	2	3	n	4	0	NA
1925b	157	B4	1	3	j	2	0	NA
1925b	508	B1	8	4	r	4	6	NA
1925b	464	B1	7	4	p	4	2	NA
1925b	320	B2	6	4	c	0	2	NA
1925b	438	B2	5	4	l	2	2	NA
1925b	466	B3	4	4	m	2	4	NA
1925b	519	B3	3	4	r	4	6	NA
1925b	472	B4	2	4	p	4	2	NA
1925b	377	B4	1	4	l	2	2	NA
1925b	388	B1	8	5	d	0	4	NA
1925b	272	B1	7	5	t	2	6	NA
1925b	298	B2	6	5	n	4	0	NA
1925b	515	B2	5	5	q	4	4	NA
1925b	247	B3	4	5	j	2	0	NA
1925b	198	B3	3	5	a	0	0	NA
1925b	342	B4	2	5	d	0	4	NA
1925b	298	B4	1	5	c	0	2	NA
1925b	322	B1	8	6	a	0	0	NA
1925b	516	B1	7	6	s	6	6	NA
1925b	482	B2	6	6	m	2	4	NA
1925b	315	B2	5	6	j	2	0	NA
1925b	344	B3	4	6	n	4	0	NA
1925b	501	B3	3	6	q	4	4	NA
1925b	234	B4	2	6	t	2	6	NA
1925b	441	B4	1	6	s	6	6	NA
1926b	332	B3	8	1	n	4	0	NA
1926b	444.5	B3	7	1	k	2	1	NA
1926b	363	B3	6	1	b	0	1	NA
1926b	447.5	B3	5	1	h	1	4	NA
